,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,China,World,2711,"$2,035,886,798","3,376,533,925","3,376,533,925"
1,2012,X,China,Australia,2711,"$1,262,800","633,600","633,600"
2,2012,X,China,Bangladesh,2711,"$8,606,094","8,505,195","8,505,195"
3,2012,X,China,Brazil,2711,"$22,009","9,704","9,704"
4,2012,X,China,Myanmar,2711,"$1,652,254","1,453,550","1,453,550"
5,2012,X,China,Cambodia,2711,"$3,877,125","4,033,895","4,033,895"
6,2012,X,China,Cameroon,2711,"$15,370","6,675","6,675"
7,2012,X,China,"China, Hong Kong SAR",2711,"$1,159,106,832","2,475,720,653","2,475,720,653"
8,2012,X,China,Indonesia,2711,"$4,767,594","5,003,093","5,003,093"
9,2012,X,China,Iraq,2711,"$5,882","1,140","1,140"
10,2012,X,China,Japan,2711,"$4,821,286","2,450,264","2,450,264"
11,2012,X,China,Kazakhstan,2711,"$27,664","6,080","6,080"
12,2012,X,China,Dem. People's Rep. of Korea,2711,"$3,471,407","2,164,108","2,164,108"
13,2012,X,China,Rep. of Korea,2711,"$143,642,820","124,926,821","124,926,821"
14,2012,X,China,Lao People's Dem. Rep.,2711,"$29,401","20,625","20,625"
15,2012,X,China,"China, Macao SAR",2711,"$45,310,586","50,591,584","50,591,584"
16,2012,X,China,Malaysia,2711,"$43,869,396","47,001,771","47,001,771"
17,2012,X,China,"Other Asia, nes",2711,"$1,526,749","676,971","676,971"
18,2012,X,China,Mongolia,2711,"$76,800","96,000","96,000"
19,2012,X,China,Netherlands,2711,"$116,038","107,604","107,604"
20,2012,X,China,Marshall Isds,2711,"$304,710","164,011","164,011"
21,2012,X,China,Pakistan,2711,"$29,543","2,354","2,354"
22,2012,X,China,Philippines,2711,"$301,644,036","314,509,707","314,509,707"
23,2012,X,China,Russian Federation,2711,"$28,352","8,375","8,375"
24,2012,X,China,India,2711,"$77,921","38,220","38,220"
25,2012,X,China,Singapore,2711,"$4,773,744","4,832,395","4,832,395"
26,2012,X,China,Viet Nam,2711,"$303,537,323","330,926,649","330,926,649"
27,2012,X,China,Sudan,2711,"$117,200","16,000","16,000"
28,2012,X,China,Thailand,2711,"$2,944,176","2,500,000","2,500,000"
29,2012,X,China,United Arab Emirates,2711,"$102,843","102,325","102,325"
30,2012,X,China,Türkiye,2711,"$4,350",783,783
31,2012,X,China,United Kingdom,2711,"$87,500","13,876","13,876"
32,2012,X,China,USA,2711,"$26,993","9,897","9,897"
33,2013,X,China,World,2711,"$2,212,801,665","3,258,064,723","3,258,064,723"
34,2013,X,China,Australia,2711,"$5,372,898","4,488,791","4,488,791"
35,2013,X,China,Bangladesh,2711,"$5,086,381","5,374,451","5,374,451"
36,2013,X,China,Brazil,2711,"$21,836","9,660","9,660"
37,2013,X,China,Bulgaria,2711,$750,100,100
38,2013,X,China,Myanmar,2711,"$2,227,993","1,777,990","1,777,990"
39,2013,X,China,Cambodia,2711,"$6,263,769","6,541,780","6,541,780"
40,2013,X,China,"China, Hong Kong SAR",2711,"$1,344,373,750","2,368,925,211","2,368,925,211"
41,2013,X,China,Indonesia,2711,"$12,674,245","13,173,000","13,173,000"
42,2013,X,China,Iran,2711,"$20,436","1,287","1,287"
43,2013,X,China,Israel,2711,"$26,568","3,542","3,542"
44,2013,X,China,Japan,2711,"$2,698,937","1,406,849","1,406,849"
45,2013,X,China,Kazakhstan,2711,"$21,950","5,000","5,000"
46,2013,X,China,Dem. People's Rep. of Korea,2711,"$5,113,353","2,577,169","2,577,169"
47,2013,X,China,Rep. of Korea,2711,"$104,509,001","98,084,507","98,084,507"
48,2013,X,China,Lao People's Dem. Rep.,2711,"$35,386","24,375","24,375"
49,2013,X,China,Lebanon,2711,"$18,290","8,280","8,280"
50,2013,X,China,"China, Macao SAR",2711,"$31,569,596","33,989,020","33,989,020"
51,2013,X,China,Malaysia,2711,"$28,868,247","30,868,206","30,868,206"
52,2013,X,China,"Other Asia, nes",2711,"$1,488,509","581,500","581,500"
53,2013,X,China,Mongolia,2711,"$231,800","297,000","297,000"
54,2013,X,China,Morocco,2711,"$1,200",120,120
55,2013,X,China,Netherlands,2711,"$106,778","83,230","83,230"
56,2013,X,China,New Caledonia,2711,"$1,810,000","2,000,000","2,000,000"
57,2013,X,China,Marshall Isds,2711,"$196,762","102,528","102,528"
58,2013,X,China,Philippines,2711,"$332,766,070","348,871,067","348,871,067"
59,2013,X,China,India,2711,"$2,316,759","2,554,325","2,554,325"
60,2013,X,China,Singapore,2711,"$996,050","862,180","862,180"
61,2013,X,China,Viet Nam,2711,"$322,300,778","333,880,834","333,880,834"
62,2013,X,China,South Africa,2711,$2,1,1
63,2013,X,China,Thailand,2711,"$85,367","85,367","85,367"
64,2013,X,China,United Arab Emirates,2711,"$240,505","178,225","178,225"
65,2013,X,China,United Kingdom,2711,"$310,589","42,098","42,098"
66,2013,X,China,USA,2711,"$1,047,110","1,267,030","1,267,030"
67,2014,X,China,World,2711,"$2,361,859,403","3,334,846,423","3,334,846,423"
68,2014,X,China,Albania,2711,"$1,125",250,250
69,2014,X,China,Argentina,2711,"$5,000","1,250","1,250"
70,2014,X,China,Australia,2711,"$5,517,885","5,549,585","5,549,585"
71,2014,X,China,Bangladesh,2711,"$22,049,481","23,385,793","23,385,793"
72,2014,X,China,Myanmar,2711,"$11,911,725","11,676,575","11,676,575"
73,2014,X,China,Cambodia,2711,"$10,242,675","11,862,390","11,862,390"
74,2014,X,China,Colombia,2711,"$1,133",429,429
75,2014,X,China,Ecuador,2711,"$1,027",392,392
76,2014,X,China,Ethiopia,2711,"$1,750",2,2
77,2014,X,China,Germany,2711,$316,1,1
78,2014,X,China,Ghana,2711,"$14,249","3,250","3,250"
