,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,China,World,2711,"$20,198,576,355","34,062,039,018","34,062,039,018"
1,2012,M,China,Algeria,2711,"$51,117,207","58,167,000","58,167,000"
2,2012,M,China,Angola,2711,"$57,133,856","55,248,870","55,248,870"
3,2012,M,China,Australia,2711,"$871,698,312","3,827,749,890","3,827,749,890"
4,2012,M,China,Brazil,2711,"$3,077,031","1,503,837","1,503,837"
5,2012,M,China,Chad,2711,$53,52,52
6,2012,M,China,France,2711,"$19,538","1,843","1,843"
7,2012,M,China,Germany,2711,"$131,695","24,010","24,010"
8,2012,M,China,"China, Hong Kong SAR",2711,"$7,600,123","7,600,123","7,600,123"
9,2012,M,China,Indonesia,2711,"$543,572,992","2,433,137,682","2,433,137,682"
10,2012,M,China,Iran,2711,"$170,586,250","170,092,779","170,092,779"
11,2012,M,China,Italy,2711,"$3,381",110,110
12,2012,M,China,Japan,2711,"$16,020,873","14,468,434","14,468,434"
13,2012,M,China,Kazakhstan,2711,"$5,028,488","10,515,540","10,515,540"
14,2012,M,China,Dem. People's Rep. of Korea,2711,"$1,816,584","3,088,800","3,088,800"
15,2012,M,China,Rep. of Korea,2711,"$218,520,652","179,951,442","179,951,442"
16,2012,M,China,Kuwait,2711,"$439,875,248","461,878,163","461,878,163"
17,2012,M,China,Malaysia,2711,"$853,617,518","1,933,705,664","1,933,705,664"
18,2012,M,China,"Other Asia, nes",2711,"$8,349,116","7,742,844","7,742,844"
19,2012,M,China,Oman,2711,"$51,988,222","63,488,492","63,488,492"
20,2012,M,China,Nigeria,2711,"$324,243,933","402,240,339","402,240,339"
21,2012,M,China,Qatar,2711,"$5,390,252,595","5,602,835,219","5,602,835,219"
22,2012,M,China,Russian Federation,2711,"$349,331,947","379,081,516","379,081,516"
23,2012,M,China,Saudi Arabia,2711,"$535,751,723","602,121,973","602,121,973"
24,2012,M,China,Singapore,2711,"$89,489,766","80,099,845","80,099,845"
25,2012,M,China,Viet Nam,2711,"$1,991,210","2,488,787","2,488,787"
26,2012,M,China,Switzerland,2711,"$2,403",5,5
27,2012,M,China,Thailand,2711,"$102,142,373","84,521,941","84,521,941"
28,2012,M,China,Trinidad and Tobago,2711,"$100,915,243","163,274,000","163,274,000"
29,2012,M,China,United Arab Emirates,2711,"$768,838,984","821,835,350","821,835,350"
30,2012,M,China,Türkiye,2711,"$2,243,539","1,350,000","1,350,000"
31,2012,M,China,Turkmenistan,2711,"$8,512,120,623","15,689,803,641","15,689,803,641"
32,2012,M,China,Uganda,2711,"$4,078",4,4
33,2012,M,China,Egypt,2711,"$235,414,644","292,417,440","292,417,440"
34,2012,M,China,United Kingdom,2711,"$37,854","33,580","33,580"
35,2012,M,China,USA,2711,"$745,403","167,638","167,638"
36,2012,M,China,Uzbekistan,2711,"$52,846,075","110,866,060","110,866,060"
37,2012,M,China,Yemen,2711,"$432,046,823","600,536,105","600,536,105"
38,2013,M,China,World,2711,"$24,726,872,002","42,592,721,430","42,592,721,430"
39,2013,M,China,Algeria,2711,"$156,470,916","182,999,585","182,999,585"
40,2013,M,China,Angola,2711,"$98,161,316","109,818,456","109,818,456"
41,2013,M,China,Australia,2711,"$871,683,216","3,805,725,140","3,805,725,140"
42,2013,M,China,Bahrain,2711,"$30,227,676","26,503,570","26,503,570"
43,2013,M,China,Myanmar,2711,"$141,243,357","154,558,639","154,558,639"
44,2013,M,China,Chad,2711,$180,32,32
45,2013,M,China,Denmark,2711,$478,33,33
46,2013,M,China,Equatorial Guinea,2711,"$358,738,599","399,103,339","399,103,339"
