,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,France,World,2711,"$24,260,473,565","37,795,453,592","37,795,453,592"
1,2012,M,France,Algeria,2711,"$2,412,033,771","3,286,995,020","3,286,995,020"
2,2012,M,France,Angola,2711,"$70,448,321","94,871,371","94,871,371"
3,2012,M,France,Australia,2711,"$5,131,063","4,618,056","4,618,056"
4,2012,M,France,Belgium,2711,"$13,410,308,212","22,175,656,157","22,175,656,157"
5,2012,M,France,Brazil,2711,"$4,101","5,054","5,054"
6,2012,M,France,China,2711,"$19,186","5,333","5,333"
7,2012,M,France,Congo,2711,"$25,553,992","30,944,623","30,944,623"
8,2012,M,France,Denmark,2711,"$889,444","858,788","858,788"
9,2012,M,France,Dominican Rep.,2711,"$1,048,481","972,759","972,759"
10,2012,M,France,Equatorial Guinea,2711,"$18,078,646","17,775,757","17,775,757"
11,2012,M,France,France,2711,"$5,322,022","4,308,824","4,308,824"
12,2012,M,France,Germany,2711,"$4,092,952,411","6,756,946,249","6,756,946,249"
13,2012,M,France,Greece,2711,"$123,060","64,004","64,004"
14,2012,M,France,Hungary,2711,$925,"1,097","1,097"
15,2012,M,France,Iran,2711,"$3,468",4,4
16,2012,M,France,Ireland,2711,"$1,447,679","1,496,806","1,496,806"
17,2012,M,France,Italy,2711,"$11,719,193","14,880,237","14,880,237"
18,2012,M,France,Japan,2711,"$2,775","1,641","1,641"
19,2012,M,France,Dem. People's Rep. of Korea,2711,$159,100,100
20,2012,M,France,Rep. of Korea,2711,"$991,566","340,601","340,601"
21,2012,M,France,Latvia,2711,"$8,412,487","8,459,462","8,459,462"
22,2012,M,France,Libya,2711,"$13,506,609","19,074,847","19,074,847"
23,2012,M,France,Luxembourg,2711,"$1,750,150","1,444,159","1,444,159"
24,2012,M,France,"Other Asia, nes",2711,"$91,189","2,170,015","2,170,015"
25,2012,M,France,Morocco,2711,"$127,930","181,210","181,210"
26,2012,M,France,Netherlands,2711,"$128,000,888","135,379,783","135,379,783"
27,2012,M,France,Nigeria,2711,"$1,495,367,895","2,078,068,962","2,078,068,962"
28,2012,M,France,Norway,2711,"$575,951,313","662,964,664","662,964,664"
29,2012,M,France,Poland,2711,"$3,515,455","3,471,745","3,471,745"
30,2012,M,France,Portugal,2711,"$14,791,685","10,272,758","10,272,758"
31,2012,M,France,Qatar,2711,"$764,581,166","1,044,379,121","1,044,379,121"
32,2012,M,France,Russian Federation,2711,"$25,787,656","26,636,356","26,636,356"
33,2012,M,France,Saudi Arabia,2711,"$19,874,707","19,579,903","19,579,903"
34,2012,M,France,Slovakia,2711,$85,10,10
35,2012,M,France,Viet Nam,2711,"$1,060",18,18
36,2012,M,France,Spain,2711,"$10,451,403","9,327,309","9,327,309"
37,2012,M,France,Sweden,2711,"$31,915,282","30,899,975","30,899,975"
38,2012,M,France,Switzerland,2711,"$28,687,205","47,278,371","47,278,371"
39,2012,M,France,Thailand,2711,$161,1,1
40,2012,M,France,Trinidad and Tobago,2711,"$6,867,230","9,880,540","9,880,540"
41,2012,M,France,United Arab Emirates,2711,"$16,918,773","29,735,800","29,735,800"
42,2012,M,France,Tunisia,2711,$440,6,6
43,2012,M,France,Türkiye,2711,"$2,417",900,900
44,2012,M,France,Ukraine,2711,"$1,918,646","2,979,195","2,979,195"
45,2012,M,France,Egypt,2711,"$471,238,710","645,044,782","645,044,782"
46,2012,M,France,United Kingdom,2711,"$365,908,453","402,461,968","402,461,968"
47,2012,M,France,USA,2711,"$213,124,711","210,364,108","210,364,108"
48,2012,M,France,"Areas, nes",2711,"$5,601,383","4,655,145","4,655,145"
49,2013,M,France,World,2711,"$24,777,385,722","39,024,303,207","39,024,303,207"
50,2013,M,France,Albania,2711,$31,9,9
51,2013,M,France,Algeria,2711,"$2,763,116,918","3,750,131,711","3,750,131,711"
52,2013,M,France,Angola,2711,"$33,173,716","41,925,317","41,925,317"
53,2013,M,France,Argentina,2711,"$5,286,934","5,283,283","5,283,283"
54,2013,M,France,Australia,2711,"$4,462,947","3,927,594","3,927,594"
55,2013,M,France,Austria,2711,"$3,477,941","4,026,153","4,026,153"
56,2013,M,France,Belgium,2711,"$13,576,054,070","22,439,072,581","22,439,072,581"
57,2013,M,France,Brazil,2711,$787,"1,076","1,076"
58,2013,M,France,Canada,2711,"$17,593","1,844","1,844"
59,2013,M,France,China,2711,"$175,464","48,806","48,806"
60,2013,M,France,Colombia,2711,"$682,335","497,936","497,936"
61,2013,M,France,Mayotte (Overseas France),2711,$13,4,4
62,2013,M,France,Congo,2711,"$29,222,548","33,721,600","33,721,600"
63,2013,M,France,Denmark,2711,"$28,950","34,120","34,120"
64,2013,M,France,Dominican Rep.,2711,"$3,134,707","2,459,377","2,459,377"
65,2013,M,France,Equatorial Guinea,2711,"$56,724,890","68,785,575","68,785,575"
66,2013,M,France,Finland,2711,$996,"1,119","1,119"
67,2013,M,France,France,2711,"$6,303,038","4,237,898","4,237,898"
68,2013,M,France,Gabon,2711,"$2,418",310,310
69,2013,M,France,Germany,2711,"$4,983,185,115","8,231,213,919","8,231,213,919"
70,2013,M,France,Greece,2711,"$162,794","85,766","85,766"
71,2013,M,France,Iran,2711,"$6,204","1,600","1,600"
72,2013,M,France,Ireland,2711,"$71,944","1,219","1,219"
73,2013,M,France,Italy,2711,"$17,344,083","15,894,146","15,894,146"
74,2013,M,France,Côte d'Ivoire,2711,$776,7,7
75,2013,M,France,Japan,2711,"$27,507","2,301","2,301"
76,2013,M,France,Kazakhstan,2711,"$6,052,654","7,806,324","7,806,324"
77,2013,M,France,Rep. of Korea,2711,"$1,052,619","328,997","328,997"
78,2013,M,France,Latvia,2711,"$2,474,640","3,029,948","3,029,948"
79,2013,M,France,Libya,2711,"$2,648,332","4,964,521","4,964,521"
80,2013,M,France,Lithuania,2711,"$11,474,619","13,003,118","13,003,118"
81,2013,M,France,Luxembourg,2711,"$789,453","1,078,344","1,078,344"
82,2013,M,France,Mauritania,2711,"$2,985",364,364
83,2013,M,France,"Other Asia, nes",2711,"$31,638","8,313","8,313"
84,2013,M,France,Netherlands,2711,"$131,859,049","147,170,509","147,170,509"
85,2013,M,France,Nigeria,2711,"$791,316,424","1,163,984,732","1,163,984,732"
86,2013,M,France,Norway,2711,"$509,311,283","675,549,998","675,549,998"
87,2013,M,France,Poland,2711,"$1,784,575","2,049,957","2,049,957"
88,2013,M,France,Portugal,2711,"$2,676,999","1,890,020","1,890,020"
89,2013,M,France,Qatar,2711,"$891,812,751","1,217,923,523","1,217,923,523"
