,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,Qatar,World,2711,"$82,640,446,471","110,523,576,990","110,523,576,990"
1,2012,X,Qatar,Australia,2711,"$247,974,589","276,606,500","276,606,500"
2,2012,X,Qatar,Bahrain,2711,"$23,489","2,720","2,720"
3,2012,X,Qatar,Belgium,2711,"$1,327,898,672","2,928,227,000","2,928,227,000"
4,2012,X,Qatar,Brazil,2711,"$552,020,101","774,911,800","774,911,800"
5,2012,X,Qatar,Canada,2711,"$102,353,307","577,901,000","577,901,000"
6,2012,X,Qatar,China,2711,"$5,081,014,943","5,431,978,000","5,431,978,000"
7,2012,X,Qatar,Dominica,2711,"$39,497,228","62,398,300","62,398,300"
8,2012,X,Qatar,France,2711,"$1,213,895,529","1,725,751,500","1,725,751,500"
9,2012,X,Qatar,Indonesia,2711,"$1,129,219,096","1,228,770,200","1,228,770,200"
10,2012,X,Qatar,Japan,2711,"$25,632,178,893","28,328,780,000","28,328,780,000"
11,2012,X,Qatar,Rep. of Korea,2711,"$18,294,683,950","20,385,960,000","20,385,960,000"
12,2012,X,Qatar,Kuwait,2711,"$550,028,803","875,941,800","875,941,800"
13,2012,X,Qatar,Malaysia,2711,"$3,396,929","5,664,550","5,664,550"
14,2012,X,Qatar,Mexico,2711,"$258,470,948","1,198,244,000","1,198,244,000"
15,2012,X,Qatar,"Other Asia, nes",2711,"$3,912,541,556","6,382,999,000","6,382,999,000"
16,2012,X,Qatar,Oman,2711,"$71,004,841","89,152,800","89,152,800"
17,2012,X,Qatar,Norway,2711,"$208,203,089","250,130,200","250,130,200"
18,2012,X,Qatar,Pakistan,2711,"$11,887,475","9,394,180","9,394,180"
19,2012,X,Qatar,Philippines,2711,"$152,592,412","171,493,900","171,493,900"
20,2012,X,Qatar,Portugal,2711,"$31,199,968","60,393,700","60,393,700"
21,2012,X,Qatar,India,2711,"$9,381,553,764","14,566,737,000","14,566,737,000"
22,2012,X,Qatar,Singapore,2711,"$2,241,508,852","2,419,748,000","2,419,748,000"
23,2012,X,Qatar,Viet Nam,2711,"$95,667,794","109,981,500","109,981,500"
24,2012,X,Qatar,Spain,2711,"$4,113,733,627","7,391,204,000","7,391,204,000"
25,2012,X,Qatar,Thailand,2711,"$763,882,415","904,146,600","904,146,600"
26,2012,X,Qatar,United Arab Emirates,2711,"$1,959,217,366","2,891,893,000","2,891,893,000"
27,2012,X,Qatar,Türkiye,2711,"$477,582,295","867,987,100","867,987,100"
28,2012,X,Qatar,Egypt,2711,"$131,836,828","136,169,200","136,169,200"
29,2012,X,Qatar,United Kingdom,2711,"$4,470,473,820","9,498,705,000","9,498,705,000"
30,2012,X,Qatar,USA,2711,"$184,903,877","972,304,440","972,304,440"
31,2013,X,Qatar,World,2711,"$87,538,390,679","113,788,544,800","113,788,544,800"
32,2013,X,Qatar,Argentina,2711,"$302,030,033","424,545,100","424,545,100"
33,2013,X,Qatar,Australia,2711,"$216,687,311","270,599,400","270,599,400"
34,2013,X,Qatar,Belgium,2711,"$1,187,650,301","2,350,615,000","2,350,615,000"
35,2013,X,Qatar,Brazil,2711,"$44,954,982","60,276,500","60,276,500"
36,2013,X,Qatar,Canada,2711,"$120,393,358","575,399,000","575,399,000"
37,2013,X,Qatar,Chile,2711,"$65,632,355","131,852,000","131,852,000"
38,2013,X,Qatar,China,2711,"$7,041,401,766","7,804,270,000","7,804,270,000"
39,2013,X,Qatar,France,2711,"$1,587,375,852","2,281,114,100","2,281,114,100"
40,2013,X,Qatar,Germany,2711,"$84,467,951","155,386,000","155,386,000"
41,2013,X,Qatar,Indonesia,2711,"$987,878,997","1,178,348,400","1,178,348,400"
42,2013,X,Qatar,Italy,2711,"$2,381,514,763","4,071,868,000","4,071,868,000"
43,2013,X,Qatar,Japan,2711,"$26,592,741,546","30,348,410,000","30,348,410,000"
44,2013,X,Qatar,Rep. of Korea,2711,"$19,090,642,907","21,979,840,000","21,979,840,000"
45,2013,X,Qatar,Kuwait,2711,"$900,260,856","1,368,094,100","1,368,094,100"
46,2013,X,Qatar,Malaysia,2711,"$95,858,490","124,431,300","124,431,300"
47,2013,X,Qatar,Mexico,2711,"$424,612,088","1,283,534,700","1,283,534,700"
48,2013,X,Qatar,"Other Asia, nes",2711,"$4,200,196,735","6,761,804,000","6,761,804,000"
49,2013,X,Qatar,Netherlands,2711,"$100,695,579","153,040,800","153,040,800"
50,2013,X,Qatar,Pakistan,2711,"$5,829,410","4,724,000","4,724,000"
51,2013,X,Qatar,Philippines,2711,"$260,795,411","291,377,700","291,377,700"
52,2013,X,Qatar,Portugal,2711,"$105,266,406","183,060,400","183,060,400"
53,2013,X,Qatar,India,2711,"$10,495,563,033","14,724,860,000","14,724,860,000"
54,2013,X,Qatar,Singapore,2711,"$2,821,934,598","3,127,275,000","3,127,275,000"
55,2013,X,Qatar,Viet Nam,2711,"$114,198,185","134,442,600","134,442,600"
56,2013,X,Qatar,South Africa,2711,"$53,097,617","57,924,400","57,924,400"
57,2013,X,Qatar,Spain,2711,"$1,100,839,458","2,481,379,000","2,481,379,000"
58,2013,X,Qatar,Thailand,2711,"$1,206,183,711","1,500,806,000","1,500,806,000"
59,2013,X,Qatar,United Arab Emirates,2711,"$2,254,907,335","3,156,479,400","3,156,479,400"
60,2013,X,Qatar,Türkiye,2711,"$151,629,508","218,460,800","218,460,800"
61,2013,X,Qatar,United Kingdom,2711,"$3,465,985,055","6,367,507,000","6,367,507,000"
62,2013,X,Qatar,USA,2711,"$77,165,069","216,820,100","216,820,100"
63,2014,X,Qatar,World,2711,"$86,040,000,044","113,202,614,749","113,202,614,749"
64,2014,X,Qatar,Argentina,2711,"$525,380,262","849,337,716","849,337,716"
65,2014,X,Qatar,Australia,2711,"$202,193,953","266,212,277","266,212,277"
66,2014,X,Qatar,Belgium,2711,"$835,309,165","2,034,388,855","2,034,388,855"
67,2014,X,Qatar,Brazil,2711,"$188,304,234","373,862,494","373,862,494"
68,2014,X,Qatar,China,2711,"$7,500,269,279","8,417,509,712","8,417,509,712"
69,2014,X,Qatar,Dominican Rep.,2711,"$29,771,116","60,026,879","60,026,879"
70,2014,X,Qatar,France,2711,"$1,005,363,077","1,474,342,759","1,474,342,759"
71,2014,X,Qatar,Indonesia,2711,"$1,140,421,246","1,389,917,808","1,389,917,808"
72,2014,X,Qatar,Italy,2711,"$1,655,758,344","3,290,146,415","3,290,146,415"
73,2014,X,Qatar,Japan,2711,"$22,484,797,776","26,118,865,812","26,118,865,812"
74,2014,X,Qatar,Rep. of Korea,2711,"$20,997,420,123","24,203,523,819","24,203,523,819"
75,2014,X,Qatar,Kuwait,2711,"$524,131,872","648,188,460","648,188,460"
76,2014,X,Qatar,Malaysia,2711,"$47,691,866","63,988,221","63,988,221"
77,2014,X,Qatar,Mexico,2711,"$533,463,777","1,003,734,554","1,003,734,554"
78,2014,X,Qatar,"Other Asia, nes",2711,"$3,512,603,859","6,088,489,825","6,088,489,825"
79,2014,X,Qatar,Oman,2711,"$159,680,350","219,462,604","219,462,604"
80,2014,X,Qatar,Netherlands,2711,"$32,073,960","91,711,403","91,711,403"
81,2014,X,Qatar,Portugal,2711,"$106,309,894","187,071,693","187,071,693"
82,2014,X,Qatar,India,2711,"$12,605,017,061","17,188,954,106","17,188,954,106"
83,2014,X,Qatar,Singapore,2711,"$2,934,038,366","3,369,307,673","3,369,307,673"
84,2014,X,Qatar,Viet Nam,2711,"$60,699,029","88,717,874","88,717,874"
85,2014,X,Qatar,Spain,2711,"$1,217,500,743","2,597,286,935","2,597,286,935"
86,2014,X,Qatar,Thailand,2711,"$1,356,428,861","1,639,382,191","1,639,382,191"
87,2014,X,Qatar,United Arab Emirates,2711,"$2,937,381,219","3,940,233,952","3,940,233,952"
88,2014,X,Qatar,Türkiye,2711,"$615,648,918","825,835,692","825,835,692"
89,2014,X,Qatar,United Kingdom,2711,"$2,832,341,695","6,772,115,020","6,772,115,020"
90,2015,X,Qatar,World,2711,"$50,554,295,035",0,0
91,2015,X,Qatar,Argentina,2711,"$133,349,951",0,0
92,2015,X,Qatar,Australia,2711,"$99,628,110",0,0
93,2015,X,Qatar,Belgium,2711,"$946,649,053",0,0
94,2015,X,Qatar,Brazil,2711,"$435,108,281",0,0
95,2015,X,Qatar,China,2711,"$3,725,121,840",0,0
96,2015,X,Qatar,France,2711,"$577,675,510",0,0
97,2015,X,Qatar,Indonesia,2711,"$484,402,279",0,0
98,2015,X,Qatar,Italy,2711,"$1,386,478,613",0,0
99,2015,X,Qatar,Japan,2711,"$11,158,605,172",0,0
100,2015,X,Qatar,Jordan,2711,"$224,564,713",0,0
101,2015,X,Qatar,Kenya,2711,"$9,102,953",0,0
102,2015,X,Qatar,Rep. of Korea,2711,"$11,298,580,446",0,0
103,2015,X,Qatar,Kuwait,2711,"$244,247,283",0,0
104,2015,X,Qatar,Malaysia,2711,"$49,584,378",0,0
105,2015,X,Qatar,Mexico,2711,"$229,637,172",0,0
106,2015,X,Qatar,"Other Asia, nes",2711,"$2,477,942,710",0,0
107,2015,X,Qatar,Netherlands,2711,"$286,042,393",0,0
108,2015,X,Qatar,Pakistan,2711,"$150,474,117",0,0
109,2015,X,Qatar,Philippines,2711,"$84,736,514",0,0
110,2015,X,Qatar,Poland,2711,"$35,590,480",0,0
