,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,Qatar,World,2711,"$439,329","184,135","184,135"
1,2012,M,Qatar,Denmark,2711,"$16,788",135,135
2,2012,M,Qatar,USA,2711,"$422,541","184,000","184,000"
3,2013,M,Qatar,World,2711,"$812,197","83,932","83,932"
4,2013,M,Qatar,China,2711,"$14,560","1,910","1,910"
5,2013,M,Qatar,Germany,2711,"$46,042","21,872","21,872"
6,2013,M,Qatar,Netherlands,2711,"$471,012","9,215","9,215"
7,2013,M,Qatar,Singapore,2711,"$93,266","8,100","8,100"
8,2013,M,Qatar,United Arab Emirates,2711,"$39,959","18,480","18,480"
9,2013,M,Qatar,United Kingdom,2711,"$21,956","17,910","17,910"
10,2013,M,Qatar,USA,2711,"$125,399","6,444","6,444"
11,2014,M,Qatar,World,2711,"$916,949","141,101","141,101"
12,2014,M,Qatar,Bahrain,2711,"$9,708","6,300","6,300"
13,2014,M,Qatar,China,2711,"$4,152","2,200","2,200"
14,2014,M,Qatar,France,2711,"$69,745","16,535","16,535"
15,2014,M,Qatar,Germany,2711,"$111,138","36,692","36,692"
16,2014,M,Qatar,Ireland,2711,"$2,425",8,8
17,2014,M,Qatar,Italy,2711,"$3,353",100,100
18,2014,M,Qatar,Rep. of Korea,2711,"$3,836",361,361
19,2014,M,Qatar,Mexico,2711,$210,67,67
20,2014,M,Qatar,Netherlands,2711,"$405,010","11,046","11,046"
21,2014,M,Qatar,India,2711,"$37,353","20,504","20,504"
22,2014,M,Qatar,Spain,2711,"$2,631",337,337
23,2014,M,Qatar,United Arab Emirates,2711,"$11,110","18,732","18,732"
24,2014,M,Qatar,United Kingdom,2711,"$32,601","7,003","7,003"
25,2014,M,Qatar,USA,2711,"$223,678","21,215","21,215"
26,2015,M,Qatar,World,2711,"$847,297","66,518","66,518"
27,2015,M,Qatar,France,2711,"$65,209","18,560","18,560"
28,2015,M,Qatar,Germany,2711,"$69,989","9,477","9,477"
29,2015,M,Qatar,Oman,2711,"$18,113","16,000","16,000"
30,2015,M,Qatar,Netherlands,2711,"$606,302","17,734","17,734"
31,2015,M,Qatar,India,2711,"$25,312","2,000","2,000"
32,2015,M,Qatar,USA,2711,"$62,369","2,746","2,746"
33,2016,M,Qatar,World,2711,"$955,629",0,"374,720"
34,2016,M,Qatar,Bahrain,2711,"$24,282","15,750","15,750"
35,2016,M,Qatar,China,2711,"$58,683","1,525","1,525"
36,2016,M,Qatar,France,2711,"$34,656","5,288","5,288"
37,2016,M,Qatar,Germany,2711,"$113,778","21,085","21,085"
38,2016,M,Qatar,Ireland,2711,"$29,651",0,"1,048"
39,2016,M,Qatar,Rep. of Korea,2711,"$20,460","6,416","6,416"
40,2016,M,Qatar,Oman,2711,"$37,001","48,000","48,000"
41,2016,M,Qatar,Netherlands,2711,"$541,405","231,496","231,496"
42,2016,M,Qatar,United Arab Emirates,2711,"$14,851","38,446","38,446"
43,2016,M,Qatar,USA,2711,"$80,858","5,664","5,664"
44,2017,M,Qatar,World,2711,"$751,437","100,178","100,178"
45,2017,M,Qatar,France,2711,"$11,542","1,604","1,604"
46,2017,M,Qatar,Germany,2711,"$50,582","12,248","12,248"
47,2017,M,Qatar,Ireland,2711,"$24,440","1,972","1,972"
48,2017,M,Qatar,Italy,2711,"$12,368","2,603","2,603"
49,2017,M,Qatar,Rep. of Korea,2711,"$11,125","7,074","7,074"
50,2017,M,Qatar,Oman,2711,"$13,545","6,925","6,925"
51,2017,M,Qatar,Netherlands,2711,"$369,393","10,971","10,971"
52,2017,M,Qatar,Poland,2711,"$9,214",270,270
53,2017,M,Qatar,India,2711,"$50,445","10,822","10,822"
54,2017,M,Qatar,United Arab Emirates,2711,"$18,483","24,033","24,033"
55,2017,M,Qatar,United Kingdom,2711,"$16,922",357,357
56,2017,M,Qatar,USA,2711,"$151,426","17,936","17,936"
57,2017,M,Qatar,"Areas, nes",2711,"$11,944","3,360","3,360"
58,2018,M,Qatar,World,2711,"$601,746","186,471","186,471"
59,2018,M,Qatar,France,2711,"$13,986","2,731","2,731"
60,2018,M,Qatar,Germany,2711,"$15,542",185,185
61,2018,M,Qatar,Rep. of Korea,2711,"$87,822","27,469","27,469"
62,2018,M,Qatar,Oman,2711,"$171,084","141,202","141,202"
63,2018,M,Qatar,Netherlands,2711,"$273,221","13,632","13,632"
64,2018,M,Qatar,USA,2711,"$40,089","1,250","1,250"
65,2019,M,Qatar,World,2711,"$436,016","128,608","128,608"
66,2019,M,Qatar,China,2711,"$34,095","4,660","4,660"
67,2019,M,Qatar,Germany,2711,"$39,544",510,510
68,2019,M,Qatar,Rep. of Korea,2711,"$68,810","41,369","41,369"
69,2019,M,Qatar,Oman,2711,"$74,736","76,693","76,693"
70,2019,M,Qatar,Netherlands,2711,"$164,020","4,210","4,210"
71,2019,M,Qatar,USA,2711,"$54,808","1,165","1,165"
72,2020,M,Qatar,World,2711,"$707,098","262,365","262,365"
73,2020,M,Qatar,Germany,2711,"$19,963",295,295
74,2020,M,Qatar,Greece,2711,"$22,596","8,768","8,768"
75,2020,M,Qatar,Italy,2711,"$57,814","8,844","8,844"
76,2020,M,Qatar,Rep. of Korea,2711,"$123,861","58,193","58,193"
77,2020,M,Qatar,Oman,2711,"$142,544","171,360","171,360"
78,2020,M,Qatar,Netherlands,2711,"$302,780","14,093","14,093"
79,2020,M,Qatar,India,2711,"$15,009",266,266
80,2020,M,Qatar,USA,2711,"$22,529",543,543
81,2021,M,Qatar,World,2711,"$285,542",0,0
82,2021,M,Qatar,Germany,2711,"$62,955",954,954
83,2021,M,Qatar,Italy,2711,"$21,395",0,0
84,2021,M,Qatar,Rep. of Korea,2711,"$57,850","28,023","28,023"
85,2021,M,Qatar,Kuwait,2711,"$14,931","6,426","6,426"
86,2021,M,Qatar,Oman,2711,"$55,530","69,552","69,552"
87,2021,M,Qatar,Netherlands,2711,"$32,532",0,0
88,2021,M,Qatar,United Kingdom,2711,"$25,392",0,0
89,2021,M,Qatar,USA,2711,"$14,954",160,160
90,2022,M,Qatar,World,2711,"$591,743","190,267","190,267"
91,2022,M,Qatar,China,2711,"$85,298","8,609","8,609"
92,2022,M,Qatar,Germany,2711,"$20,883",985,985
93,2022,M,Qatar,Rep. of Korea,2711,"$72,706","45,135","45,135"
94,2022,M,Qatar,Oman,2711,"$109,258","112,256","112,256"
95,2022,M,Qatar,Netherlands,2711,"$282,035","14,881","14,881"
96,2022,M,Qatar,USA,2711,"$21,560","8,400","8,400"
97,2023,M,Qatar,World,2711,"$499,451",0,0
98,2023,M,Qatar,China,2711,"$63,684","70,802","70,802"
99,2023,M,Qatar,Rep. of Korea,2711,"$147,084","209,039","209,039"
100,2023,M,Qatar,Oman,2711,"$44,079","70,687","70,687"
101,2023,M,Qatar,Netherlands,2711,"$121,869",0,0
102,2023,M,Qatar,United Arab Emirates,2711,"$17,388","24,712","24,712"
103,2023,M,Qatar,USA,2711,"$105,345","164,288","164,288"
