,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,Russian Federation,World,2711,"$68,834,575,435",0,0
1,2012,X,Russian Federation,Albania,2711,"$4,983,710","7,321,871",0
2,2012,X,Russian Federation,Armenia,2711,"$230,350","271,000",0
3,2012,X,Russian Federation,Bulgaria,2711,"$29,169,756","43,247,500",0
4,2012,X,Russian Federation,Belarus,2711,"$145,981,290","298,057,832",0
5,2012,X,Russian Federation,China,2711,"$89,592,960","392,290,168",0
6,2012,X,Russian Federation,Cyprus,2711,"$3,647,925","4,909,796",0
7,2012,X,Russian Federation,Estonia,2711,"$507,673","440,650",0
8,2012,X,Russian Federation,Finland,2711,"$155,395,610","193,338,669",0
9,2012,X,Russian Federation,Georgia,2711,"$3,146,759","4,085,460",0
10,2012,X,Russian Federation,Hungary,2711,"$116,149,531","156,268,082",0
11,2012,X,Russian Federation,Italy,2711,"$5,849,113","9,104,287",0
12,2012,X,Russian Federation,Japan,2711,"$4,133,645,015","7,304,319,589",0
13,2012,X,Russian Federation,Kazakhstan,2711,"$1,487,119","2,941,972",0
14,2012,X,Russian Federation,Rep. of Korea,2711,"$454,142,448","1,925,980,103",0
15,2012,X,Russian Federation,Kyrgyzstan,2711,"$1,883,322","4,469,415",0
16,2012,X,Russian Federation,Lebanon,2711,"$1,597,009","2,840,051",0
17,2012,X,Russian Federation,Latvia,2711,"$52,359,851","72,628,888",0
18,2012,X,Russian Federation,Lithuania,2711,"$41,327,088","55,844,907",0
19,2012,X,Russian Federation,Mongolia,2711,"$6,884,541","7,568,839",0
20,2012,X,Russian Federation,Rep. of Moldova,2711,"$17,870,409","24,240,100",0
21,2012,X,Russian Federation,Morocco,2711,"$2,900,013","3,787,550",0
22,2012,X,Russian Federation,Netherlands,2711,"$23,049,686","33,265,519",0
23,2012,X,Russian Federation,Poland,2711,"$766,981,297","1,074,799,768",0
24,2012,X,Russian Federation,Romania,2711,"$32,246,550","43,252,618",0
25,2012,X,Russian Federation,Serbia,2711,"$1,998,506","2,750,900",0
26,2012,X,Russian Federation,Slovakia,2711,"$45,280,368","59,434,050",0
27,2012,X,Russian Federation,Sweden,2711,"$68,818,889","82,132,100",0
28,2012,X,Russian Federation,Switzerland,2711,"$10,682,228","12,770,300",0
29,2012,X,Russian Federation,Türkiye,2711,"$287,686,062","382,452,229",0
30,2012,X,Russian Federation,Turkmenistan,2711,$669,600,0
31,2012,X,Russian Federation,Ukraine,2711,"$75,782,973","101,713,268",0
32,2012,X,Russian Federation,"Areas, nes",2711,"$62,253,296,715",0,0
33,2013,X,Russian Federation,World,2711,"$74,639,149,258","149,763,214,777","149,763,214,777"
34,2013,X,Russian Federation,Belgium,2711,"$2,672,639","4,047,860","4,047,860"
35,2013,X,Russian Federation,Bulgaria,2711,"$25,953,256","43,150,350","43,150,350"
36,2013,X,Russian Federation,Belarus,2711,"$150,661,578","324,779,784","324,779,784"
37,2013,X,Russian Federation,China,2711,"$8,364,636","65,164,463","65,164,463"
38,2013,X,Russian Federation,Cyprus,2711,"$11,990,759","20,277,660","20,277,660"
39,2013,X,Russian Federation,Finland,2711,"$148,877,766","214,889,679","214,889,679"
40,2013,X,Russian Federation,France,2711,"$6,254,128","9,680,647","9,680,647"
41,2013,X,Russian Federation,Georgia,2711,"$3,494,168","4,931,160","4,931,160"
42,2013,X,Russian Federation,Germany,2711,"$1,079,601","1,689,967","1,689,967"
43,2013,X,Russian Federation,Hungary,2711,"$124,699,398","196,363,315","196,363,315"
44,2013,X,Russian Federation,Italy,2711,"$50,095,523","83,983,887","83,983,887"
45,2013,X,Russian Federation,Japan,2711,"$5,055,444,805","9,459,827,139","9,459,827,139"
46,2013,X,Russian Federation,Kazakhstan,2711,"$600,144","245,931","245,931"
47,2013,X,Russian Federation,Dem. People's Rep. of Korea,2711,$34,0,0
48,2013,X,Russian Federation,Rep. of Korea,2711,"$438,053,566","2,248,896,283","2,248,896,283"
49,2013,X,Russian Federation,Kyrgyzstan,2711,"$2,119,913","5,379,890","5,379,890"
50,2013,X,Russian Federation,Latvia,2711,"$49,771,938","81,332,391","81,332,391"
51,2013,X,Russian Federation,Lithuania,2711,"$29,105,308","46,003,242","46,003,242"
52,2013,X,Russian Federation,Malta,2711,"$1,029,047","2,484,900","2,484,900"
53,2013,X,Russian Federation,"Other Asia, nes",2711,"$6,087,447","65,002,863","65,002,863"
54,2013,X,Russian Federation,Mongolia,2711,"$8,129,976","10,229,935","10,229,935"
55,2013,X,Russian Federation,Rep. of Moldova,2711,"$9,756,022","16,264,550","16,264,550"
56,2013,X,Russian Federation,Morocco,2711,"$729,446","1,413,700","1,413,700"
57,2013,X,Russian Federation,Netherlands,2711,"$29,463,089","52,048,172","52,048,172"
58,2013,X,Russian Federation,Norway,2711,"$7,554,022","10,730,145","10,730,145"
59,2013,X,Russian Federation,Poland,2711,"$569,307,650","958,414,870","958,414,870"
60,2013,X,Russian Federation,Romania,2711,"$45,380,966","74,759,292","74,759,292"
61,2013,X,Russian Federation,Serbia,2711,"$882,171","1,279,850","1,279,850"
62,2013,X,Russian Federation,Slovakia,2711,"$40,207,643","67,109,875","67,109,875"
63,2013,X,Russian Federation,Spain,2711,"$3,866,580","5,211,024","5,211,024"
64,2013,X,Russian Federation,Sweden,2711,"$61,561,760","90,338,905","90,338,905"
65,2013,X,Russian Federation,Switzerland,2711,"$267,161","374,700","374,700"
66,2013,X,Russian Federation,Tajikistan,2711,"$7,511,683","14,337,597","14,337,597"
67,2013,X,Russian Federation,Tunisia,2711,"$9,153,747","16,228,700","16,228,700"
68,2013,X,Russian Federation,Türkiye,2711,"$398,047,208","626,250,914","626,250,914"
69,2013,X,Russian Federation,Turkmenistan,2711,$187,168,168
70,2013,X,Russian Federation,Ukraine,2711,"$98,672,394","156,506,888","156,506,888"
71,2013,X,Russian Federation,Uzbekistan,2711,$181,2,2
72,2013,X,Russian Federation,"Areas, nes",2711,"$67,232,301,718","134,783,584,079","134,783,584,079"
73,2014,X,Russian Federation,World,2711,"$62,647,852,136","98,523,008,282","98,523,008,282"
74,2014,X,Russian Federation,Albania,2711,"$2,469,391","3,434,874","3,434,874"
75,2014,X,Russian Federation,Belgium,2711,"$26,889,333","41,592,844","41,592,844"
76,2014,X,Russian Federation,Bulgaria,2711,"$37,433,634","73,778,750","73,778,750"
77,2014,X,Russian Federation,Belarus,2711,"$189,165,562","410,710,918","410,710,918"
78,2014,X,Russian Federation,China,2711,"$19,367,324","132,947,694","132,947,694"
79,2014,X,Russian Federation,Cyprus,2711,"$33,365","48,070","48,070"
80,2014,X,Russian Federation,Denmark,2711,"$1,049,947","1,764,616","1,764,616"
81,2014,X,Russian Federation,Estonia,2711,"$197,576","369,020","369,020"
82,2014,X,Russian Federation,Finland,2711,"$237,300,743","333,078,815","333,078,815"
