,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,Russian Federation,World,2711,"$369,192,258",0,0
1,2012,M,Russian Federation,Azerbaijan,2711,"$12,897,902","16,175,600",0
2,2012,M,Russian Federation,Belarus,2711,"$44,800,494","44,265,120",0
3,2012,M,Russian Federation,China,2711,"$314,020","84,524",0
4,2012,M,Russian Federation,Denmark,2711,"$5,820","1,698",0
5,2012,M,Russian Federation,France,2711,"$186,889","37,658",0
6,2012,M,Russian Federation,Germany,2711,"$316,238","23,223",0
7,2012,M,Russian Federation,Iran,2711,"$8,835,822","12,377,385",0
8,2012,M,Russian Federation,Italy,2711,"$185,567","43,678",0
9,2012,M,Russian Federation,Japan,2711,"$22,122",541,0
10,2012,M,Russian Federation,Kazakhstan,2711,"$1,336,816","2,690,712",0
11,2012,M,Russian Federation,Rep. of Korea,2711,"$2,931,476","9,189,320",0
12,2012,M,Russian Federation,Lithuania,2711,"$65,414","13,497",0
13,2012,M,Russian Federation,"Other Asia, nes",2711,"$15,398","4,385",0
14,2012,M,Russian Federation,Netherlands,2711,"$6,480",34,0
15,2012,M,Russian Federation,Poland,2711,"$20,766","17,985",0
16,2012,M,Russian Federation,Sweden,2711,"$5,078",21,0
17,2012,M,Russian Federation,Switzerland,2711,$871,10,0
18,2012,M,Russian Federation,Türkiye,2711,"$3,331,033","2,000,444",0
19,2012,M,Russian Federation,Ukraine,2711,"$69,265,524","65,113,200",0
20,2012,M,Russian Federation,United Kingdom,2711,"$2,276",257,0
21,2012,M,Russian Federation,USA,2711,"$49,829","4,949",0
22,2012,M,Russian Federation,"Areas, nes",2711,"$224,596,425",0,0
23,2013,M,Russian Federation,World,2711,"$277,939,090","446,338,043","446,338,043"
24,2013,M,Russian Federation,Azerbaijan,2711,"$7,953,141","12,664,440","12,664,440"
25,2013,M,Russian Federation,Belarus,2711,"$39,667,451","46,129,950","46,129,950"
26,2013,M,Russian Federation,China,2711,"$283,583","76,632","76,632"
27,2013,M,Russian Federation,France,2711,"$168,326","34,631","34,631"
28,2013,M,Russian Federation,Germany,2711,"$493,553","62,365","62,365"
29,2013,M,Russian Federation,Iran,2711,"$1,709,711","2,868,271","2,868,271"
30,2013,M,Russian Federation,Italy,2711,"$272,679","54,077","54,077"
31,2013,M,Russian Federation,Japan,2711,$20,0,0
32,2013,M,Russian Federation,Kazakhstan,2711,"$1,888,924","5,936,748","5,936,748"
33,2013,M,Russian Federation,Dem. People's Rep. of Korea,2711,"$2,739",628,628
34,2013,M,Russian Federation,Rep. of Korea,2711,"$3,360,994","10,675,403","10,675,403"
35,2013,M,Russian Federation,Lithuania,2711,"$144,513","26,316","26,316"
36,2013,M,Russian Federation,Mexico,2711,$520,3,3
37,2013,M,Russian Federation,"Other Asia, nes",2711,"$37,843","10,221","10,221"
38,2013,M,Russian Federation,Panama,2711,"$7,185",17,17
39,2013,M,Russian Federation,Poland,2711,"$13,889","4,361","4,361"
40,2013,M,Russian Federation,Sweden,2711,$205,45,45
41,2013,M,Russian Federation,Switzerland,2711,"$1,547",64,64
42,2013,M,Russian Federation,Thailand,2711,"$125,195","11,690","11,690"
43,2013,M,Russian Federation,Ukraine,2711,"$31,500","9,000","9,000"
44,2013,M,Russian Federation,United Kingdom,2711,"$2,631",5,5
45,2013,M,Russian Federation,USA,2711,"$76,789","2,412","2,412"
46,2013,M,Russian Federation,"Areas, nes",2711,"$221,696,152","367,770,765","367,770,765"
47,2014,M,Russian Federation,World,2711,"$323,173,211","7,574,353,564","7,574,353,564"
48,2014,M,Russian Federation,Azerbaijan,2711,"$16,162,579","26,531,950","26,531,950"
49,2014,M,Russian Federation,Belgium,2711,"$6,804",4,4
50,2014,M,Russian Federation,Belarus,2711,"$45,768,734","53,291,058","53,291,058"
51,2014,M,Russian Federation,China,2711,"$230,774","55,729","55,729"
