,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,USA,World,2711,"$8,800,162,511","20,052,105,432","20,052,105,432"
1,2012,X,USA,Afghanistan,2711,"$75,718","82,468","82,468"
2,2012,X,USA,Algeria,2711,"$56,001","66,667","66,667"
3,2012,X,USA,Angola,2711,"$687,945","385,435","385,435"
4,2012,X,USA,Antigua and Barbuda,2711,"$20,673","23,901","23,901"
5,2012,X,USA,Argentina,2711,"$262,656","363,361","363,361"
6,2012,X,USA,Australia,2711,"$2,197,979","2,844,235","2,844,235"
7,2012,X,USA,Bahamas,2711,"$11,641,760","27,025,783","27,025,783"
8,2012,X,USA,Bahrain,2711,"$35,060","35,254","35,254"
9,2012,X,USA,Bangladesh,2711,"$3,168",137,137
10,2012,X,USA,Barbados,2711,"$899,578","1,039,959","1,039,959"
11,2012,X,USA,Belgium,2711,"$21,958,597","41,522,606","41,522,606"
12,2012,X,USA,Bermuda,2711,"$632,625","1,450,471","1,450,471"
13,2012,X,USA,Bolivia (Plurinational State of),2711,"$3,100","6,290","6,290"
14,2012,X,USA,Brazil,2711,"$359,767,984","939,708,919","939,708,919"
15,2012,X,USA,Belize,2711,"$43,831","47,586","47,586"
16,2012,X,USA,Br. Virgin Isds,2711,"$525,676","906,666","906,666"
17,2012,X,USA,Bulgaria,2711,"$7,512","1,367","1,367"
18,2012,X,USA,Canada,2711,"$3,505,886,632","6,949,769,480","6,949,769,480"
19,2012,X,USA,Cayman Isds,2711,"$846,238","2,758,053","2,758,053"
20,2012,X,USA,Chile,2711,"$248,105,225","796,739,948","796,739,948"
21,2012,X,USA,China,2711,"$79,395,602","173,757,741","173,757,741"
22,2012,X,USA,Colombia,2711,"$285,487","258,984","258,984"
23,2012,X,USA,Congo,2711,"$2,970",410,410
24,2012,X,USA,Costa Rica,2711,"$86,934,956","216,331,911","216,331,911"
25,2012,X,USA,Denmark,2711,"$1,004,316","93,075","93,075"
26,2012,X,USA,Dominican Rep.,2711,"$289,971,512","934,195,449","934,195,449"
27,2012,X,USA,Ecuador,2711,"$213,538,651","602,565,835","602,565,835"
28,2012,X,USA,El Salvador,2711,"$39,638","46,959","46,959"
29,2012,X,USA,Equatorial Guinea,2711,"$77,996","86,347","86,347"
30,2012,X,USA,Finland,2711,"$32,506","38,697","38,697"
31,2012,X,USA,France,2711,"$111,970,612","350,142,711","350,142,711"
32,2012,X,USA,French Polynesia,2711,"$5,608","3,575","3,575"
33,2012,X,USA,Djibouti,2711,"$431,878","334,466","334,466"
34,2012,X,USA,Germany,2711,"$382,430","577,100","577,100"
35,2012,X,USA,Ghana,2711,"$12,807,390","11,518,444","11,518,444"
36,2012,X,USA,Gibraltar,2711,"$27,489,000","75,207,000","75,207,000"
37,2012,X,USA,Greece,2711,"$4,810","5,726","5,726"
38,2012,X,USA,Grenada,2711,"$3,255","11,486","11,486"
39,2012,X,USA,Guatemala,2711,"$2,372,098","5,597,354","5,597,354"
40,2012,X,USA,Guinea,2711,"$13,618","24,887","24,887"
41,2012,X,USA,Guyana,2711,"$40,524","48,242","48,242"
42,2012,X,USA,Haiti,2711,"$455,651","1,371,242","1,371,242"
43,2012,X,USA,Honduras,2711,"$197,695,573","589,637,109","589,637,109"
44,2012,X,USA,"China, Hong Kong SAR",2711,"$93,126","119,893","119,893"
45,2012,X,USA,Indonesia,2711,"$1,452,924","1,148,521","1,148,521"
46,2012,X,USA,Iraq,2711,"$174,128","68,066","68,066"
47,2012,X,USA,Ireland,2711,"$7,448","3,282","3,282"
48,2012,X,USA,Israel,2711,"$300,094","445,601","445,601"
49,2012,X,USA,Italy,2711,"$74,151","125,010","125,010"
50,2012,X,USA,Jamaica,2711,"$7,825,116","19,775,645","19,775,645"
51,2012,X,USA,Japan,2711,"$465,600,882","912,878,722","912,878,722"
52,2012,X,USA,Rep. of Korea,2711,"$34,575,625","90,819,508","90,819,508"
53,2012,X,USA,Kuwait,2711,"$25,548","37,785","37,785"
54,2012,X,USA,Libya,2711,"$55,409","65,962","65,962"
55,2012,X,USA,Malaysia,2711,"$1,415,946","1,490,848","1,490,848"
56,2012,X,USA,Malta,2711,"$22,942,340","78,624,960","78,624,960"
57,2012,X,USA,Mexico,2711,"$2,558,957,880","5,820,338,238","5,820,338,238"
58,2012,X,USA,"Other Asia, nes",2711,"$20,639,811","41,436,667","41,436,667"
59,2012,X,USA,Mongolia,2711,"$5,153","3,282","3,282"
60,2012,X,USA,Montserrat,2711,"$36,206","98,726","98,726"
61,2012,X,USA,Morocco,2711,"$45,566,462","84,495,142","84,495,142"
62,2012,X,USA,Netherlands,2711,"$159,779,278","559,675,655","559,675,655"
63,2012,X,USA,Curaçao,2711,"$54,444","64,813","64,813"
64,2012,X,USA,Aruba,2711,"$4,488,535","12,255,323","12,255,323"
65,2012,X,USA,Sint Maarten,2711,"$75,119","109,997","109,997"
66,2012,X,USA,New Zealand,2711,"$642,871","744,166","744,166"
67,2012,X,USA,Nicaragua,2711,"$3,998",137,137
68,2012,X,USA,Nigeria,2711,"$187,079","163,521","163,521"
69,2012,X,USA,Norway,2711,"$118,574","152,969","152,969"
70,2012,X,USA,Marshall Isds,2711,"$6,928","1,675","1,675"
71,2012,X,USA,Pakistan,2711,"$497,877","808,015","808,015"
72,2012,X,USA,Panama,2711,"$81,436,260","181,556,532","181,556,532"
73,2012,X,USA,Peru,2711,"$2,415,143","861,921","861,921"
74,2012,X,USA,Philippines,2711,"$324,001","251,105","251,105"
75,2012,X,USA,Portugal,2711,"$3,566,911","9,790,995","9,790,995"
76,2012,X,USA,Qatar,2711,"$15,916","17,560","17,560"
77,2012,X,USA,Russian Federation,2711,"$613,870","424,304","424,304"
78,2012,X,USA,Saint Kitts and Nevis,2711,"$7,471","10,565","10,565"
79,2012,X,USA,Anguilla,2711,"$585,330","1,053,172","1,053,172"
80,2012,X,USA,Saint Lucia,2711,"$4,623","5,503","5,503"
81,2012,X,USA,Saint Vincent and the Grenadines,2711,"$3,229",91,91
82,2012,X,USA,Saudi Arabia,2711,"$365,432","534,900","534,900"
83,2012,X,USA,India,2711,"$33,412,697","54,497,448","54,497,448"
84,2012,X,USA,Singapore,2711,"$458,225","393,369","393,369"
