,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,USA,World,2711,"$12,107,504,241","21,443,249,102","21,443,249,102"
1,2012,M,USA,Algeria,2711,"$161,825,727","380,943,568","380,943,568"
2,2012,M,USA,Argentina,2711,"$3,790",160,160
3,2012,M,USA,Australia,2711,"$8,367","11,429","11,429"
4,2012,M,USA,Belgium,2711,"$82,376,173","45,050,684","45,050,684"
5,2012,M,USA,Brazil,2711,"$150,167,030","290,559,220","290,559,220"
6,2012,M,USA,Canada,2711,"$9,957,779,200","18,298,130,749","18,298,130,749"
7,2012,M,USA,China,2711,"$139,121","295,661","295,661"
8,2012,M,USA,Dominican Rep.,2711,"$69,288,913","158,495,225","158,495,225"
9,2012,M,USA,Equatorial Guinea,2711,"$9,332,709","22,557,998","22,557,998"
10,2012,M,USA,Estonia,2711,"$3,208",137,137
11,2012,M,USA,Finland,2711,"$13,400,109","7,111,644","7,111,644"
12,2012,M,USA,France,2711,"$9,436,244","4,696,518","4,696,518"
13,2012,M,USA,Germany,2711,"$28,740,216","10,471,996","10,471,996"
14,2012,M,USA,Ireland,2711,"$38,708","314,365","314,365"
15,2012,M,USA,Italy,2711,"$13,822","15,041","15,041"
16,2012,M,USA,Côte d'Ivoire,2711,"$3,664",410,410
17,2012,M,USA,Japan,2711,"$164,260","944,327","944,327"
18,2012,M,USA,Kenya,2711,"$31,683","18,597","18,597"
19,2012,M,USA,Rep. of Korea,2711,"$23,364,116","178,923,261","178,923,261"
20,2012,M,USA,Liberia,2711,"$3,146",256,256
21,2012,M,USA,Mexico,2711,"$86,390,035","62,662,601","62,662,601"
22,2012,M,USA,"Other Asia, nes",2711,"$43,531,809","26,095,513","26,095,513"
23,2012,M,USA,Mozambique,2711,"$2,273",18,18
24,2012,M,USA,Netherlands,2711,"$116,735,683","68,010,818","68,010,818"
25,2012,M,USA,Nigeria,2711,"$66,474,906","89,874,020","89,874,020"
26,2012,M,USA,Norway,2711,"$87,327,747","120,347,096","120,347,096"
27,2012,M,USA,Peru,2711,"$3,009","4,992","4,992"
28,2012,M,USA,Philippines,2711,"$81,525","142,757","142,757"
29,2012,M,USA,Qatar,2711,"$88,909,991","121,446,541","121,446,541"
30,2012,M,USA,Saudi Arabia,2711,"$4,399",200,200
31,2012,M,USA,Singapore,2711,"$9,815,813","4,035,294","4,035,294"
32,2012,M,USA,Viet Nam,2711,"$8,300",137,137
33,2012,M,USA,Sweden,2711,"$43,925","65,352","65,352"
34,2012,M,USA,Switzerland,2711,"$8,540","1,924","1,924"
35,2012,M,USA,Trinidad and Tobago,2711,"$944,908,680","1,327,870,456","1,327,870,456"
36,2012,M,USA,Türkiye,2711,"$13,373,318","9,347,987","9,347,987"
37,2012,M,USA,Egypt,2711,"$7,086,556","9,679,876","9,679,876"
38,2012,M,USA,United Kingdom,2711,"$23,609,084","38,054,036","38,054,036"
39,2012,M,USA,Venezuela,2711,"$16,984,814","35,822,872","35,822,872"
40,2012,M,USA,Yemen,2711,"$96,083,628","131,245,366","131,245,366"
41,2013,M,USA,World,2711,"$14,698,004,089","26,067,367,838","26,067,367,838"
42,2013,M,USA,Algeria,2711,"$12,545,606","17,918,136","17,918,136"
43,2013,M,USA,Belgium,2711,"$14,946,944","12,047,097","12,047,097"
44,2013,M,USA,Brazil,2711,"$29,422,424","20,588,124","20,588,124"
45,2013,M,USA,Bulgaria,2711,"$64,296","536,021","536,021"
46,2013,M,USA,Belarus,2711,"$40,812","12,252","12,252"
47,2013,M,USA,Canada,2711,"$12,954,750,578","23,669,549,666","23,669,549,666"
48,2013,M,USA,China,2711,"$235,689","764,024","764,024"
49,2013,M,USA,Colombia,2711,"$1,405,702","2,658,226","2,658,226"
50,2013,M,USA,Cyprus,2711,"$6,234",137,137
51,2013,M,USA,Dominican Rep.,2711,"$83,559,542","184,624,856","184,624,856"
52,2013,M,USA,Finland,2711,"$2,858,116","2,342,820","2,342,820"
53,2013,M,USA,France,2711,"$11,166,161","9,165,562","9,165,562"
54,2013,M,USA,Germany,2711,"$8,996,020","7,919,909","7,919,909"
55,2013,M,USA,Israel,2711,"$54,037","73,812","73,812"
56,2013,M,USA,Italy,2711,"$13,559,479","11,501,772","11,501,772"
57,2013,M,USA,Japan,2711,"$13,356","10,813","10,813"
58,2013,M,USA,Rep. of Korea,2711,"$14,129,159","38,064,183","38,064,183"
59,2013,M,USA,Malaysia,2711,"$1,401,567","955,949","955,949"
60,2013,M,USA,Mexico,2711,"$57,958,252","63,269,113","63,269,113"
61,2013,M,USA,"Other Asia, nes",2711,"$9,503,901","6,330,549","6,330,549"
62,2013,M,USA,Netherlands,2711,"$123,590,166","92,179,450","92,179,450"
63,2013,M,USA,Curaçao,2711,"$4,407,585","4,801,899","4,801,899"
64,2013,M,USA,New Zealand,2711,"$44,617","246,183","246,183"
65,2013,M,USA,Nigeria,2711,"$81,859,443","111,815,850","111,815,850"
66,2013,M,USA,Norway,2711,"$103,743,612","156,062,839","156,062,839"
67,2013,M,USA,Philippines,2711,"$60,978","117,049","117,049"
68,2013,M,USA,Qatar,2711,"$12,231,400","16,707,472","16,707,472"
69,2013,M,USA,India,2711,"$1,436,805","1,565,146","1,565,146"
70,2013,M,USA,Singapore,2711,"$2,629,008","2,381,373","2,381,373"
71,2013,M,USA,Spain,2711,"$4,586,817","3,142,211","3,142,211"
72,2013,M,USA,Sweden,2711,"$59,598",697,697
73,2013,M,USA,Switzerland,2711,"$3,134",7,7
74,2013,M,USA,Thailand,2711,"$6,064,792","4,181,717","4,181,717"
75,2013,M,USA,Trinidad and Tobago,2711,"$1,017,170,069","1,468,137,733","1,468,137,733"
76,2013,M,USA,United Arab Emirates,2711,"$11,464,768","15,660,292","15,660,292"
77,2013,M,USA,Türkiye,2711,"$44,759,607","32,100,088","32,100,088"
78,2013,M,USA,United Kingdom,2711,"$533,449","18,770,852","18,770,852"
79,2013,M,USA,Yemen,2711,"$66,740,366","91,163,957","91,163,957"
80,2014,M,USA,World,2711,"$18,900,527,676",0,0
81,2014,M,USA,Algeria,2711,"$68,926,710","81,762,587",0
82,2014,M,USA,Angola,2711,"$13,131",0,0
83,2014,M,USA,Argentina,2711,"$11,135,719","13,329,361",0
84,2014,M,USA,Australia,2711,"$6,356","4,485",0
85,2014,M,USA,Bahamas,2711,"$13,900",0,0
86,2014,M,USA,Belgium,2711,"$49,309,759","42,482,993",0
87,2014,M,USA,Brazil,2711,"$27,799,110","21,110,161",0
88,2014,M,USA,Canada,2711,"$16,985,679,220",0,0
89,2014,M,USA,China,2711,"$665,856",0,0
90,2014,M,USA,Colombia,2711,"$4,750,877","5,686,760",0
91,2014,M,USA,Dominican Rep.,2711,"$113,497,179",0,0
92,2014,M,USA,Equatorial Guinea,2711,"$20,838,653","24,943,691",0
93,2014,M,USA,France,2711,"$5,367,938",0,0
94,2014,M,USA,Germany,2711,"$17,860,484",0,0
95,2014,M,USA,Italy,2711,"$22,030","24,145",0
96,2014,M,USA,Japan,2711,"$3,600",40,0
97,2014,M,USA,Rep. of Korea,2711,"$9,846,966",0,0
98,2014,M,USA,Kuwait,2711,"$1,561,493",0,0
99,2014,M,USA,Mexico,2711,"$89,658,176","119,911,567",0
100,2014,M,USA,"Other Asia, nes",2711,"$16,086,406","12,331,141",0
101,2014,M,USA,Netherlands,2711,"$41,322,316",0,0
102,2014,M,USA,Nigeria,2711,"$129,030,153","158,810,419",0
103,2014,M,USA,Norway,2711,"$156,456,802","189,718,404",0
104,2014,M,USA,Peru,2711,"$8,121,028","9,720,957",0
105,2014,M,USA,Philippines,2711,"$60,280","66,067",0
106,2014,M,USA,Portugal,2711,"$2,558,708","1,560,199",0
107,2014,M,USA,Saudi Arabia,2711,"$3,974,428",0,0
108,2014,M,USA,India,2711,"$3,670,693","1,500,014",0
