,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,United Kingdom,World,2711,"$6,136,132,152","11,278,451,248","11,278,451,248"
1,2012,X,United Kingdom,Algeria,2711,"$9,029","4,695","4,695"
2,2012,X,United Kingdom,Angola,2711,"$8,233",52,52
3,2012,X,United Kingdom,Azerbaijan,2711,"$10,637",302,302
4,2012,X,United Kingdom,Argentina,2711,"$46,121",140,140
5,2012,X,United Kingdom,Australia,2711,"$287,718","73,133","73,133"
6,2012,X,United Kingdom,Austria,2711,"$5,198","1,792","1,792"
7,2012,X,United Kingdom,Bahamas,2711,"$3,743",1,1
8,2012,X,United Kingdom,Bahrain,2711,"$4,429",5,5
9,2012,X,United Kingdom,Barbados,2711,"$2,585",1,1
10,2012,X,United Kingdom,Belgium,2711,"$2,034,225,722","4,231,560,477","4,231,560,477"
11,2012,X,United Kingdom,Brazil,2711,"$72,861",48,48
12,2012,X,United Kingdom,Bulgaria,2711,$6,4,4
13,2012,X,United Kingdom,Cameroon,2711,"$2,944",17,17
14,2012,X,United Kingdom,Canada,2711,"$27,087",74,74
15,2012,X,United Kingdom,Sri Lanka,2711,"$16,494",4,4
16,2012,X,United Kingdom,Chile,2711,"$18,485",4,4
17,2012,X,United Kingdom,China,2711,"$141,355",999,999
18,2012,X,United Kingdom,Congo,2711,"$7,550","3,152","3,152"
19,2012,X,United Kingdom,Cyprus,2711,"$35,511","7,805","7,805"
20,2012,X,United Kingdom,Czechia,2711,"$55,722","10,892","10,892"
21,2012,X,United Kingdom,Denmark,2711,"$2,733,749","3,245,053","3,245,053"
22,2012,X,United Kingdom,Dominican Rep.,2711,"$66,593","10,855","10,855"
23,2012,X,United Kingdom,Ecuador,2711,"$17,066,885","19,499,200","19,499,200"
24,2012,X,United Kingdom,El Salvador,2711,"$2,050",1,1
25,2012,X,United Kingdom,Ethiopia,2711,"$12,984",140,140
26,2012,X,United Kingdom,Estonia,2711,"$1,455,467","1,994,308","1,994,308"
27,2012,X,United Kingdom,Faeroe Isds,2711,"$2,544",11,11
28,2012,X,United Kingdom,Falkland Isds (Malvinas),2711,"$161,285","120,620","120,620"
29,2012,X,United Kingdom,Finland,2711,"$1,672,647","1,984,163","1,984,163"
30,2012,X,United Kingdom,France,2711,"$313,587,891","352,003,848","352,003,848"
31,2012,X,United Kingdom,Gabon,2711,"$3,690",5,5
32,2012,X,United Kingdom,Germany,2711,"$43,608,806","40,439,955","40,439,955"
33,2012,X,United Kingdom,Ghana,2711,"$4,343,586","4,897,110","4,897,110"
34,2012,X,United Kingdom,Gibraltar,2711,"$33,522",6,6
35,2012,X,United Kingdom,Greece,2711,"$80,375","17,802","17,802"
36,2012,X,United Kingdom,"China, Hong Kong SAR",2711,"$9,062",6,6
37,2012,X,United Kingdom,Hungary,2711,"$11,177","2,608","2,608"
38,2012,X,United Kingdom,Iceland,2711,"$658,804","873,335","873,335"
39,2012,X,United Kingdom,Iran,2711,"$10,700",240,240
40,2012,X,United Kingdom,Iraq,2711,"$5,715",60,60
41,2012,X,United Kingdom,Ireland,2711,"$1,677,347,836","3,529,382,695","3,529,382,695"
42,2012,X,United Kingdom,Israel,2711,"$34,577",121,121
43,2012,X,United Kingdom,Italy,2711,"$413,470","349,670","349,670"
44,2012,X,United Kingdom,Côte d'Ivoire,2711,"$4,174",70,70
45,2012,X,United Kingdom,Japan,2711,"$52,059",16,16
46,2012,X,United Kingdom,Kazakhstan,2711,"$44,312",181,181
47,2012,X,United Kingdom,Jordan,2711,"$2,370",73,73
48,2012,X,United Kingdom,Rep. of Korea,2711,"$182,797",412,412
49,2012,X,United Kingdom,Kuwait,2711,"$2,693",2,2
50,2012,X,United Kingdom,Lebanon,2711,"$11,771",726,726
51,2012,X,United Kingdom,Libya,2711,"$56,423",747,747
52,2012,X,United Kingdom,Lithuania,2711,"$2,709",84,84
53,2012,X,United Kingdom,Malaysia,2711,"$24,952",196,196
54,2012,X,United Kingdom,Malta,2711,"$2,499,867","2,645,547","2,645,547"
55,2012,X,United Kingdom,Mauritania,2711,"$4,446,297","5,203,785","5,203,785"
56,2012,X,United Kingdom,Mauritius,2711,"$445,765","346,276","346,276"
57,2012,X,United Kingdom,"Other Asia, nes",2711,"$8,818",4,4
58,2012,X,United Kingdom,Montenegro,2711,"$2,341",1,1
59,2012,X,United Kingdom,Morocco,2711,"$232,978,948","269,526,559","269,526,559"
60,2012,X,United Kingdom,Mozambique,2711,"$6,932",2,2
61,2012,X,United Kingdom,Netherlands,2711,"$1,241,631,555","2,182,816,191","2,182,816,191"
