,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,Ukraine,World,2711,"$14,288,969,580","22,594,092,598","22,594,092,598"
1,2012,M,Ukraine,Belarus,2711,"$69,970,885","90,652,896","90,652,896"
2,2012,M,Ukraine,Germany,2711,"$21,968,051","35,626,865","35,626,865"
3,2012,M,Ukraine,Greece,2711,"$64,602","21,618","21,618"
4,2012,M,Ukraine,Hungary,2711,"$121,466","92,400","92,400"
5,2012,M,Ukraine,Kazakhstan,2711,"$103,447,640","130,575,580","130,575,580"
6,2012,M,Ukraine,Netherlands,2711,"$7,252",60,60
7,2012,M,Ukraine,Romania,2711,"$798,685","1,021,800","1,021,800"
8,2012,M,Ukraine,Russian Federation,2711,"$14,091,781,904","22,335,490,005","22,335,490,005"
9,2012,M,Ukraine,Slovakia,2711,"$231,019","168,000","168,000"
10,2012,M,Ukraine,Switzerland,2711,$437,5,5
11,2012,M,Ukraine,United Kingdom,2711,"$574,925","443,340","443,340"
12,2012,M,Ukraine,USA,2711,"$2,715",28,28
13,2013,M,Ukraine,World,2711,"$11,821,956,324","19,306,365,597","19,306,365,597"
14,2013,M,Ukraine,Austria,2711,"$217,538,790","360,900,162","360,900,162"
15,2013,M,Ukraine,Belarus,2711,"$111,274,282","163,987,971","163,987,971"
16,2013,M,Ukraine,Germany,2711,"$347,045,281","602,057,292","602,057,292"
17,2013,M,Ukraine,Greece,2711,"$48,064","22,691","22,691"
18,2013,M,Ukraine,Hungary,2711,"$250,347,410","414,773,739","414,773,739"
19,2013,M,Ukraine,Italy,2711,"$1,455",76,76
20,2013,M,Ukraine,Kazakhstan,2711,"$68,053,303","90,155,313","90,155,313"
21,2013,M,Ukraine,Rep. of Korea,2711,"$53,751","43,766","43,766"
22,2013,M,Ukraine,Netherlands,2711,"$8,158",84,84
23,2013,M,Ukraine,Poland,2711,"$38,225,390","63,202,554","63,202,554"
24,2013,M,Ukraine,Romania,2711,"$556,035","647,500","647,500"
25,2013,M,Ukraine,Russian Federation,2711,"$10,787,144,929","17,609,207,584","17,609,207,584"
26,2013,M,Ukraine,Slovakia,2711,"$334,722","386,050","386,050"
27,2013,M,Ukraine,Switzerland,2711,$112,2,2
28,2013,M,Ukraine,United Kingdom,2711,"$1,324,642","980,812","980,812"
29,2014,M,Ukraine,World,2711,"$6,018,316,782","13,610,862,461","13,610,862,461"
30,2014,M,Ukraine,Belarus,2711,"$116,053,872","164,601,010","164,601,010"
31,2014,M,Ukraine,China,2711,"$8,094","2,144","2,144"
32,2014,M,Ukraine,Germany,2711,"$976,481,687","1,882,528,855","1,882,528,855"
33,2014,M,Ukraine,Greece,2711,"$60,415","27,945","27,945"
34,2014,M,Ukraine,Hungary,2711,"$449,448,083","851,744,972","851,744,972"
35,2014,M,Ukraine,Kazakhstan,2711,"$62,644,881","84,048,871","84,048,871"
36,2014,M,Ukraine,Rep. of Korea,2711,"$109,027","84,000","84,000"
37,2014,M,Ukraine,Luxembourg,2711,"$2,077,200","3,900,858","3,900,858"
38,2014,M,Ukraine,Netherlands,2711,"$6,707",90,90
39,2014,M,Ukraine,Norway,2711,"$300,996,700","603,079,474","603,079,474"
40,2014,M,Ukraine,Poland,2711,"$16,235","18,432","18,432"
41,2014,M,Ukraine,Russian Federation,2711,"$4,082,183,036","9,968,598,776","9,968,598,776"
42,2014,M,Ukraine,Slovakia,2711,"$2,247,041","4,222,316","4,222,316"
43,2014,M,Ukraine,Switzerland,2711,"$23,841,794","46,133,554","46,133,554"
44,2014,M,Ukraine,Türkiye,2711,"$4,060","2,664","2,664"
45,2014,M,Ukraine,Turkmenistan,2711,"$361,377","517,420","517,420"
46,2014,M,Ukraine,United Kingdom,2711,"$1,776,574","1,351,080","1,351,080"
47,2015,M,Ukraine,World,2711,"$4,723,112,912","11,729,199,249","11,729,199,249"
48,2015,M,Ukraine,Austria,2711,"$47,545,800","127,346,569","127,346,569"
49,2015,M,Ukraine,Belarus,2711,"$77,433,466","219,555,910","219,555,910"
50,2015,M,Ukraine,China,2711,"$5,755","1,550","1,550"
51,2015,M,Ukraine,Czechia,2711,$75,7,7
52,2015,M,Ukraine,France,2711,"$4,463,600","14,456,260","14,456,260"
53,2015,M,Ukraine,Germany,2711,"$940,022,111","2,336,950,995","2,336,950,995"
54,2015,M,Ukraine,Greece,2711,"$42,233","24,133","24,133"
55,2015,M,Ukraine,Hungary,2711,"$874,480,500","2,188,734,949","2,188,734,949"
56,2015,M,Ukraine,Kazakhstan,2711,"$15,149,598","38,259,890","38,259,890"
57,2015,M,Ukraine,Rep. of Korea,2711,"$13,422","8,254","8,254"
58,2015,M,Ukraine,Luxembourg,2711,"$41,943,300","101,877,725","101,877,725"
59,2015,M,Ukraine,Norway,2711,"$595,455,700","1,402,012,912","1,402,012,912"
60,2015,M,Ukraine,Poland,2711,"$8,310,320","25,995,141","25,995,141"
61,2015,M,Ukraine,Russian Federation,2711,"$1,799,840,325","4,497,698,194","4,497,698,194"
62,2015,M,Ukraine,Switzerland,2711,"$200,441,300","508,563,448","508,563,448"
63,2015,M,Ukraine,United Kingdom,2711,"$117,965,408","267,713,312","267,713,312"
64,2016,M,Ukraine,World,2711,"$2,532,639,304","8,452,604,421","8,452,604,421"
65,2016,M,Ukraine,Azerbaijan,2711,"$328,009","739,500","739,500"
66,2016,M,Ukraine,Austria,2711,"$91,093,500","324,181,938","324,181,938"
67,2016,M,Ukraine,Belgium,2711,$1,0,0
68,2016,M,Ukraine,Belarus,2711,"$68,405,799","237,918,710","237,918,710"
69,2016,M,Ukraine,China,2711,"$23,640","6,050","6,050"
70,2016,M,Ukraine,Czechia,2711,"$29,088,538","102,596,603","102,596,603"
71,2016,M,Ukraine,France,2711,"$397,060,000","1,346,703,000","1,346,703,000"
72,2016,M,Ukraine,Germany,2711,"$507,484,361","1,722,237,350","1,722,237,350"
73,2016,M,Ukraine,Greece,2711,"$148,546","249,790","249,790"
74,2016,M,Ukraine,Hungary,2711,"$31,584,732","115,037,260","115,037,260"
75,2016,M,Ukraine,Italy,2711,"$117,612,793","392,617,358","392,617,358"
76,2016,M,Ukraine,Kazakhstan,2711,"$7,559,706","16,679,430","16,679,430"
77,2016,M,Ukraine,Rep. of Korea,2711,"$438,820","220,758","220,758"
78,2016,M,Ukraine,Latvia,2711,"$1,435,108","2,763,030","2,763,030"
79,2016,M,Ukraine,Lithuania,2711,"$4,308,059","9,747,070","9,747,070"
80,2016,M,Ukraine,Luxembourg,2711,"$42,175,500","132,452,750","132,452,750"
81,2016,M,Ukraine,Malta,2711,"$674,900","2,382,430","2,382,430"
82,2016,M,Ukraine,Netherlands,2711,"$453,786","987,968","987,968"
83,2016,M,Ukraine,Norway,2711,"$1,488,700","5,008,210","5,008,210"
84,2016,M,Ukraine,Poland,2711,"$148,470,143","510,534,206","510,534,206"
