,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2015,X,China,World,7108,"$1,866,300,922","49,155","49,155"
1,2015,X,China,Australia,7108,"$375,020",8,8
2,2015,X,China,Austria,7108,"$132,100",2,2
3,2015,X,China,Armenia,7108,"$3,509",0,0
4,2015,X,China,Brazil,7108,$220,0,0
5,2015,X,China,France,7108,"$526,062",11,11
6,2015,X,China,Germany,7108,"$3,613,956",79,79
7,2015,X,China,"China, Hong Kong SAR",7108,"$1,750,066,552","46,295","46,295"
8,2015,X,China,Indonesia,7108,"$351,437",90,90
9,2015,X,China,Ireland,7108,"$58,007",1,1
10,2015,X,China,Italy,7108,"$1,367,314",30,30
11,2015,X,China,Japan,7108,"$2,071,612",54,54
12,2015,X,China,Rep. of Korea,7108,"$46,865,529","1,101","1,101"
13,2015,X,China,Malaysia,7108,"$819,405",20,20
14,2015,X,China,"Other Asia, nes",7108,"$10,061,826",231,231
15,2015,X,China,Philippines,7108,"$1,851,333",48,48
16,2015,X,China,Poland,7108,"$40,060",0,0
17,2015,X,China,Singapore,7108,"$30,364,279",740,740
18,2015,X,China,Slovakia,7108,"$53,810",1,1
19,2015,X,China,Viet Nam,7108,"$193,220",4,4
20,2015,X,China,Slovenia,7108,$435,0,0
21,2015,X,China,Thailand,7108,"$13,269,434",339,339
22,2015,X,China,Türkiye,7108,"$15,361",0,0
23,2015,X,China,Egypt,7108,"$25,725",0,0
24,2015,X,China,United Kingdom,7108,"$2,680,184",57,57
25,2015,X,China,USA,7108,"$1,494,532",34,34
26,2016,X,China,World,7108,"$1,237,265,211","33,096","33,096"
27,2016,X,China,Australia,7108,"$469,294",12,12
28,2016,X,China,Austria,7108,"$54,800",1,1
29,2016,X,China,France,7108,"$618,350",17,17
30,2016,X,China,Germany,7108,"$2,990,224",82,82
31,2016,X,China,"China, Hong Kong SAR",7108,"$1,167,613,278","31,189","31,189"
32,2016,X,China,Ireland,7108,"$77,889",2,2
33,2016,X,China,Italy,7108,"$2,574,252",70,70
34,2016,X,China,Japan,7108,"$1,638,301",45,45
35,2016,X,China,Rep. of Korea,7108,"$30,584,004",840,840
36,2016,X,China,Malaysia,7108,"$1,115,306",30,30
37,2016,X,China,"Other Asia, nes",7108,"$9,393,972",258,258
38,2016,X,China,Philippines,7108,"$1,806,251",49,49
39,2016,X,China,Poland,7108,"$31,794",0,0
40,2016,X,China,Singapore,7108,"$3,810,550",104,104
41,2016,X,China,Viet Nam,7108,"$226,047",6,6
42,2016,X,China,Spain,7108,"$134,200",3,3
43,2016,X,China,Türkiye,7108,"$31,732",0,0
44,2016,X,China,United Kingdom,7108,"$2,796,153",76,76
45,2016,X,China,USA,7108,"$11,298,814",303,303
46,2017,X,China,World,7108,"$469,830,859","11,574","11,574"
47,2017,X,China,Australia,7108,"$368,116",8,8
48,2017,X,China,Austria,7108,"$85,000",1,1
49,2017,X,China,Armenia,7108,"$6,359",0,0
50,2017,X,China,Brunei Darussalam,7108,"$17,085",0,0
51,2017,X,China,France,7108,"$499,112",11,11
52,2017,X,China,Germany,7108,"$2,916,547",59,59
53,2017,X,China,"China, Hong Kong SAR",7108,"$413,071,261","10,204","10,204"
54,2017,X,China,Indonesia,7108,"$19,951",0,0
55,2017,X,China,Ireland,7108,"$73,717",1,1
56,2017,X,China,Italy,7108,"$2,730,023",56,56
57,2017,X,China,Japan,7108,"$1,019,739",24,24
58,2017,X,China,Rep. of Korea,7108,"$18,607,234",463,463
59,2017,X,China,Malaysia,7108,"$677,669",16,16
60,2017,X,China,"Other Asia, nes",7108,"$10,012,452",244,244
61,2017,X,China,Philippines,7108,"$2,011,302",49,49
62,2017,X,China,Poland,7108,"$27,037",0,0
63,2017,X,China,Singapore,7108,"$3,343,263",81,81
64,2017,X,China,Viet Nam,7108,"$407,440",7,7
65,2017,X,China,Slovenia,7108,$791,0,0
66,2017,X,China,Switzerland,7108,"$9,330,153",250,250
67,2017,X,China,Egypt,7108,"$26,302",0,0
68,2017,X,China,United Kingdom,7108,"$2,794,376",52,52
69,2017,X,China,USA,7108,"$1,785,930",38,38
70,2018,X,China,World,7108,"$783,268,372","18,729","18,729"
71,2018,X,China,Australia,7108,"$404,778",9,9
72,2018,X,China,Austria,7108,"$98,666",2,2
73,2018,X,China,France,7108,"$465,682",10,10
74,2018,X,China,Germany,7108,"$2,648,684",52,52
75,2018,X,China,"China, Hong Kong SAR",7108,"$717,129,460","17,155","17,155"
76,2018,X,China,Ireland,7108,"$63,761",1,1
77,2018,X,China,Italy,7108,"$2,827,255",57,57
78,2018,X,China,Japan,7108,"$1,594,405",38,38
79,2018,X,China,Rep. of Korea,7108,"$15,706,057",365,365
80,2018,X,China,"China, Macao SAR",7108,"$42,372",0,0
81,2018,X,China,Malaysia,7108,"$325,821",6,6
82,2018,X,China,"Other Asia, nes",7108,"$8,287,970",194,194
83,2018,X,China,Norway,7108,"$11,688",0,0
84,2018,X,China,Philippines,7108,"$1,823,898",44,44
85,2018,X,China,Poland,7108,"$44,240",0,0
86,2018,X,China,Singapore,7108,"$3,235,049",76,76
87,2018,X,China,Viet Nam,7108,"$86,710",2,2
88,2018,X,China,Slovenia,7108,"$1,925",0,0
89,2018,X,China,Thailand,7108,"$19,155,386",500,500
90,2018,X,China,Türkiye,7108,"$19,469",0,0
91,2018,X,China,United Kingdom,7108,"$8,042,170",186,186
92,2018,X,China,USA,7108,"$1,252,926",26,26
93,2019,X,China,World,7108,"$982,326,331","21,764","21,764"
94,2019,X,China,Australia,7108,"$339,379",7,7
95,2019,X,China,Austria,7108,"$88,857",1,1
96,2019,X,China,Belarus,7108,"$82,000",1,1
97,2019,X,China,France,7108,"$509,765",11,11
98,2019,X,China,Germany,7108,"$2,141,913",39,39
99,2019,X,China,"China, Hong Kong SAR",7108,"$899,692,524","19,925","19,925"
100,2019,X,China,Ireland,7108,"$70,172",1,1
101,2019,X,China,Italy,7108,"$2,615,702",48,48
102,2019,X,China,Japan,7108,"$2,511,626",52,52
103,2019,X,China,Rep. of Korea,7108,"$37,742,762",861,861
104,2019,X,China,Malaysia,7108,"$407,558",7,7
105,2019,X,China,"Other Asia, nes",7108,"$9,755,785",226,226
106,2019,X,China,Netherlands,7108,"$85,737",1,1
107,2019,X,China,Norway,7108,"$20,632",0,0
108,2019,X,China,Philippines,7108,"$5,756,302",120,120
109,2019,X,China,Poland,7108,"$32,980",0,0
110,2019,X,China,Singapore,7108,"$3,247,932",75,75
111,2019,X,China,Viet Nam,7108,"$949,174",19,19
112,2019,X,China,Spain,7108,"$9,903",0,0
113,2019,X,China,Thailand,7108,"$208,994",5,5
114,2019,X,China,Türkiye,7108,"$25,702",0,0
115,2019,X,China,United Kingdom,7108,"$14,887,926",330,330
116,2019,X,China,USA,7108,"$1,143,006",24,24
117,2020,X,China,World,7108,"$3,545,015,055","63,226","63,226"
118,2020,X,China,Australia,7108,"$499,260",8,8
119,2020,X,China,Austria,7108,"$141,531",2,2
120,2020,X,China,Belarus,7108,"$176,000",3,3
121,2020,X,China,France,7108,"$485,880",8,8
122,2020,X,China,Germany,7108,"$1,338,197",20,20
123,2020,X,China,"China, Hong Kong SAR",7108,"$3,029,142,001","53,407","53,407"
124,2020,X,China,Ireland,7108,"$78,720",1,1
125,2020,X,China,Israel,7108,$153,0,0
126,2020,X,China,Italy,7108,"$3,648,381",52,52
127,2020,X,China,Japan,7108,"$5,797,920",102,102
128,2020,X,China,Rep. of Korea,7108,"$60,872,550","1,128","1,128"
129,2020,X,China,Malaysia,7108,"$5,424,971",98,98
130,2020,X,China,"Other Asia, nes",7108,"$2,979,982",56,56
131,2020,X,China,Netherlands,7108,"$264,205",26,26
132,2020,X,China,Norway,7108,"$26,055",0,0
133,2020,X,China,Philippines,7108,"$10,530,717",181,181
134,2020,X,China,Poland,7108,"$38,275",0,0
135,2020,X,China,Qatar,7108,"$14,208",0,0
136,2020,X,China,Singapore,7108,"$189,814,413","3,757","3,757"
137,2020,X,China,Viet Nam,7108,"$3,236,601",58,58
138,2020,X,China,Slovenia,7108,"$7,026",0,0
139,2020,X,China,Switzerland,7108,"$201,177,246","3,731","3,731"
140,2020,X,China,Thailand,7108,"$24,852,251",515,515
141,2020,X,China,United Arab Emirates,7108,"$1,441",0,0
142,2020,X,China,Türkiye,7108,"$33,551",0,0
143,2020,X,China,United Kingdom,7108,"$3,740,231",53,53
144,2020,X,China,USA,7108,"$693,289",12,12
145,2021,X,China,World,7108,"$3,145,976,718","53,495","53,495"
146,2021,X,China,Australia,7108,"$536,893",8,8
147,2021,X,China,Austria,7108,"$136,316",2,2
148,2021,X,China,Myanmar,7108,"$24,761,762",423,423
149,2021,X,China,Belarus,7108,"$477,787",8,8
150,2021,X,China,France,7108,"$592,734",10,10
151,2021,X,China,Germany,7108,"$1,383,514",23,23
152,2021,X,China,"China, Hong Kong SAR",7108,"$2,965,622,289","50,499","50,499"
153,2021,X,China,Ireland,7108,"$108,695",1,1
154,2021,X,China,Israel,7108,$142,0,0
155,2021,X,China,Italy,7108,"$4,781,255",68,68
156,2021,X,China,Japan,7108,"$7,888,218",131,131
157,2021,X,China,Rep. of Korea,7108,"$84,892,606","1,419","1,419"
158,2021,X,China,"China, Macao SAR",7108,"$1,984,189",33,33
159,2021,X,China,Malaysia,7108,"$5,800,650",94,94
160,2021,X,China,"Other Asia, nes",7108,"$2,098,944",33,33
161,2021,X,China,Netherlands,7108,"$237,920",3,3
162,2021,X,China,Norway,7108,"$13,679",0,0
163,2021,X,China,Philippines,7108,"$16,139,663",265,265
164,2021,X,China,Poland,7108,"$50,353",0,0
165,2021,X,China,Singapore,7108,"$17,222,225",290,290
166,2021,X,China,Viet Nam,7108,"$5,323,112",88,88
167,2021,X,China,Thailand,7108,"$463,926",7,7
168,2021,X,China,Türkiye,7108,"$53,675",0,0
169,2021,X,China,United Kingdom,7108,"$4,477,149",64,64
170,2021,X,China,USA,7108,"$929,022",16,16
171,2022,X,China,World,7108,"$3,281,251,509","55,306","55,306"
172,2022,X,China,Australia,7108,"$519,755",8,8
173,2022,X,China,Austria,7108,"$161,860",2,2
174,2022,X,China,Myanmar,7108,"$20,169,215",352,352
175,2022,X,China,Belarus,7108,"$134,538",2,2
176,2022,X,China,Dominican Rep.,7108,"$10,710",0,0
177,2022,X,China,France,7108,"$303,527",5,5
178,2022,X,China,Germany,7108,"$730,577",11,11
179,2022,X,China,"China, Hong Kong SAR",7108,"$3,021,426,060","51,076","51,076"
180,2022,X,China,Ireland,7108,"$21,094",0,0
181,2022,X,China,Italy,7108,"$4,064,273",58,58
182,2022,X,China,Japan,7108,"$6,263,841",104,104
183,2022,X,China,Rep. of Korea,7108,"$41,944,602",697,697
184,2022,X,China,"China, Macao SAR",7108,"$639,890",10,10
185,2022,X,China,Malaysia,7108,"$1,545,376",25,25
186,2022,X,China,Mexico,7108,"$3,759",0,0
187,2022,X,China,"Other Asia, nes",7108,"$2,827,999",47,47
188,2022,X,China,Philippines,7108,"$15,327,813",251,251
189,2022,X,China,Poland,7108,"$46,405",0,0
190,2022,X,China,Russian Federation,7108,"$92,439",1,1
191,2022,X,China,India,7108,"$27,550",0,0
192,2022,X,China,Singapore,7108,"$13,919,860",231,231
193,2022,X,China,Viet Nam,7108,"$3,922,400",66,66
194,2022,X,China,Switzerland,7108,"$124,927,128","2,000","2,000"
195,2022,X,China,Thailand,7108,"$310,642",5,5
196,2022,X,China,Türkiye,7108,"$58,491",0,0
197,2022,X,China,United Kingdom,7108,"$20,817,149",328,328
198,2022,X,China,USA,7108,"$1,034,556",18,18
199,2023,X,China,World,7108,"$3,891,153,399","61,438","61,438"
200,2023,X,China,Australia,7108,"$765,542",11,11
201,2023,X,China,Austria,7108,"$177,272",2,2
202,2023,X,China,Canada,7108,"$4,017",0,0
203,2023,X,China,France,7108,"$381,690",6,6
204,2023,X,China,Germany,7108,"$216,941",3,3
205,2023,X,China,"China, Hong Kong SAR",7108,"$3,628,278,170","57,192","57,192"
206,2023,X,China,Ireland,7108,"$91,149",1,1
207,2023,X,China,Italy,7108,"$3,945,851",53,53
208,2023,X,China,Japan,7108,"$2,851,074",42,42
209,2023,X,China,Rep. of Korea,7108,"$33,538,810",537,537
210,2023,X,China,"China, Macao SAR",7108,"$171,992",2,2
211,2023,X,China,Malaysia,7108,"$2,086,828",32,32
212,2023,X,China,Mexico,7108,"$54,484",0,0
213,2023,X,China,"Other Asia, nes",7108,"$9,795,688",160,160
214,2023,X,China,Morocco,7108,"$3,035",0,0
215,2023,X,China,Norway,7108,"$20,250",0,0
216,2023,X,China,Philippines,7108,"$11,783,620",180,180
217,2023,X,China,Poland,7108,"$31,466",0,0
218,2023,X,China,Russian Federation,7108,"$112,207",1,1
219,2023,X,China,India,7108,"$55,820",0,0
220,2023,X,China,Singapore,7108,"$36,640,700",592,592
221,2023,X,China,Viet Nam,7108,"$10,088,859",158,158
222,2023,X,China,South Africa,7108,"$9,018,421",142,142
223,2023,X,China,Thailand,7108,"$680,706",10,10
224,2023,X,China,United Arab Emirates,7108,"$127,658,956","2,113","2,113"
225,2023,X,China,Türkiye,7108,"$73,222",1,1
226,2023,X,China,United Kingdom,7108,"$11,986,579",182,182
227,2023,X,China,USA,7108,"$640,050",10,10
