,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2015,M,China,World,7108,"$78,976,974,780","2,082,903","2,082,903"
1,2015,M,China,Australia,7108,"$8,752,157,368","231,925","231,925"
2,2015,M,China,Belgium,7108,"$441,000",9,9
3,2015,M,China,Brazil,7108,"$5,983,727",174,174
4,2015,M,China,Canada,7108,"$7,732,977,271","207,327","207,327"
5,2015,M,China,China,7108,"$933,354,061","24,800","24,800"
6,2015,M,China,Dem. Rep. of the Congo,7108,"$730,143",24,24
7,2015,M,China,France,7108,"$2,550,366",74,74
8,2015,M,China,Germany,7108,"$220,069,463","4,654","4,654"
9,2015,M,China,Ghana,7108,"$96,519,083","2,188","2,188"
10,2015,M,China,"China, Hong Kong SAR",7108,"$4,626,375,041","124,949","124,949"
11,2015,M,China,Indonesia,7108,"$50,000",1,1
12,2015,M,China,Israel,7108,"$208,228",7,7
13,2015,M,China,Italy,7108,"$7,621,725",200,200
14,2015,M,China,Japan,7108,"$350,870,576","9,667","9,667"
15,2015,M,China,Dem. People's Rep. of Korea,7108,"$2,850,990",100,100
16,2015,M,China,Rep. of Korea,7108,"$266,142,078","7,117","7,117"
17,2015,M,China,Malaysia,7108,"$245,678",5,5
18,2015,M,China,Mexico,7108,"$1,483,757",37,37
19,2015,M,China,"Other Asia, nes",7108,"$508,833,161","13,012","13,012"
20,2015,M,China,Philippines,7108,"$14,197",0,0
21,2015,M,China,Russian Federation,7108,"$9,963,924",265,265
22,2015,M,China,Saudi Arabia,7108,"$20,014",0,0
23,2015,M,China,India,7108,"$80,000",2,2
24,2015,M,China,Singapore,7108,"$1,529,687,111","41,459","41,459"
25,2015,M,China,South Africa,7108,"$14,881,829,576","377,204","377,204"
26,2015,M,China,Switzerland,7108,"$32,062,952,444","851,889","851,889"
27,2015,M,China,Tajikistan,7108,"$1,752,998",50,50
28,2015,M,China,Thailand,7108,"$762,840",18,18
29,2015,M,China,United Arab Emirates,7108,"$242,383,982","5,094","5,094"
30,2015,M,China,Türkiye,7108,"$5,575,164",114,114
31,2015,M,China,United Kingdom,7108,"$17,199,845",464,464
32,2015,M,China,United Rep. of Tanzania,7108,"$1,356,104",40,40
33,2015,M,China,USA,7108,"$5,740,630,914","154,420","154,420"
34,2015,M,China,"Areas, nes",7108,"$973,301,951","25,601","25,601"
35,2016,M,China,World,7108,"$63,984,721,454","1,663,611","1,663,611"
36,2016,M,China,Australia,7108,"$6,584,682,206","170,860","170,860"
37,2016,M,China,Brazil,7108,"$50,000",1,1
38,2016,M,China,Canada,7108,"$828,845,259","21,507","21,507"
39,2016,M,China,China,7108,"$307,887,328","7,999","7,999"
40,2016,M,China,Dem. Rep. of the Congo,7108,"$16,828,208",453,453
41,2016,M,China,France,7108,"$1,969,870",53,53
42,2016,M,China,Germany,7108,"$215,198,876","5,589","5,589"
43,2016,M,China,"China, Hong Kong SAR",7108,"$10,271,337,227","266,659","266,659"
44,2016,M,China,Indonesia,7108,"$100,273",2,2
45,2016,M,China,Israel,7108,"$186,525",5,5
46,2016,M,China,Italy,7108,"$8,253,060",214,214
47,2016,M,China,Japan,7108,"$93,975,756","2,502","2,502"
48,2016,M,China,Rep. of Korea,7108,"$258,703,574","6,761","6,761"
49,2016,M,China,Malaysia,7108,"$2,534,892",68,68
50,2016,M,China,"Other Asia, nes",7108,"$145,992,779","3,789","3,789"
51,2016,M,China,Nepal,7108,"$2,331",0,0
52,2016,M,China,Philippines,7108,$642,0,0
53,2016,M,China,Russian Federation,7108,"$40,050,649","1,039","1,039"
54,2016,M,China,Saudi Arabia,7108,"$3,384",0,0
55,2016,M,China,Singapore,7108,"$2,195,687,687","57,033","57,033"
56,2016,M,China,South Africa,7108,"$8,447,001,235","222,113","222,113"
57,2016,M,China,Sweden,7108,"$65,505",1,1
58,2016,M,China,Switzerland,7108,"$31,070,267,246","806,226","806,226"
59,2016,M,China,Thailand,7108,"$112,947",3,3
60,2016,M,China,United Arab Emirates,7108,"$189,509,105","4,921","4,921"
61,2016,M,China,Türkiye,7108,"$4,719,000",122,122
62,2016,M,China,Egypt,7108,"$208,000",5,5
63,2016,M,China,United Kingdom,7108,"$2,309,641",59,59
64,2016,M,China,USA,7108,"$2,384,145,081","61,898","61,898"
65,2016,M,China,"Areas, nes",7108,"$914,093,168","23,718","23,718"
66,2017,M,China,World,7108,"$51,391,774,152","1,261,976","1,261,976"
67,2017,M,China,Australia,7108,"$8,326,670,574","204,792","204,792"
68,2017,M,China,Austria,7108,"$50,000",1,1
69,2017,M,China,Canada,7108,"$556,141,145","13,667","13,667"
70,2017,M,China,China,7108,"$830,968,183","20,220","20,220"
71,2017,M,China,Congo,7108,"$7,765,747",221,221
72,2017,M,China,Dem. Rep. of the Congo,7108,"$30,959,650",857,857
73,2017,M,China,France,7108,"$2,198,299",67,67
74,2017,M,China,Germany,7108,"$179,440,943","3,818","3,818"
75,2017,M,China,Ghana,7108,"$2,276,765",56,56
76,2017,M,China,"China, Hong Kong SAR",7108,"$572,099,689","14,006","14,006"
77,2017,M,China,Israel,7108,"$205,285",6,6
78,2017,M,China,Italy,7108,"$11,156,723",257,257
79,2017,M,China,Japan,7108,"$454,801,203","11,276","11,276"
