,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,France,World,7108,"$2,340,550,548","54,559","54,559"
1,2012,X,France,Algeria,7108,"$5,465,777",101,101
2,2012,X,France,Australia,7108,"$70,379",4,4
3,2012,X,France,Austria,7108,"$780,943",15,15
4,2012,X,France,Belgium,7108,"$52,248,763","1,494","1,494"
5,2012,X,France,Brazil,7108,"$377,678",23,23
6,2012,X,France,Bulgaria,7108,$429,3,3
7,2012,X,France,Canada,7108,"$72,797",12,12
8,2012,X,France,China,7108,"$2,479,350",88,88
9,2012,X,France,Costa Rica,7108,"$22,606",18,18
10,2012,X,France,Cyprus,7108,"$3,523",2,2
11,2012,X,France,Denmark,7108,"$63,583",5,5
12,2012,X,France,Finland,7108,"$1,218",4,4
13,2012,X,France,French Polynesia,7108,"$55,033",3,3
14,2012,X,France,Georgia,7108,$732,1,1
15,2012,X,France,Germany,7108,"$26,343,371",834,834
16,2012,X,France,Greece,7108,"$1,297",3,3
17,2012,X,France,"China, Hong Kong SAR",7108,"$5,681,648",149,149
18,2012,X,France,Hungary,7108,"$6,082",4,4
19,2012,X,France,Ireland,7108,$26,0,0
20,2012,X,France,Italy,7108,"$1,268,289,378","27,633","27,633"
21,2012,X,France,Côte d'Ivoire,7108,"$51,351",38,38
22,2012,X,France,Kuwait,7108,"$4,269",2,2
23,2012,X,France,Lebanon,7108,"$112,388",5,5
24,2012,X,France,Lithuania,7108,$63,2,2
25,2012,X,France,Luxembourg,7108,"$689,745",80,80
26,2012,X,France,Malta,7108,$327,1,1
27,2012,X,France,Mauritius,7108,"$2,393,636",95,95
28,2012,X,France,Mexico,7108,"$12,737",9,9
29,2012,X,France,"Other Asia, nes",7108,"$67,196",39,39
30,2012,X,France,Morocco,7108,"$8,839",4,4
31,2012,X,France,Oman,7108,"$1,796",3,3
32,2012,X,France,Netherlands,7108,"$28,042",10,10
33,2012,X,France,New Caledonia,7108,"$71,052",7,7
34,2012,X,France,New Zealand,7108,"$5,430",0,0
35,2012,X,France,Norway,7108,"$94,800",4,4
36,2012,X,France,Philippines,7108,"$19,434",0,0
37,2012,X,France,Poland,7108,"$991,455",22,22
38,2012,X,France,Portugal,7108,"$13,652,682",500,500
39,2012,X,France,Romania,7108,"$3,095,325",85,85
40,2012,X,France,Saudi Arabia,7108,"$105,544",48,48
41,2012,X,France,Singapore,7108,"$4,076",165,165
42,2012,X,France,Viet Nam,7108,"$9,179,066",276,276
43,2012,X,France,Spain,7108,"$655,870,376","12,634","12,634"
44,2012,X,France,Sweden,7108,"$714,269",18,18
45,2012,X,France,Switzerland,7108,"$266,080,313","8,926","8,926"
46,2012,X,France,Thailand,7108,"$2,148,247",134,134
47,2012,X,France,United Arab Emirates,7108,"$68,052",9,9
48,2012,X,France,Tunisia,7108,"$672,283",26,26
49,2012,X,France,Türkiye,7108,"$2,503,917",66,66
50,2012,X,France,United Kingdom,7108,"$937,871",134,134
51,2012,X,France,USA,7108,"$19,001,355",819,819
52,2013,X,France,World,7108,"$1,453,626,497","41,214","41,214"
53,2013,X,France,Algeria,7108,"$3,154,831",71,71
54,2013,X,France,Australia,7108,"$78,197",6,6
55,2013,X,France,Austria,7108,"$5,700",8,8
56,2013,X,France,Bahrain,7108,"$1,640",1,1
57,2013,X,France,Belgium,7108,"$16,195,322","1,009","1,009"
58,2013,X,France,Brazil,7108,"$260,810",10,10
59,2013,X,France,Bulgaria,7108,$137,1,1
60,2013,X,France,Canada,7108,"$88,842",36,36
61,2013,X,France,China,7108,"$1,144,881",44,44
62,2013,X,France,Cyprus,7108,"$7,201",6,6
63,2013,X,France,Czechia,7108,"$7,016",11,11
64,2013,X,France,Denmark,7108,"$148,846",8,8
65,2013,X,France,Dominican Rep.,7108,$620,0,0
66,2013,X,France,Estonia,7108,$386,2,2
67,2013,X,France,Finland,7108,$920,9,9
68,2013,X,France,French Polynesia,7108,"$62,119",3,3
69,2013,X,France,Germany,7108,"$11,086,656",627,627
70,2013,X,France,Greece,7108,"$2,289",5,5
71,2013,X,France,Guatemala,7108,$126,6,6
72,2013,X,France,"China, Hong Kong SAR",7108,"$3,122,139",99,99
73,2013,X,France,Hungary,7108,$278,2,2
74,2013,X,France,Ireland,7108,$44,1,1
75,2013,X,France,Israel,7108,"$139,340",9,9
76,2013,X,France,Italy,7108,"$750,432,748","19,127","19,127"
77,2013,X,France,Côte d'Ivoire,7108,"$2,020",1,1
78,2013,X,France,Japan,7108,"$63,653",7,7
79,2013,X,France,Rep. of Korea,7108,"$2,285",2,2
80,2013,X,France,Kuwait,7108,"$33,766",1,1
81,2013,X,France,Lebanon,7108,"$36,658",2,2
82,2013,X,France,Libya,7108,"$30,658",60,60
83,2013,X,France,Luxembourg,7108,"$855,869",120,120
84,2013,X,France,Malta,7108,$182,1,1
85,2013,X,France,Mauritius,7108,"$10,477,005",302,302
86,2013,X,France,Mexico,7108,$254,3,3
