,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,France,World,7108,"$712,213,263","37,348","37,348"
1,2012,M,France,Australia,7108,$684,0,0
2,2012,M,France,Austria,7108,"$84,865",155,155
3,2012,M,France,Belgium,7108,"$5,149,343",996,996
4,2012,M,France,Canada,7108,"$2,679",12,12
5,2012,M,France,China,7108,"$594,520",180,180
6,2012,M,France,Congo,7108,"$126,936",3,3
7,2012,M,France,Czechia,7108,"$3,210,651",125,125
8,2012,M,France,Equatorial Guinea,7108,"$12,023,473",222,222
9,2012,M,France,France,7108,"$397,575","3,028","3,028"
10,2012,M,France,French Polynesia,7108,"$76,627",1,1
11,2012,M,France,Germany,7108,"$109,253,958","7,620","7,620"
12,2012,M,France,Guinea,7108,"$24,440,790",492,492
13,2012,M,France,Ireland,7108,"$1,847",2,2
14,2012,M,France,Israel,7108,"$103,260",3,3
15,2012,M,France,Italy,7108,"$334,330,426","7,048","7,048"
16,2012,M,France,Japan,7108,"$282,564","3,375","3,375"
17,2012,M,France,Rep. of Korea,7108,$243,1,1
18,2012,M,France,Mauritius,7108,"$2,744,273",230,230
19,2012,M,France,"Other Asia, nes",7108,$233,0,0
20,2012,M,France,Morocco,7108,"$128,752",2,2
21,2012,M,France,Netherlands,7108,"$193,535","4,563","4,563"
22,2012,M,France,New Caledonia,7108,"$53,375",2,2
23,2012,M,France,Peru,7108,"$227,912",5,5
24,2012,M,France,Poland,7108,"$2,499,520",73,73
25,2012,M,France,Portugal,7108,"$297,374",3,3
26,2012,M,France,Romania,7108,"$4,736,850",140,140
27,2012,M,France,India,7108,"$32,453",1,1
28,2012,M,France,Singapore,7108,"$1,578,303","2,501","2,501"
29,2012,M,France,Spain,7108,"$3,309,219",156,156
30,2012,M,France,Suriname,7108,"$141,854",2,2
31,2012,M,France,Switzerland,7108,"$147,119,726","4,030","4,030"
32,2012,M,France,Thailand,7108,"$1,853",0,0
33,2012,M,France,Türkiye,7108,"$27,791",1,1
34,2012,M,France,United Kingdom,7108,"$33,320,318","1,311","1,311"
35,2012,M,France,USA,7108,"$18,084,916",871,871
36,2012,M,France,Burkina Faso,7108,"$252,439",15,15
37,2012,M,France,"Areas, nes",7108,"$7,382,126",178,178
38,2013,M,France,World,7108,"$559,545,486","27,011","27,011"
