,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,Albania,World,7108,"$156,617",4,4
1,2012,X,Albania,Austria,7108,$808,0,0
2,2012,X,Albania,Italy,7108,"$155,809",4,4
3,2012,X,Andorra,World,7108,"$2,735,767",68,68
4,2012,X,Andorra,France,7108,"$48,643",2,2
5,2012,X,Andorra,Italy,7108,"$1,283,840",33,33
6,2012,X,Andorra,Spain,7108,"$425,421",9,9
7,2012,X,Andorra,Switzerland,7108,"$977,862",24,24
8,2012,X,Argentina,World,7108,"$2,253,987,473","238,037","238,037"
9,2012,X,Argentina,Canada,7108,"$1,751,837,053","136,578","136,578"
10,2012,X,Argentina,Germany,7108,"$5,982,848","3,125","3,125"
11,2012,X,Argentina,Switzerland,7108,"$490,719,791","95,982","95,982"
12,2012,X,Argentina,USA,7108,"$5,447,781","2,352","2,352"
13,2012,X,Australia,World,7108,"$16,033,943,211","317,003",0
14,2012,X,Australia,Austria,7108,"$452,885",13,0
15,2012,X,Australia,Canada,7108,"$1,989,056",36,0
16,2012,X,Australia,China,7108,"$5,721,080,003","111,955",0
17,2012,X,Australia,Eritrea,7108,"$2,956",0,0
18,2012,X,Australia,France,7108,"$5,293,152",212,0
19,2012,X,Australia,Germany,7108,"$71,908,542","1,929",0
20,2012,X,Australia,Ghana,7108,"$2,101",0,0
21,2012,X,Australia,Guinea,7108,"$9,554",1,0
22,2012,X,Australia,"China, Hong Kong SAR",7108,"$116,450,562","2,305",0
23,2012,X,Australia,Indonesia,7108,"$164,322",4,0
24,2012,X,Australia,Italy,7108,"$223,101",4,0
25,2012,X,Australia,Côte d'Ivoire,7108,$505,0,0
26,2012,X,Australia,Japan,7108,"$113,962",5,0
27,2012,X,Australia,Rep. of Korea,7108,"$224,073,953","4,246",0
28,2012,X,Australia,Malaysia,7108,"$800,986",88,0
29,2012,X,Australia,Mali,7108,"$2,364",1,0
30,2012,X,Australia,"Other Asia, nes",7108,"$59,357",11,0
31,2012,X,Australia,Netherlands,7108,"$2,493",0,0
32,2012,X,Australia,New Zealand,7108,"$9,275,569",295,0
33,2012,X,Australia,India,7108,"$3,082,588,135","61,740",0
34,2012,X,Australia,Singapore,7108,"$1,391,028,664","27,567",0
35,2012,X,Australia,Viet Nam,7108,"$12,621,066",723,0
