,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,Albania,World,7108,"$261,399",5,5
1,2012,M,Albania,Austria,7108,"$132,414",3,3
2,2012,M,Albania,France,7108,"$128,986",2,2
3,2012,M,Algeria,World,7108,"$8,620,561",232,232
4,2012,M,Algeria,France,7108,"$5,585,371",100,100
5,2012,M,Algeria,Saudi Arabia,7108,"$1,776,857",31,31
6,2012,M,Algeria,Spain,7108,"$3,712",79,79
7,2012,M,Algeria,United Arab Emirates,7108,"$990,252",17,17
8,2012,M,Algeria,Türkiye,7108,"$264,369",5,5
9,2012,M,Andorra,World,7108,"$162,796",3,3
10,2012,M,Andorra,France,7108,$489,0,0
11,2012,M,Andorra,Spain,7108,"$162,306",3,3
12,2012,M,Angola,World,7108,"$7,709",70,70
13,2012,M,Angola,Belgium,7108,$64,1,1
14,2012,M,Angola,France,7108,$89,1,1
15,2012,M,Angola,"China, Hong Kong SAR",7108,"$1,661",17,17
16,2012,M,Angola,Israel,7108,"$1,119",11,11
17,2012,M,Angola,Italy,7108,$282,0,0
18,2012,M,Angola,Morocco,7108,"$1,454",14,14
19,2012,M,Angola,Netherlands,7108,$512,4,4
20,2012,M,Angola,Singapore,7108,$167,3,3
21,2012,M,Angola,United Kingdom,7108,"$2,148",17,17
22,2012,M,Angola,USA,7108,$214,2,2
23,2012,M,Antigua and Barbuda,World,7108,$393,21,21
24,2012,M,Antigua and Barbuda,USA,7108,$393,21,21
25,2012,M,Azerbaijan,World,7108,"$13,693",15,15
26,2012,M,Azerbaijan,Slovenia,7108,"$13,693",15,15
27,2012,M,Argentina,World,7108,"$99,631",108,108
28,2012,M,Argentina,Germany,7108,"$23,066",1,1
29,2012,M,Argentina,Italy,7108,"$5,177",34,34
30,2012,M,Argentina,"Other Asia, nes",7108,"$20,547",12,12
31,2012,M,Argentina,United Kingdom,7108,"$36,010",1,1
32,2012,M,Argentina,USA,7108,"$14,830",61,61
33,2012,M,Australia,World,7108,"$5,940,285,465","143,647",0
34,2012,M,Australia,Australia,7108,"$58,826,270","1,215",0
35,2012,M,Australia,Austria,7108,"$2,182,900",813,0
36,2012,M,Australia,Solomon Isds,7108,"$110,950,988","3,147",0
37,2012,M,Australia,Canada,7108,"$106,480,552","2,892",0
38,2012,M,Australia,China,7108,"$517,964",148,0
39,2012,M,Australia,Fiji,7108,"$76,660,996","1,907",0
40,2012,M,Australia,France,7108,"$74,143",168,0
41,2012,M,Australia,Germany,7108,"$10,297,793",572,0
42,2012,M,Australia,Ghana,7108,"$477,088",14,0
43,2012,M,Australia,"China, Hong Kong SAR",7108,"$76,280,682","1,616",0
44,2012,M,Australia,Indonesia,7108,"$815,774,375","15,784",0
45,2012,M,Australia,Israel,7108,"$4,264",1,0
46,2012,M,Australia,Italy,7108,"$145,736",35,0
47,2012,M,Australia,Japan,7108,"$238,604,871","7,801",0
48,2012,M,Australia,Rep. of Korea,7108,"$1,872,050",43,0
49,2012,M,Australia,Lao People's Dem. Rep.,7108,"$42,324,846","1,358",0
50,2012,M,Australia,Malaysia,7108,"$231,082,885","5,218",0
51,2012,M,Australia,Mexico,7108,"$18,281",0,0
52,2012,M,Australia,"Other Asia, nes",7108,"$4,633",62,0
53,2012,M,Australia,Netherlands,7108,"$46,494",1,0
54,2012,M,Australia,New Caledonia,7108,"$313,802",14,0
55,2012,M,Australia,New Zealand,7108,"$566,522,587","17,458",0
56,2012,M,Australia,Niger,7108,"$12,749",0,0
57,2012,M,Australia,Papua New Guinea,7108,"$2,005,658,088","45,738",0
58,2012,M,Australia,Poland,7108,"$22,139",5,0
59,2012,M,Australia,India,7108,"$2,107,171",314,0
60,2012,M,Australia,Singapore,7108,"$1,659,642",46,0
61,2012,M,Australia,South Africa,7108,"$8,668,152",255,0
62,2012,M,Australia,Spain,7108,"$29,045",1,0
63,2012,M,Australia,Sweden,7108,"$88,786",3,0
64,2012,M,Australia,Switzerland,7108,"$615,496,121","15,227",0
65,2012,M,Australia,Thailand,7108,"$806,053,159","15,429",0
66,2012,M,Australia,United Arab Emirates,7108,"$203,010",5,0
67,2012,M,Australia,Türkiye,7108,"$101,494",4,0
68,2012,M,Australia,United Kingdom,7108,"$3,362,566",150,0
69,2012,M,Australia,USA,7108,"$157,359,140","6,202",0
70,2012,M,Austria,World,7108,"$2,577,624,427",0,0
71,2012,M,Austria,Australia,7108,"$586,274",11,0
72,2012,M,Austria,Belgium,7108,"$10,186",0,0
73,2012,M,Austria,Bosnia Herzegovina,7108,"$215,622",4,0
74,2012,M,Austria,Canada,7108,"$17,653",0,0
75,2012,M,Austria,China,7108,"$170,427",0,0
76,2012,M,Austria,Croatia,7108,"$77,836,368","2,300",0
77,2012,M,Austria,Czechia,7108,"$21,215,886",404,0
78,2012,M,Austria,France,7108,$51,0,0
79,2012,M,Austria,Germany,7108,"$44,348,438",0,0
80,2012,M,Austria,Greece,7108,"$30,783",1,0
81,2012,M,Austria,Hungary,7108,"$32,888,766",600,0
82,2012,M,Austria,Italy,7108,"$832,979",16,0
83,2012,M,Austria,Japan,7108,$50,0,0
84,2012,M,Austria,Rep. of Moldova,7108,"$15,620",0,0
85,2012,M,Austria,Montenegro,7108,"$41,636",1,0
86,2012,M,Austria,Netherlands,7108,"$2,216",0,0
87,2012,M,Austria,Norway,7108,"$516,065",10,0
88,2012,M,Austria,Poland,7108,"$20,058,992",402,0
89,2012,M,Austria,Romania,7108,"$8,736,616",124,0
90,2012,M,Austria,Serbia,7108,"$645,070",12,0
91,2012,M,Austria,Seychelles,7108,"$315,926",6,0
92,2012,M,Austria,Singapore,7108,$414,0,0
93,2012,M,Austria,Slovakia,7108,"$7,422,603",113,0
94,2012,M,Austria,Slovenia,7108,"$2,334,501",43,0
95,2012,M,Austria,Spain,7108,"$22,765",0,0
96,2012,M,Austria,Sweden,7108,"$312,389",6,0
97,2012,M,Austria,Switzerland,7108,"$2,336,845,808",0,0
98,2012,M,Austria,Thailand,7108,"$207,449",0,0
99,2012,M,Austria,Türkiye,7108,"$5,196",0,0
100,2012,M,Austria,Ukraine,7108,"$3,290,055",100,0
101,2012,M,Austria,United Kingdom,7108,$177,0,0
102,2012,M,Austria,USA,7108,"$18,697,445",317,0
103,2012,M,Bahamas,World,7108,"$32,812",655,655
104,2012,M,Bahamas,USA,7108,"$32,812",655,655
105,2012,M,Bahrain,World,7108,"$138,399,728","2,816","2,816"
106,2012,M,Bahrain,China,7108,"$110,577",2,2
107,2012,M,Bahrain,Germany,7108,"$1,785",1,1
108,2012,M,Bahrain,United Arab Emirates,7108,"$138,281,651","2,762","2,762"
109,2012,M,Bahrain,United Kingdom,7108,"$5,715",51,51
110,2012,M,Armenia,World,7108,"$73,998,790","1,377","1,377"
111,2012,M,Armenia,Austria,7108,"$12,629,003",232,232
112,2012,M,Armenia,Canada,7108,"$3,723",0,0
113,2012,M,Armenia,France,7108,$28,0,0
114,2012,M,Armenia,Germany,7108,"$31,089",0,0
115,2012,M,Armenia,Italy,7108,$368,0,0
116,2012,M,Armenia,South Africa,7108,"$43,519",1,1
117,2012,M,Armenia,Switzerland,7108,"$59,125,140","1,103","1,103"
118,2012,M,Armenia,Thailand,7108,"$310,334",7,7
119,2012,M,Armenia,United Arab Emirates,7108,"$1,785,340",34,34
120,2012,M,Armenia,United Kingdom,7108,"$30,281",0,0
121,2012,M,Armenia,USA,7108,"$39,964",0,0
122,2012,M,Barbados,World,7108,"$7,954",4,4
123,2012,M,Barbados,USA,7108,"$7,954",4,4
124,2012,M,Belgium,World,7108,"$1,740,924,930",0,"36,737"
125,2012,M,Belgium,Austria,7108,"$3,342",0,0
126,2012,M,Belgium,Brazil,7108,"$122,133,454","2,532","2,532"
127,2012,M,Belgium,Bulgaria,7108,"$177,534",3,3
128,2012,M,Belgium,Central African Rep.,7108,"$400,484",9,9
129,2012,M,Belgium,Congo,7108,"$41,774",1,0
130,2012,M,Belgium,Dem. Rep. of the Congo,7108,"$489,247",11,10
131,2012,M,Belgium,Cyprus,7108,"$23,127,128",440,440
132,2012,M,Belgium,Czechia,7108,"$39,248,047","1,301","1,301"
133,2012,M,Belgium,Estonia,7108,"$8,079,249",151,151
134,2012,M,Belgium,Finland,7108,"$50,168",0,0
135,2012,M,Belgium,France,7108,"$157,526,779","1,580","3,186"
136,2012,M,Belgium,Germany,7108,"$115,729,412","3,300","3,300"
137,2012,M,Belgium,Ghana,7108,"$295,571",6,5
138,2012,M,Belgium,Greece,7108,"$18,818,114",404,404
139,2012,M,Belgium,Guinea,7108,"$24,038,906",503,503
140,2012,M,Belgium,"China, Hong Kong SAR",7108,$137,0,0
141,2012,M,Belgium,Hungary,7108,"$1,263,055",24,24
142,2012,M,Belgium,Israel,7108,"$1,643,980",31,30
143,2012,M,Belgium,Italy,7108,"$4,986,303",92,92
144,2012,M,Belgium,Côte d'Ivoire,7108,"$27,299",1,0
145,2012,M,Belgium,Japan,7108,"$15,685",0,0
146,2012,M,Belgium,Kyrgyzstan,7108,"$2,996,300",60,60
147,2012,M,Belgium,Latvia,7108,"$7,702,937",142,142
148,2012,M,Belgium,Luxembourg,7108,"$15,039,839",285,285
149,2012,M,Belgium,Mali,7108,"$239,482",5,5
150,2012,M,Belgium,Malta,7108,"$23,876,684",444,444
151,2012,M,Belgium,Netherlands,7108,"$188,888,378","3,545","3,545"
152,2012,M,Belgium,Poland,7108,"$2,214,776",41,41
153,2012,M,Belgium,Portugal,7108,"$541,521,565","10,366","10,366"
154,2012,M,Belgium,Romania,7108,"$5,476,185",101,101
155,2012,M,Belgium,Saudi Arabia,7108,"$2,506,451",50,50
156,2012,M,Belgium,Senegal,7108,"$1,278,298",27,27
157,2012,M,Belgium,Sierra Leone,7108,"$1,914,415",42,41
158,2012,M,Belgium,Slovakia,7108,"$56,755,610","1,940","1,940"
159,2012,M,Belgium,South Africa,7108,"$37,016,284",764,764
160,2012,M,Belgium,Spain,7108,"$50,027,328","1,045","1,045"
161,2012,M,Belgium,Suriname,7108,"$214,233,695","4,433","4,431"
162,2012,M,Belgium,Sweden,7108,"$116,499",2,2
163,2012,M,Belgium,Switzerland,7108,"$24,239,144",462,460
164,2012,M,Belgium,Thailand,7108,"$20,852",0,0
165,2012,M,Belgium,United Arab Emirates,7108,"$782,995",16,16
166,2012,M,Belgium,Türkiye,7108,$6,0,0
167,2012,M,Belgium,United Kingdom,7108,"$3,176,509",65,65
168,2012,M,Belgium,United Rep. of Tanzania,7108,"$83,736",1,1
169,2012,M,Belgium,USA,7108,"$598,001",16,13
170,2012,M,Belgium,Burkina Faso,7108,"$42,123,270",883,882
171,2012,M,Bermuda,World,7108,"$1,474",0,0
172,2012,M,Bermuda,United Kingdom,7108,$49,0,0
173,2012,M,Bermuda,USA,7108,"$1,425",0,0
174,2012,M,Bhutan,World,7108,"$794,275",13,13
175,2012,M,Bhutan,Singapore,7108,"$794,275",13,13
176,2012,M,Bolivia (Plurinational State of),World,7108,"$41,857,296",0,0
177,2012,M,Bolivia (Plurinational State of),Canada,7108,$615,0,1
178,2012,M,Bolivia (Plurinational State of),China,7108,$212,0,0
179,2012,M,Bolivia (Plurinational State of),Dominican Rep.,7108,$211,0,1
180,2012,M,Bolivia (Plurinational State of),Peru,7108,"$5,090,866",150,150
181,2012,M,Bolivia (Plurinational State of),Spain,7108,$21,0,0
182,2012,M,Bolivia (Plurinational State of),USA,7108,"$36,765,370",789,782
183,2012,M,Bosnia Herzegovina,World,7108,"$88,665",36,36
184,2012,M,Bosnia Herzegovina,Austria,7108,"$52,001",1,1
185,2012,M,Bosnia Herzegovina,Germany,7108,"$1,103",31,31
186,2012,M,Bosnia Herzegovina,Slovenia,7108,"$35,561",4,4
187,2012,M,Botswana,World,7108,"$676,999",0,0
188,2012,M,Botswana,India,7108,"$676,994",18,18
189,2012,M,Botswana,South Africa,7108,$4,0,0
190,2012,M,Brazil,World,7108,"$3,946,542",565,565
191,2012,M,Brazil,Austria,7108,"$4,353",0,0
192,2012,M,Brazil,China,7108,$338,0,0
193,2012,M,Brazil,Germany,7108,"$906,696",228,228
194,2012,M,Brazil,Guyana,7108,"$25,200",1,1
195,2012,M,Brazil,Italy,7108,"$40,438",21,21
196,2012,M,Brazil,Rep. of Korea,7108,"$2,271,683",40,40
197,2012,M,Brazil,"Other Asia, nes",7108,"$142,389",205,205
198,2012,M,Brazil,Singapore,7108,"$410,654",29,29
199,2012,M,Brazil,South Africa,7108,"$14,922",0,0
200,2012,M,Brazil,United Kingdom,7108,"$13,078",1,1
