,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,USA,World,7108,"$34,021,371,136","712,890","712,890"
1,2012,X,USA,Albania,7108,"$1,591,957",38,38
2,2012,X,USA,Argentina,7108,"$8,478",0,0
3,2012,X,USA,Australia,7108,"$151,951,665","5,332","5,332"
4,2012,X,USA,Austria,7108,"$6,790,474",195,195
5,2012,X,USA,Bahamas,7108,"$32,236",5,5
6,2012,X,USA,Bahrain,7108,"$4,575",1,1
7,2012,X,USA,Belgium,7108,"$433,745",21,21
8,2012,X,USA,Bermuda,7108,"$82,203",6,6
9,2012,X,USA,Bolivia (Plurinational State of),7108,"$47,810",3,3
10,2012,X,USA,Brazil,7108,"$2,591,374",74,74
11,2012,X,USA,Belize,7108,"$9,475",0,0
12,2012,X,USA,Bulgaria,7108,"$2,535",0,0
13,2012,X,USA,Canada,7108,"$777,196,136","34,717","34,717"
14,2012,X,USA,Cayman Isds,7108,"$9,449",0,0
15,2012,X,USA,Chile,7108,"$176,072",5,5
16,2012,X,USA,China,7108,"$6,111,359",437,437
17,2012,X,USA,Colombia,7108,"$120,810",2,2
18,2012,X,USA,Costa Rica,7108,"$4,355,454",193,193
19,2012,X,USA,Cyprus,7108,"$12,174",2,2
20,2012,X,USA,Czechia,7108,"$806,908",22,22
21,2012,X,USA,Denmark,7108,"$85,247",12,12
22,2012,X,USA,Dominican Rep.,7108,"$541,961",100,100
23,2012,X,USA,Finland,7108,"$3,220",1,1
24,2012,X,USA,France,7108,"$10,510,089",556,556
25,2012,X,USA,Germany,7108,"$59,521,812","1,378","1,378"
26,2012,X,USA,Guatemala,7108,"$960,256",21,21
27,2012,X,USA,Guinea,7108,"$3,690",0,0
28,2012,X,USA,Honduras,7108,"$1,012,334",31,31
29,2012,X,USA,"China, Hong Kong SAR",7108,"$7,156,682,276","132,681","132,681"
30,2012,X,USA,Hungary,7108,"$5,513",2,2
31,2012,X,USA,Iceland,7108,"$3,631",2,2
32,2012,X,USA,Indonesia,7108,"$281,043",6,6
33,2012,X,USA,Ireland,7108,"$626,253",26,26
34,2012,X,USA,Israel,7108,"$789,979",40,40
35,2012,X,USA,Italy,7108,"$868,315",66,66
36,2012,X,USA,Jamaica,7108,"$13,834",1,1
37,2012,X,USA,Japan,7108,"$3,015,412",110,110
38,2012,X,USA,Kazakhstan,7108,"$587,406",20,20
39,2012,X,USA,Rep. of Korea,7108,"$25,598,416",795,795
40,2012,X,USA,Kuwait,7108,"$222,109",6,6
41,2012,X,USA,Lao People's Dem. Rep.,7108,"$1,001,524",21,21
42,2012,X,USA,Lithuania,7108,"$5,869",2,2
43,2012,X,USA,Luxembourg,7108,"$71,706",2,2
44,2012,X,USA,Malaysia,7108,"$39,988,111",932,932
45,2012,X,USA,Mexico,7108,"$68,591,126","1,920","1,920"
46,2012,X,USA,"Other Asia, nes",7108,"$27,115,264",597,597
47,2012,X,USA,Morocco,7108,"$60,468",12,12
48,2012,X,USA,Oman,7108,"$51,636,808",972,972
49,2012,X,USA,Netherlands,7108,"$480,299",55,55
50,2012,X,USA,Aruba,7108,"$44,385",14,14
51,2012,X,USA,Sint Maarten,7108,"$569,598",14,14
52,2012,X,USA,New Zealand,7108,"$334,467",8,8
53,2012,X,USA,Norway,7108,"$616,598",19,19
54,2012,X,USA,Pakistan,7108,"$22,364,342",498,498
55,2012,X,USA,Panama,7108,"$133,538",5,5
56,2012,X,USA,Paraguay,7108,"$2,658,720",49,49
57,2012,X,USA,Peru,7108,"$2,921,382",56,56
58,2012,X,USA,Philippines,7108,"$3,163,301",186,186
59,2012,X,USA,Poland,7108,"$553,595",70,70
60,2012,X,USA,Portugal,7108,"$115,880",7,7
