,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,USA,World,7108,"$16,227,514,148","341,605","341,605"
1,2012,M,USA,Antigua and Barbuda,7108,"$52,623",1,1
2,2012,M,USA,Argentina,7108,"$3,122,657",51,51
3,2012,M,USA,Australia,7108,"$128,551,114","2,784","2,784"
4,2012,M,USA,Bahamas,7108,"$441,953",11,11
5,2012,M,USA,Barbados,7108,"$3,856,609",133,133
6,2012,M,USA,Belgium,7108,"$710,787",20,20
7,2012,M,USA,Bermuda,7108,"$18,700",0,0
8,2012,M,USA,Bolivia (Plurinational State of),7108,"$687,532,099","13,056","13,056"
9,2012,M,USA,Brazil,7108,"$79,459,275","1,577","1,577"
10,2012,M,USA,Canada,7108,"$2,610,246,095","53,568","53,568"
11,2012,M,USA,Chile,7108,"$315,713,235","7,168","7,168"
12,2012,M,USA,China,7108,"$2,534,430",92,92
13,2012,M,USA,Colombia,7108,"$2,914,492,132","62,017","62,017"
14,2012,M,USA,Dem. Rep. of the Congo,7108,"$724,675",23,23
15,2012,M,USA,Costa Rica,7108,"$21,738,304",736,736
16,2012,M,USA,Croatia,7108,"$22,165",0,0
17,2012,M,USA,Czechia,7108,"$486,597",12,12
18,2012,M,USA,Benin,7108,"$41,449",3,3
19,2012,M,USA,Denmark,7108,"$5,523",0,0
20,2012,M,USA,Dominican Rep.,7108,"$22,487,521",458,458
21,2012,M,USA,Ecuador,7108,"$303,664,154","6,718","6,718"
22,2012,M,USA,El Salvador,7108,"$2,713,497",97,97
23,2012,M,USA,France,7108,"$17,185,290",325,325
24,2012,M,USA,French Polynesia,7108,"$60,206",1,1
25,2012,M,USA,Germany,7108,"$22,428,971","1,369","1,369"
26,2012,M,USA,Ghana,7108,"$2,253,268",47,47
27,2012,M,USA,Guatemala,7108,"$541,299,667","7,104","7,104"
28,2012,M,USA,Guinea,7108,"$2,998,724",130,130
29,2012,M,USA,Guyana,7108,"$394,998,096","7,338","7,338"
30,2012,M,USA,Honduras,7108,"$111,110,832","2,268","2,268"
31,2012,M,USA,"China, Hong Kong SAR",7108,"$2,439,872",46,46
32,2012,M,USA,Indonesia,7108,"$48,000",2,2
33,2012,M,USA,Ireland,7108,"$8,828",1,1
34,2012,M,USA,Israel,7108,"$249,517",9,9
35,2012,M,USA,Italy,7108,"$2,883,418",113,113
36,2012,M,USA,Jamaica,7108,"$12,562,145",485,485
37,2012,M,USA,Japan,7108,"$2,792,347",66,66
38,2012,M,USA,Rep. of Korea,7108,"$1,393,621",31,31
39,2012,M,USA,Kuwait,7108,"$182,252",4,4
40,2012,M,USA,Lao People's Dem. Rep.,7108,"$28,300",1,1
41,2012,M,USA,Lebanon,7108,"$5,450",0,0
42,2012,M,USA,Liberia,7108,"$46,831",1,1
43,2012,M,USA,Malaysia,7108,"$261,993",6,6
44,2012,M,USA,Mali,7108,"$136,000",5,5
45,2012,M,USA,Mexico,7108,"$5,436,930,432","124,891","124,891"
46,2012,M,USA,Morocco,7108,"$12,343",1,1
47,2012,M,USA,Netherlands,7108,"$174,249",4,4
48,2012,M,USA,Curaçao,7108,"$437,238,916","8,188","8,188"
49,2012,M,USA,Aruba,7108,"$24,355",1,1
50,2012,M,USA,New Zealand,7108,"$2,827,922",63,63
51,2012,M,USA,Nicaragua,7108,"$146,304,421","2,758","2,758"
52,2012,M,USA,Panama,7108,"$37,979,560",794,794
53,2012,M,USA,Paraguay,7108,"$91,432,137","1,745","1,745"
54,2012,M,USA,Peru,7108,"$1,397,193,721","25,811","25,811"
55,2012,M,USA,Philippines,7108,"$355,567",9,9
56,2012,M,USA,Russian Federation,7108,"$5,622",0,0
57,2012,M,USA,Saint Kitts and Nevis,7108,"$248,077",23,23
58,2012,M,USA,Anguilla,7108,"$11,750",0,0
59,2012,M,USA,Saint Lucia,7108,"$1,301,499",27,27
60,2012,M,USA,Saint Vincent and the Grenadines,7108,"$901,708",17,17
61,2012,M,USA,Senegal,7108,"$34,608",1,1
62,2012,M,USA,Sierra Leone,7108,"$490,766",18,18
63,2012,M,USA,India,7108,"$96,054",3,3
64,2012,M,USA,Singapore,7108,"$8,838,814",520,520
65,2012,M,USA,South Africa,7108,"$7,621,747",139,139
66,2012,M,USA,Spain,7108,"$145,950",5,5
67,2012,M,USA,Sweden,7108,"$542,649",16,16
68,2012,M,USA,Switzerland,7108,"$303,716,986","5,516","5,516"
69,2012,M,USA,Thailand,7108,"$191,123",4,4
70,2012,M,USA,Togo,7108,"$98,630",3,3
71,2012,M,USA,Trinidad and Tobago,7108,"$1,456,329",45,45
72,2012,M,USA,United Arab Emirates,7108,"$6,030,799",113,113
73,2012,M,USA,Türkiye,7108,"$2,930,980",56,56
74,2012,M,USA,Turks and Caicos Isds,7108,"$3,470",0,0
75,2012,M,USA,United Kingdom,7108,"$24,480,279",462,462
