,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,Ukraine,World,7108,"$9,659,856",449,449
1,2012,X,Ukraine,Austria,7108,"$3,365,038",64,64
2,2012,X,Ukraine,Switzerland,7108,"$6,294,818",385,385
3,2013,X,Ukraine,World,7108,"$19,649,816",465,465
4,2013,X,Ukraine,Switzerland,7108,"$19,649,816",465,465
5,2014,X,Ukraine,World,7108,"$103,094,521","3,414","3,414"
6,2014,X,Ukraine,Switzerland,7108,"$103,092,757","3,274","3,274"
7,2014,X,Ukraine,United Kingdom,7108,"$1,764",140,140
8,2015,X,Ukraine,World,7108,"$43,839,491","1,182","1,182"
9,2015,X,Ukraine,Spain,7108,"$10,042",0,0
10,2015,X,Ukraine,Switzerland,7108,"$43,829,449","1,182","1,182"
11,2016,X,Ukraine,World,7108,"$5,744,805",142,142
12,2016,X,Ukraine,Spain,7108,"$10,474",0,0
13,2016,X,Ukraine,Switzerland,7108,"$5,734,331",142,142
14,2017,X,Ukraine,World,7108,"$24,455,237",580,580
15,2017,X,Ukraine,Switzerland,7108,"$24,455,237",580,580
16,2018,X,Ukraine,World,7108,"$16,108,511",415,415
17,2018,X,Ukraine,Italy,7108,"$370,119",16,16
18,2018,X,Ukraine,Switzerland,7108,"$15,738,391",399,399
19,2019,X,Ukraine,World,7108,"$15,543,706",329,321
20,2019,X,Ukraine,Italy,7108,"$448,691",18,10
21,2019,X,Ukraine,Switzerland,7108,"$14,564,515",300,300
22,2019,X,Ukraine,United Arab Emirates,7108,"$530,500",11,11
23,2020,X,Ukraine,World,7108,"$40,392,231",689,679
24,2020,X,Ukraine,Italy,7108,"$1,648,104",48,38
25,2020,X,Ukraine,Switzerland,7108,"$38,723,577",640,640
26,2020,X,Ukraine,Türkiye,7108,"$18,382",0,0
27,2020,X,Ukraine,USA,7108,"$2,166",0,0
28,2021,X,Ukraine,World,7108,"$27,621,641",512,512
29,2021,X,Ukraine,Italy,7108,"$4,133,440",118,118
30,2021,X,Ukraine,Switzerland,7108,"$23,479,792",394,394
31,2021,X,Ukraine,USA,7108,"$8,409",0,0
32,2022,X,Ukraine,World,7108,"$6,202,570",121,121
33,2022,X,Ukraine,Italy,7108,"$1,204,491",35,35
34,2022,X,Ukraine,Switzerland,7108,"$4,996,358",86,86
35,2022,X,Ukraine,USA,7108,"$1,719",0,0
36,2023,X,Ukraine,World,7108,"$1,489,266",39,39
37,2023,X,Ukraine,Italy,7108,"$1,489,266",39,39
