,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,Ukraine,World,7108,"$384,737,928","7,109","7,109"
1,2012,M,Ukraine,Austria,7108,"$4,077,268",75,75
2,2012,M,Ukraine,Germany,7108,"$7,703,695",136,136
3,2012,M,Ukraine,Netherlands,7108,"$95,868,282","1,788","1,788"
4,2012,M,Ukraine,Russian Federation,7108,"$37,578",1,1
5,2012,M,Ukraine,Switzerland,7108,"$277,050,162","5,110","5,110"
6,2012,M,Ukraine,USA,7108,$944,0,0
7,2013,M,Ukraine,World,7108,"$576,337,998","12,769","12,769"
8,2013,M,Ukraine,Belgium,7108,"$418,284",10,10
9,2013,M,Ukraine,Germany,7108,"$9,395,830",224,224
10,2013,M,Ukraine,Netherlands,7108,"$153,738,211","3,493","3,493"
11,2013,M,Ukraine,Russian Federation,7108,"$22,125",0,0
12,2013,M,Ukraine,Switzerland,7108,"$402,113,128","8,796","8,796"
13,2013,M,Ukraine,United Kingdom,7108,"$10,650,420",246,246
14,2014,M,Ukraine,World,7108,"$231,559,296","5,623","5,623"
15,2014,M,Ukraine,Belgium,7108,"$605,794",15,15
16,2014,M,Ukraine,Germany,7108,"$1,978,370",49,49
17,2014,M,Ukraine,Netherlands,7108,"$113,510,111","2,753","2,753"
18,2014,M,Ukraine,Russian Federation,7108,"$33,245",1,1
19,2014,M,Ukraine,Spain,7108,"$12,145",0,0
20,2014,M,Ukraine,Switzerland,7108,"$115,419,620","2,805","2,805"
21,2014,M,Ukraine,USA,7108,$10,0,0
22,2015,M,Ukraine,World,7108,"$23,418,374",604,604
23,2015,M,Ukraine,France,7108,$503,0,0
24,2015,M,Ukraine,Germany,7108,"$2,477,778",60,60
25,2015,M,Ukraine,Netherlands,7108,"$11,642,880",305,305
26,2015,M,Ukraine,Russian Federation,7108,"$32,919",1,1
27,2015,M,Ukraine,Sweden,7108,$402,0,0
28,2015,M,Ukraine,Switzerland,7108,"$9,263,893",238,238
29,2016,M,Ukraine,World,7108,"$13,076,357",337,337
30,2016,M,Ukraine,Belgium,7108,"$175,201",5,5
31,2016,M,Ukraine,France,7108,"$2,644",0,0
32,2016,M,Ukraine,Germany,7108,"$518,890",12,12
33,2016,M,Ukraine,Netherlands,7108,"$8,414,420",214,214
34,2016,M,Ukraine,Russian Federation,7108,"$32,843",0,0
35,2016,M,Ukraine,Spain,7108,"$10,332",0,0
