,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,China,World,2709,"$2,226,024,615","2,432,136,091","2,432,136,091"
1,2012,X,China,Australia,2709,"$46,275,840","55,262,488","55,262,488"
2,2012,X,China,France,2709,$10,1,1
3,2012,X,China,Japan,2709,"$1,170,010,692","1,331,925,220","1,331,925,220"
4,2012,X,China,Dem. People's Rep. of Korea,2709,"$577,896,203","523,040,525","523,040,525"
5,2012,X,China,Rep. of Korea,2709,"$73,465,561","87,116,757","87,116,757"
6,2012,X,China,Malaysia,2709,"$143,914,190","184,086,650","184,086,650"
7,2012,X,China,Singapore,2709,"$10,148,900","15,886,625","15,886,625"
8,2012,X,China,Thailand,2709,"$31,487,808","35,624,308","35,624,308"
9,2012,X,China,USA,2709,"$172,825,411","199,193,517","199,193,517"
10,2013,X,China,World,2709,"$1,456,208,511","1,617,328,272","1,617,328,272"
11,2013,X,China,Japan,2709,"$561,358,052","646,406,352","646,406,352"
12,2013,X,China,Dem. People's Rep. of Korea,2709,"$598,133,947","578,001,810","578,001,810"
13,2013,X,China,Malaysia,2709,"$147,540,326","193,659,413","193,659,413"
14,2013,X,China,Singapore,2709,$80,41,41
15,2013,X,China,USA,2709,"$149,176,106","199,260,656","199,260,656"
16,2014,X,China,World,2709,"$490,697,311","600,193,266","600,193,266"
17,2014,X,China,Iran,2709,"$265,685,567","320,666,784","320,666,784"
18,2014,X,China,Japan,2709,"$157,297,230","185,948,480","185,948,480"
19,2014,X,China,Rep. of Korea,2709,"$67,710,638","93,572,912","93,572,912"
20,2014,X,China,USA,2709,"$3,876","5,090","5,090"
21,2015,X,China,World,2709,"$1,545,644,007","2,865,567,104","2,865,567,104"
22,2015,X,China,Iran,2709,"$121,969,834","185,513,000","185,513,000"
23,2015,X,China,Japan,2709,"$647,532,666","1,548,330,000","1,548,330,000"
24,2015,X,China,Rep. of Korea,2709,"$185,179,795","284,851,000","284,851,000"
25,2015,X,China,Malaysia,2709,"$49,986,133","58,868,700","58,868,700"
26,2015,X,China,India,2709,"$291,068,742","448,086,000","448,086,000"
27,2015,X,China,Singapore,2709,"$10,577,601","22,949,500","22,949,500"
28,2015,X,China,United Arab Emirates,2709,"$193,864,049","228,687,000","228,687,000"
29,2015,X,China,USA,2709,"$45,465,187","88,281,904","88,281,904"
30,2016,X,China,World,2709,"$943,491,460",0,"3,169,395,704"
31,2016,X,China,Australia,2709,"$34,308,706",0,"115,250,503"
32,2016,X,China,Japan,2709,"$382,421,301",0,"1,284,637,413"
33,2016,X,China,Rep. of Korea,2709,"$317,548,775",0,"1,066,716,304"
34,2016,X,China,"Other Asia, nes",2709,"$71,800",0,"241,192"
35,2016,X,China,Singapore,2709,"$63,660,681",0,"213,850,254"
