,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,China,World,2709,"$220,793,843,089","270,979,640,155","270,979,640,155"
1,2012,M,China,Algeria,2709,"$2,255,915,854","2,571,944,510","2,571,944,510"
2,2012,M,China,Angola,2709,"$33,373,390,248","40,151,983,682","40,151,983,682"
3,2012,M,China,Azerbaijan,2709,"$162,007,476","186,890,931","186,890,931"
4,2012,M,China,Argentina,2709,"$961,225,283","1,205,241,118","1,205,241,118"
5,2012,M,China,Australia,2709,"$3,271,515,821","3,714,827,457","3,714,827,457"
6,2012,M,China,Bahamas,2709,"$116,565,088","122,958,954","122,958,954"
7,2012,M,China,Brazil,2709,"$4,653,938,170","6,047,296,077","6,047,296,077"
8,2012,M,China,Brunei Darussalam,2709,"$352,553,724","405,301,283","405,301,283"
9,2012,M,China,Cameroon,2709,"$499,203,246","576,335,200","576,335,200"
10,2012,M,China,Canada,2709,"$471,703,332","663,699,210","663,699,210"
11,2012,M,China,Chad,2709,"$197,107,891","279,871,600","279,871,600"
12,2012,M,China,Colombia,2709,"$2,124,386,213","2,908,526,393","2,908,526,393"
13,2012,M,China,Congo,2709,"$4,265,568,710","5,365,464,317","5,365,464,317"
14,2012,M,China,Dem. Rep. of the Congo,2709,"$724,623,970","854,982,836","854,982,836"
15,2012,M,China,Ecuador,2709,"$712,089,248","893,678,126","893,678,126"
16,2012,M,China,Equatorial Guinea,2709,"$1,690,756,137","2,001,291,130","2,001,291,130"
17,2012,M,China,Gabon,2709,"$274,251,057","310,376,696","310,376,696"
18,2012,M,China,Ghana,2709,"$335,479,806","384,640,990","384,640,990"
19,2012,M,China,Indonesia,2709,"$475,822,050","548,181,019","548,181,019"
20,2012,M,China,Iran,2709,"$17,800,741,137","21,925,586,110","21,925,586,110"
21,2012,M,China,Iraq,2709,"$12,649,171,736","15,683,601,179","15,683,601,179"
22,2012,M,China,Kazakhstan,2709,"$8,719,228,570","10,703,671,922","10,703,671,922"
23,2012,M,China,Kuwait,2709,"$8,415,007,582","10,489,792,491","10,489,792,491"
24,2012,M,China,Libya,2709,"$6,374,665,854","7,306,157,775","7,306,157,775"
25,2012,M,China,Malaysia,2709,"$969,342,856","1,114,400,778","1,114,400,778"
26,2012,M,China,Mauritania,2709,"$173,041,226","233,574,970","233,574,970"
27,2012,M,China,Mexico,2709,"$762,498,597","1,015,497,215","1,015,497,215"
28,2012,M,China,Mongolia,2709,"$411,767,170","499,243,506","499,243,506"
29,2012,M,China,Oman,2709,"$15,818,658,133","19,566,530,939","19,566,530,939"
30,2012,M,China,Niger,2709,"$2,871",126,126
31,2012,M,China,Nigeria,2709,"$791,551,530","936,529,069","936,529,069"
32,2012,M,China,Qatar,2709,"$865,157,558","995,638,671","995,638,671"
33,2012,M,China,Russian Federation,2709,"$20,485,270,871","24,329,451,359","24,329,451,359"
34,2012,M,China,Saudi Arabia,2709,"$44,165,045,207","53,915,478,660","53,915,478,660"
35,2012,M,China,Singapore,2709,$156,4,4
36,2012,M,China,Viet Nam,2709,"$657,661,750","744,609,578","744,609,578"
37,2012,M,China,South Africa,2709,"$364,709,232","443,339,302","443,339,302"
38,2012,M,China,Spain,2709,$960,15,15
39,2012,M,China,South Sudan,2709,"$499,465,121","674,426,495","674,426,495"
40,2012,M,China,Sudan,2709,"$1,495,178,413","1,831,416,753","1,831,416,753"
41,2012,M,China,Syria,2709,"$4,339",300,300
42,2012,M,China,Thailand,2709,"$578,450,787","722,003,841","722,003,841"
43,2012,M,China,United Arab Emirates,2709,"$7,479,299,061","8,743,839,188","8,743,839,188"
44,2012,M,China,Egypt,2709,"$621,075,958","771,059,944","771,059,944"
45,2012,M,China,United Kingdom,2709,"$207,781,872","264,997,200","264,997,200"
46,2012,M,China,USA,2709,$241,18,18
47,2012,M,China,Venezuela,2709,"$10,492,472,800","15,290,886,708","15,290,886,708"
48,2012,M,China,Yemen,2709,"$3,078,488,177","3,584,414,510","3,584,414,510"
49,2013,M,China,World,2709,"$219,660,366,018","281,742,073,502","281,742,073,502"
50,2013,M,China,Algeria,2709,"$1,620,115,009","1,835,204,951","1,835,204,951"
51,2013,M,China,Angola,2709,"$31,808,646,588","40,009,854,613","40,009,854,613"
52,2013,M,China,Azerbaijan,2709,"$158,126,861","190,294,706","190,294,706"
53,2013,M,China,Argentina,2709,"$618,887,423","842,362,145","842,362,145"
54,2013,M,China,Australia,2709,"$2,537,847,579","3,025,157,012","3,025,157,012"
55,2013,M,China,Brazil,2709,"$3,809,926,513","5,264,896,254","5,264,896,254"
56,2013,M,China,Brunei Darussalam,2709,"$69,768,427","79,020,821","79,020,821"
57,2013,M,China,Canada,2709,"$277,785,523","404,309,108","404,309,108"
58,2013,M,China,Chad,2709,"$99,605,458","139,589,100","139,589,100"
59,2013,M,China,Colombia,2709,"$2,812,173,859","3,940,652,648","3,940,652,648"
60,2013,M,China,Congo,2709,"$5,455,461,551","7,077,474,269","7,077,474,269"
61,2013,M,China,Dem. Rep. of the Congo,2709,"$906,926,682","1,105,371,397","1,105,371,397"
62,2013,M,China,Cuba,2709,"$74,632,359","126,815,155","126,815,155"
63,2013,M,China,Ecuador,2709,"$490,876,422","709,163,533","709,163,533"
64,2013,M,China,Equatorial Guinea,2709,"$1,962,406,823","2,425,729,670","2,425,729,670"
65,2013,M,China,Gabon,2709,"$391,507,793","478,330,352","478,330,352"
66,2013,M,China,Ghana,2709,"$317,091,346","373,437,740","373,437,740"
67,2013,M,China,"China, Hong Kong SAR",2709,"$111,384,080","128,876,546","128,876,546"
68,2013,M,China,Indonesia,2709,"$573,183,356","684,407,477","684,407,477"
69,2013,M,China,Iran,2709,"$16,887,584,035","21,411,546,250","21,411,546,250"
70,2013,M,China,Iraq,2709,"$17,899,812,009","23,512,941,254","23,512,941,254"
71,2013,M,China,Kazakhstan,2709,"$9,375,483,702","11,980,620,137","11,980,620,137"
72,2013,M,China,Kuwait,2709,"$7,277,315,570","9,343,321,134","9,343,321,134"
73,2013,M,China,Libya,2709,"$2,031,169,396","2,395,017,920","2,395,017,920"
74,2013,M,China,Malaysia,2709,"$526,277,364","602,992,264","602,992,264"
75,2013,M,China,Mauritania,2709,"$106,997,949","140,172,980","140,172,980"
76,2013,M,China,Mexico,2709,"$755,662,787","1,096,513,249","1,096,513,249"
77,2013,M,China,Mongolia,2709,"$473,678,208","613,138,860","613,138,860"
78,2013,M,China,Oman,2709,"$19,932,095,656","25,469,564,290","25,469,564,290"
79,2013,M,China,Niger,2709,$401,36,36
80,2013,M,China,Nigeria,2709,"$899,115,448","1,052,436,050","1,052,436,050"
81,2013,M,China,Philippines,2709,"$60,558,998","68,039,350","68,039,350"
82,2013,M,China,Qatar,2709,"$99,120,172","130,750,000","130,750,000"
83,2013,M,China,Russian Federation,2709,"$19,742,628,301","24,348,419,998","24,348,419,998"
84,2013,M,China,Saudi Arabia,2709,"$42,368,087,201","53,902,874,061","53,902,874,061"
85,2013,M,China,Viet Nam,2709,"$550,348,526","647,079,985","647,079,985"
86,2013,M,China,South Sudan,2709,"$2,468,313,737","3,490,992,310","3,490,992,310"
87,2013,M,China,Sudan,2709,"$1,900,058,296","2,375,687,258","2,375,687,258"
88,2013,M,China,Thailand,2709,"$467,120,807","589,009,910","589,009,910"
89,2013,M,China,United Arab Emirates,2709,"$8,367,314,981","10,275,845,766","10,275,845,766"
90,2013,M,China,Egypt,2709,"$1,050,613,688","1,249,338,053","1,249,338,053"
91,2013,M,China,United Kingdom,2709,"$170,658,152","200,372,440","200,372,440"
92,2013,M,China,USA,2709,$535,1,1
93,2013,M,China,Venezuela,2709,"$10,148,889,185","15,551,964,968","15,551,964,968"
94,2013,M,China,Yemen,2709,"$2,005,107,262","2,452,487,481","2,452,487,481"
95,2014,M,China,World,2709,"$228,288,472,075","308,374,526,733","308,374,526,733"
96,2014,M,China,Algeria,2709,"$801,450,784","898,397,248","898,397,248"
97,2014,M,China,Angola,2709,"$30,893,003,075","40,647,653,774","40,647,653,774"
98,2014,M,China,Azerbaijan,2709,"$195,339,453","222,002,568","222,002,568"
99,2014,M,China,Argentina,2709,"$246,722,029","322,504,320","322,504,320"
100,2014,M,China,Australia,2709,"$2,110,862,486","2,727,356,168","2,727,356,168"
101,2014,M,China,Bolivia (Plurinational State of),2709,"$200,641,890","237,439,804","237,439,804"
102,2014,M,China,Brazil,2709,"$4,886,818,043","7,024,664,398","7,024,664,398"
103,2014,M,China,Brunei Darussalam,2709,"$72,878,178","81,933,000","81,933,000"
104,2014,M,China,Cameroon,2709,"$369,596,409","519,624,704","519,624,704"
105,2014,M,China,Canada,2709,"$119,106,086","201,616,000","201,616,000"
106,2014,M,China,Chad,2709,"$104,140,217","143,130,448","143,130,448"
107,2014,M,China,Colombia,2709,"$7,062,024,145","10,091,235,372","10,091,235,372"
108,2014,M,China,Congo,2709,"$5,179,948,135","7,050,623,216","7,050,623,216"
109,2014,M,China,Dem. Rep. of the Congo,2709,"$778,061,119","968,183,232","968,183,232"
110,2014,M,China,Ecuador,2709,"$506,788,897","746,634,976","746,634,976"
111,2014,M,China,Equatorial Guinea,2709,"$2,463,839,213","3,249,057,024","3,249,057,024"
112,2014,M,China,Gabon,2709,"$1,143,614,927","1,554,807,928","1,554,807,928"
113,2014,M,China,Ghana,2709,"$675,849,404","879,552,768","879,552,768"
114,2014,M,China,Indonesia,2709,"$275,119,535","375,149,232","375,149,232"
115,2014,M,China,Iran,2709,"$20,804,671,555","27,459,384,481","27,459,384,481"
116,2014,M,China,Iraq,2709,"$20,759,577,992","28,577,809,062","28,577,809,062"
117,2014,M,China,Kazakhstan,2709,"$4,222,821,654","5,686,422,131","5,686,422,131"
118,2014,M,China,Jordan,2709,$220,10,10
119,2014,M,China,Kuwait,2709,"$7,598,348,696","10,618,718,096","10,618,718,096"
120,2014,M,China,Libya,2709,"$704,013,771","965,547,136","965,547,136"
121,2014,M,China,Malaysia,2709,"$189,378,142","217,327,648","217,327,648"
122,2014,M,China,Mexico,2709,"$460,286,887","682,302,096","682,302,096"
123,2014,M,China,Mongolia,2709,"$718,145,703","1,030,843,328","1,030,843,328"
124,2014,M,China,Oman,2709,"$22,680,323,672","29,743,869,856","29,743,869,856"
125,2014,M,China,Aruba,2709,"$184,208,889","277,715,808","277,715,808"
126,2014,M,China,Nigeria,2709,"$1,530,743,217","1,996,445,136","1,996,445,136"
127,2014,M,China,Norway,2709,"$115,148,381","145,999,008","145,999,008"
128,2014,M,China,Pakistan,2709,"$10,382,604","15,927,249","15,927,249"
129,2014,M,China,Papua New Guinea,2709,"$69,381,984","77,278,528","77,278,528"
130,2014,M,China,Qatar,2709,"$260,151,741","360,994,992","360,994,992"
131,2014,M,China,Russian Federation,2709,"$24,950,868,002","33,107,531,139","33,107,531,139"
132,2014,M,China,Saudi Arabia,2709,"$36,940,644,812","49,666,812,616","49,666,812,616"
133,2014,M,China,Viet Nam,2709,"$1,223,625,591","1,482,871,584","1,482,871,584"
134,2014,M,China,South Sudan,2709,"$4,329,172,366","6,443,389,880","6,443,389,880"
135,2014,M,China,Sudan,2709,"$1,349,814,461","1,773,815,722","1,773,815,722"
136,2014,M,China,Thailand,2709,$65,3,3
137,2014,M,China,United Arab Emirates,2709,"$9,088,932,718","11,651,961,088","11,651,961,088"
