,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,France,World,2709,"$368,784,301","427,245,540","427,245,540"
1,2012,X,France,Algeria,2709,"$143,049","33,430","33,430"
2,2012,X,France,Argentina,2709,$19,1,1
3,2012,X,France,Australia,2709,$13,1,1
4,2012,X,France,Austria,2709,"$728,353","82,865","82,865"
5,2012,X,France,Belgium,2709,"$32,529,993","40,123,605","40,123,605"
6,2012,X,France,China,2709,$557,95,95
7,2012,X,France,Finland,2709,$386,448,448
8,2012,X,France,Gabon,2709,"$13,532",590,590
9,2012,X,France,Germany,2709,"$194,908,777","221,885,906","221,885,906"
10,2012,X,France,Greece,2709,"$33,055","8,773","8,773"
11,2012,X,France,Iran,2709,$6,1,1
12,2012,X,France,Italy,2709,$12,7,7
13,2012,X,France,Côte d'Ivoire,2709,$6,17,17
14,2012,X,France,Luxembourg,2709,"$100,569","28,203","28,203"
15,2012,X,France,Mali,2709,$6,20,20
16,2012,X,France,Mauritius,2709,$6,1,1
17,2012,X,France,Mexico,2709,$45,5,5
18,2012,X,France,Netherlands,2709,"$241,948","57,038","57,038"
19,2012,X,France,Nigeria,2709,$604,86,86
20,2012,X,France,Norway,2709,$338,307,307
21,2012,X,France,Pakistan,2709,$6,10,10
22,2012,X,France,Poland,2709,"$597,948","127,386","127,386"
23,2012,X,France,Portugal,2709,"$153,598","44,179","44,179"
24,2012,X,France,Romania,2709,"$262,257","56,382","56,382"
25,2012,X,France,India,2709,$8,18,18
26,2012,X,France,Singapore,2709,$3,2,2
27,2012,X,France,Slovakia,2709,"$29,456","5,200","5,200"
28,2012,X,France,Slovenia,2709,"$97,113","28,673","28,673"
29,2012,X,France,South Africa,2709,$300,69,69
30,2012,X,France,Spain,2709,"$460,288","78,968","78,968"
31,2012,X,France,Sudan,2709,$854,40,40
32,2012,X,France,Syria,2709,$6,1,1
33,2012,X,France,Thailand,2709,$9,3,3
34,2012,X,France,Türkiye,2709,$139,26,26
35,2012,X,France,United Kingdom,2709,"$95,274,563","115,059,598","115,059,598"
36,2012,X,France,USA,2709,$334,61,61
37,2012,X,France,Uzbekistan,2709,$13,2,2
38,2012,X,France,"Areas, nes",2709,"$43,206,133","49,623,523","49,623,523"
39,2013,X,France,World,2709,"$57,478,106","67,524,036","67,524,036"
40,2013,X,France,Australia,2709,$1,1,1
41,2013,X,France,Austria,2709,"$787,343","69,760","69,760"
