,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,India,World,2709,"$14,663","36,000","36,000"
1,2012,X,India,Sri Lanka,2709,"$8,140","16,000","16,000"
2,2012,X,India,Mauritius,2709,"$6,523","20,000","20,000"
3,2013,X,India,World,2709,"$13,776","8,000","8,000"
4,2013,X,India,Bangladesh,2709,"$2,848","3,000","3,000"
5,2013,X,India,Mauritius,2709,"$7,111","4,000","4,000"
6,2013,X,India,Mozambique,2709,"$3,817","1,000","1,000"
7,2014,X,India,World,2709,"$561,674","1,681,148","1,681,148"
8,2014,X,India,Bangladesh,2709,"$1,707","2,000","2,000"
9,2014,X,India,Mauritius,2709,"$7,158","4,000","4,000"
10,2014,X,India,Saudi Arabia,2709,$384,"1,148","1,148"
11,2014,X,India,United Arab Emirates,2709,"$552,425","1,674,000","1,674,000"
12,2018,X,India,World,2709,$176,362,362
13,2018,X,India,Singapore,2709,$176,362,362
