,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,India,World,2709,"$148,757,012,851","187,311,159,024","187,311,159,024"
1,2012,M,India,Albania,2709,"$38,501,062","59,910,000","59,910,000"
2,2012,M,India,Algeria,2709,"$692,734,536","790,295,000","790,295,000"
3,2012,M,India,Angola,2709,"$7,951,254,612","9,662,378,944","9,662,378,944"
4,2012,M,India,Azerbaijan,2709,"$1,754,286,609","2,313,513,984","2,313,513,984"
5,2012,M,India,Australia,2709,"$260,109,122","329,206,000","329,206,000"
6,2012,M,Indi,Brazil,2709,"$3,509,889,979","4,784,385,024","4,784,385,024"
8,2012,M,India,Brunei Darussalam,2709,"$932,827,859","1,056,563,992","1,056,563,992"
9,2012,M,India,Cameroon,2709,"$462,611,832","449,595,992","449,595,992"
10,2012,M,India,Canada,2709,"$100,926,447","140,084,992","140,084,992"
11,2012,M,India,China,2709,"$448,093,461","538,457,984","538,457,984"
12,2012,M,India,Colombia,2709,"$1,011,719,366","1,463,641,024","1,463,641,024"
13,2012,M,India,Congo,2709,"$569,880,935","781,476,992","781,476,992"
14,2012,M,India,Ecuador,2709,"$713,217,808","974,344,008","974,344,008"
15,2012,M,India,Equatorial Guinea,2709,"$444,435,455","532,970,000","532,970,000"
16,2012,M,India,Gabon,2709,"$784,105,471","1,025,417,984","1,025,417,984"
17,2012,M,India,Guinea,2709,"$182,175,515","221,150,992","221,150,992"
18,2012,M,India,Indonesia,2709,"$74,464,112","83,787,000","83,787,000"
19,2012,M,India,Iran,2709,"$11,278,442,209","15,171,854,912","15,171,854,912"
20,2012,M,India,Iraq,2709,"$19,426,500,558","24,240,220,672","24,240,220,672"
21,2012,M,India,Côte d'Ivoire,2709,"$69,596,505","86,517,000","86,517,000"
22,2012,M,India,Rep. of Korea,2709,"$74,674,527","94,510,000","94,510,000"
23,2012,M,India,Kuwait,2709,"$15,593,704,300","19,908,996,800","19,908,996,800"
24,2012,M,India,Libya,2709,"$1,154,215,248","1,363,873,008","1,363,873,008"
25,2012,M,India,Malaysia,2709,"$2,016,070,728","2,299,641,008","2,299,641,008"
26,2012,M,India,Mexico,2709,"$2,681,257,852","3,773,138,992","3,773,138,992"
27,2012,M,India,"Other Asia, nes",2709,"$195,079,427","233,629,992","233,629,992"
28,2012,M,India,Oman,2709,"$238,294,509","324,244,000","324,244,000"
29,2012,M,India,Nicaragua,2709,"$77,677,238","76,627,000","76,627,000"
30,2012,M,India,Nigeria,2709,"$13,047,918,493","15,053,057,984","15,053,057,984"
31,2012,M,India,Panama,2709,"$43,520,049","57,607,000","57,607,000"
32,2012,M,India,Qatar,2709,"$6,963,483,313","8,353,178,976","8,353,178,976"
33,2012,M,India,Russian Federation,2709,"$121,724,897","147,844,000","147,844,000"
34,2012,M,India,Saudi Arabia,2709,"$27,674,008,347","33,618,583,040","33,618,583,040"
35,2012,M,India,Sudan,2709,"$134,680,044","170,125,000","170,125,000"
36,2012,M,India,Syria,2709,"$137,587,281","165,345,000","165,345,000"
37,2012,M,India,United Arab Emirates,2709,"$12,968,658,534","15,739,206,912","15,739,206,912"
38,2012,M,India,Tunisia,2709,"$28,500,178","34,901,000","34,901,000"
39,2012,M,India,Egypt,2709,"$1,750,678,848","2,411,353,984","2,411,353,984"
40,2012,M,India,USA,2709,"$115,819,522","147,075,008","147,075,008"
41,2012,M,India,Venezuela,2709,"$12,093,666,847","17,455,965,824","17,455,965,824"
42,2012,M,India,Yemen,2709,"$690,172,022","779,666,008","779,666,008"
43,2012,M,India,"Areas, nes",2709,"$192,202,741","299,136,992","299,136,992"
44,2013,M,India,World,2709,"$148,046,659,171","193,316,457,336","193,316,457,336"
45,2013,M,India,Albania,2709,"$161,807,451","254,487,000","254,487,000"
46,2013,M,India,Algeria,2709,"$330,555,098","395,148,008","395,148,008"
47,2013,M,India,Angola,2709,"$6,729,543,031","8,527,028,008","8,527,028,008"
48,2013,M,India,Azerbaijan,2709,"$964,129,919","1,167,527,992","1,167,527,992"
49,2013,M,India,Australia,2709,"$379,107,583","438,566,000","438,566,000"
50,2013,M,India,Bahamas,2709,"$94,955,932","143,220,000","143,220,000"
51,2013,M,India,Bahrain,2709,"$197,038,885","257,560,000","257,560,000"
52,2013,M,India,Brazil,2709,"$1,787,753,889","2,548,352,984","2,548,352,984"
53,2013,M,India,Brunei Darussalam,2709,"$717,851,805","831,565,000","831,565,000"
54,2013,M,India,Cameroon,2709,"$257,481,278","366,428,000","366,428,000"
55,2013,M,India,Chad,2709,"$98,873,456","139,820,000","139,820,000"
56,2013,M,India,Colombia,2709,"$4,059,591,590","5,894,719,024","5,894,719,024"
57,2013,M,India,Ecuador,2709,"$307,539,565","437,728,016","437,728,016"
58,2013,M,India,Equatorial Guinea,2709,"$494,270,849","613,938,984","613,938,984"
59,2013,M,India,Gabon,2709,"$833,671,757","1,207,731,016","1,207,731,016"
60,2013,M,India,Guinea,2709,"$513,741,054","725,645,008","725,645,008"
61,2013,M,India,Iran,2709,"$7,950,794,599","10,662,563,072","10,662,563,072"
62,2013,M,India,Iraq,2709,"$20,052,488,446","26,669,942,016","26,669,942,016"
63,2013,M,India,Kazakhstan,2709,"$334,437,701","439,436,992","439,436,992"
64,2013,M,India,Kuwait,2709,"$15,588,542,518","20,468,388,992","20,468,388,992"
65,2013,M,India,Libya,2709,"$864,564,633","1,024,508,000","1,024,508,000"
66,2013,M,India,Malaysia,2709,"$2,064,292,870","2,476,621,976","2,476,621,976"
67,2013,M,India,Mexico,2709,"$3,578,522,824","5,218,563,952","5,218,563,952"
68,2013,M,India,Oman,2709,"$1,488,021,783","1,843,549,016","1,843,549,016"
69,2013,M,India,Nigeria,2709,"$13,140,656,640","15,262,672,000","15,262,672,000"
70,2013,M,India,Qatar,2709,"$3,944,159,374","4,731,941,040","4,731,941,040"
71,2013,M,India,Russian Federation,2709,"$82,193,153","113,318,000","113,318,000"
72,2013,M,India,Saudi Arabia,2709,"$31,202,907,172","39,230,550,272","39,230,550,272"
73,2013,M,India,Sudan,2709,"$260,802,689","328,255,000","328,255,000"
74,2013,M,India,United Arab Emirates,2709,"$12,053,004,224","14,822,687,040","14,822,687,040"
75,2013,M,India,Türkiye,2709,"$253,591,960","357,775,008","357,775,008"
76,2013,M,India,Egypt,2709,"$1,801,255,978","2,580,755,008","2,580,755,008"
77,2013,M,India,Venezuela,2709,"$14,942,565,596","22,516,268,928","22,516,268,928"
78,2013,M,India,Yemen,2709,"$515,943,871","619,195,984","619,195,984"
79,2014,M,India,World,2709,"$135,826,203,012","189,407,430,312","189,407,430,312"
80,2014,M,India,Albania,2709,"$96,504,440","165,395,000","165,395,000"
81,2014,M,India,Algeria,2709,"$297,558,507","393,674,000","393,674,000"
82,2014,M,India,Angola,2709,"$5,462,948,213","7,243,898,976","7,243,898,976"
83,2014,M,India,Azerbaijan,2709,"$415,558,801","499,209,984","499,209,984"
84,2014,M,India,Argentina,2709,"$215,666,163","299,819,008","299,819,008"
85,2014,M,India,Australia,2709,"$52,949,882","94,695,000","94,695,000"
86,2014,M,India,Bahamas,2709,"$499,384,504","682,220,016","682,220,016"
87,2014,M,India,Brazil,2709,"$3,027,395,135","5,007,624,976","5,007,624,976"
88,2014,M,India,Brunei Darussalam,2709,"$935,097,467","1,138,388,992","1,138,388,992"
89,2014,M,India,Cameroon,2709,"$545,571,020","754,151,992","754,151,992"
90,2014,M,India,Canada,2709,"$263,214,817","356,557,992","356,557,992"
91,2014,M,India,Colombia,2709,"$3,326,857,225","5,266,969,952","5,266,969,952"
92,2014,M,India,Congo,2709,"$183,503,584","253,064,000","253,064,000"
93,2014,M,India,Dem. Rep. of the Congo,2709,"$65,140,372","86,689,000","86,689,000"
94,2014,M,India,Ecuador,2709,"$900,384,389","1,311,372,000","1,311,372,000"
95,2014,M,India,Equatorial Guinea,2709,"$713,740,924","958,859,976","958,859,976"
96,2014,M,India,Gabon,2709,"$709,721,333","1,009,077,000","1,009,077,000"
97,2014,M,India,Guinea,2709,"$222,256,838","267,252,008","267,252,008"
98,2014,M,India,Indonesia,2709,"$76,676,853","142,310,000","142,310,000"
99,2014,M,India,Iran,2709,"$9,477,107,279","13,547,203,008","13,547,203,008"
100,2014,M,India,Iraq,2709,"$15,992,253,797","22,794,197,888","22,794,197,888"
101,2014,M,India,Kazakhstan,2709,"$792,186,541","942,956,000","942,956,000"
102,2014,M,India,Kuwait,2709,"$12,954,444,863","18,327,836,096","18,327,836,096"
103,2014,M,India,Libya,2709,"$56,172,963","66,046,000","66,046,000"
104,2014,M,India,Malaysia,2709,"$2,433,439,905","2,991,886,952","2,991,886,952"
105,2014,M,India,Mexico,2709,"$2,742,207,704","4,239,856,976","4,239,856,976"
106,2014,M,India,Oman,2709,"$518,162,300","659,855,008","659,855,008"
107,2014,M,India,Netherlands,2709,"$525,205,025","875,361,976","875,361,976"
108,2014,M,India,Nigeria,2709,"$14,860,480,366","18,342,787,072","18,342,787,072"
109,2014,M,India,Panama,2709,"$39,375,201","59,036,000","59,036,000"
110,2014,M,India,Qatar,2709,"$3,368,327,627","4,229,110,080","4,229,110,080"
111,2014,M,India,Russian Federation,2709,"$168,003,643","201,837,008","201,837,008"
112,2014,M,India,Saudi Arabia,2709,"$26,355,999,459","35,430,535,168","35,430,535,168"
113,2014,M,India,South Sudan,2709,"$64,377,273","91,371,000","91,371,000"
114,2014,M,India,Sudan,2709,"$573,383,160","841,923,008","841,923,008"
115,2014,M,India,Syria,2709,"$58,001,935","63,055,000","63,055,000"
116,2014,M,India,United Arab Emirates,2709,"$11,679,080,968","15,011,966,080","15,011,966,080"
117,2014,M,India,Türkiye,2709,"$578,847,981","737,100,000","737,100,000"
118,2014,M,India,Egypt,2709,"$1,474,909,681","2,345,925,016","2,345,925,016"
