,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,Russian Federation,World,2709,"$180,929,707,639","239,963,822,644","239,963,822,644"
1,2012,X,Russian Federation,Belgium,2709,"$75,895,850","100,173,313","100,173,313"
2,2012,X,Russian Federation,Bosnia Herzegovina,2709,"$528,886,166","680,325,000","680,325,000"
3,2012,X,Russian Federation,Brazil,2709,"$159,275,165","177,086,713","177,086,713"
4,2012,X,Russian Federation,Bulgaria,2709,"$3,358,046,312","4,288,823,870","4,288,823,870"
5,2012,X,Russian Federation,Belarus,2709,"$8,320,923,867","21,238,121,837","21,238,121,837"
6,2012,X,Russian Federation,China,2709,"$18,790,935,711","22,402,997,228","22,402,997,228"
7,2012,X,Russian Federation,Croatia,2709,"$274,042,659","360,360,843","360,360,843"
8,2012,X,Russian Federation,Czechia,2709,"$2,439,738,690","3,032,736,000","3,032,736,000"
9,2012,X,Russian Federation,Denmark,2709,"$388,124,845","487,124,267","487,124,267"
10,2012,X,Russian Federation,Estonia,2709,"$656,383","995,319","995,319"
11,2012,X,Russian Federation,Finland,2709,"$6,451,488,407","8,151,903,745","8,151,903,745"
12,2012,X,Russian Federation,France,2709,"$1,519,463,564","1,926,415,548","1,926,415,548"
13,2012,X,Russian Federation,Germany,2709,"$16,875,368,441","21,422,783,368","21,422,783,368"
14,2012,X,Russian Federation,Greece,2709,"$2,920,237,524","3,673,787,789","3,673,787,789"
15,2012,X,Russian Federation,Hungary,2709,"$4,253,116,840","5,424,862,000","5,424,862,000"
16,2012,X,Russian Federation,Indonesia,2709,"$407,421,946","501,191,098","501,191,098"
17,2012,X,Russian Federation,Italy,2709,"$15,617,877,668","19,724,158,434","19,724,158,434"
18,2012,X,Russian Federation,Japan,2709,"$6,506,147,114","7,600,216,755","7,600,216,755"
19,2012,X,Russian Federation,Kazakhstan,2709,"$2,416,244,179","6,420,280,040","6,420,280,040"
20,2012,X,Russian Federation,Rep. of Korea,2709,"$7,750,911,121","8,960,326,275","8,960,326,275"
21,2012,X,Russian Federation,Lithuania,2709,"$2,030,391,540","2,636,652,232","2,636,652,232"
22,2012,X,Russian Federation,Malaysia,2709,"$27,938,131","33,334,790","33,334,790"
23,2012,X,Russian Federation,"Other Asia, nes",2709,"$165,388,335","197,536,341","197,536,341"
24,2012,X,Russian Federation,Mongolia,2709,"$672,570","693,032","693,032"
25,2012,X,Russian Federation,Morocco,2709,"$538,003,633","675,168,492","675,168,492"
26,2012,X,Russian Federation,Netherlands,2709,"$39,984,322,335","50,650,298,495","50,650,298,495"
27,2012,X,Russian Federation,Norway,2709,"$413,809,198","504,765,424","504,765,424"
28,2012,X,Russian Federation,Philippines,2709,"$1,030,706,979","1,215,614,666","1,215,614,666"
29,2012,X,Russian Federation,Poland,2709,"$16,259,205,622","20,634,059,263","20,634,059,263"
30,2012,X,Russian Federation,Portugal,2709,"$359,948,013","497,473,838","497,473,838"
31,2012,X,Russian Federation,Romania,2709,"$1,017,300,268","1,285,829,812","1,285,829,812"
32,2012,X,Russian Federation,Singapore,2709,"$293,608,386","336,419,335","336,419,335"
33,2012,X,Russian Federation,Slovakia,2709,"$4,258,587,760","5,447,311,000","5,447,311,000"
34,2012,X,Russian Federation,South Africa,2709,"$107,820,166","140,308,859","140,308,859"
35,2012,X,Russian Federation,Spain,2709,"$3,826,127,335","4,826,200,926","4,826,200,926"
36,2012,X,Russian Federation,Sweden,2709,"$3,894,038,203","4,837,103,211","4,837,103,211"
37,2012,X,Russian Federation,Switzerland,2709,"$201,970","300,166","300,166"
38,2012,X,Russian Federation,Thailand,2709,"$767,536,727","960,175,857","960,175,857"
39,2012,X,Russian Federation,Trinidad and Tobago,2709,"$180,553,099","215,714,358","215,714,358"
40,2012,X,Russian Federation,Türkiye,2709,"$1,069,312,693","1,359,578,586","1,359,578,586"
41,2012,X,Russian Federation,Ukraine,2709,"$572,402,254","729,199,385","729,199,385"
42,2012,X,Russian Federation,United Kingdom,2709,"$1,791,937,347","2,172,819,682","2,172,819,682"
43,2012,X,Russian Federation,USA,2709,"$3,148,501,829","3,844,922,316","3,844,922,316"
44,2012,X,Russian Federation,Uruguay,2709,"$136,590,793","187,673,136","187,673,136"
45,2013,X,Russian Federation,World,2709,"$173,669,617,054","236,617,646,404","236,617,646,404"
46,2013,X,Russian Federation,Algeria,2709,"$81,581,239","100,796,893","100,796,893"
47,2013,X,Russian Federation,Bosnia Herzegovina,2709,"$596,879,231","792,409,000","792,409,000"
48,2013,X,Russian Federation,Bulgaria,2709,"$901,727,959","1,157,269,408","1,157,269,408"
49,2013,X,Russian Federation,Belarus,2709,"$8,056,021,628","20,675,955,096","20,675,955,096"
50,2013,X,Russian Federation,China,2709,"$18,564,788,372","23,033,120,199","23,033,120,199"
51,2013,X,Russian Federation,Croatia,2709,"$1,130,150,133","1,460,730,259","1,460,730,259"
52,2013,X,Russian Federation,Czechia,2709,"$3,011,446,930","3,943,418,000","3,943,418,000"
53,2013,X,Russian Federation,Denmark,2709,"$187,110,290","228,021,095","228,021,095"
54,2013,X,Russian Federation,Estonia,2709,"$101,763,959","129,333,170","129,333,170"
55,2013,X,Russian Federation,Finland,2709,"$7,246,932,839","9,446,590,533","9,446,590,533"
56,2013,X,Russian Federation,France,2709,"$797,925,794","1,008,951,830","1,008,951,830"
57,2013,X,Russian Federation,Germany,2709,"$14,335,543,430","18,714,733,218","18,714,733,218"
58,2013,X,Russian Federation,Gibraltar,2709,"$77,220,814","100,036,010","100,036,010"
59,2013,X,Russian Federation,Greece,2709,"$3,456,419,454","4,443,994,495","4,443,994,495"
60,2013,X,Russian Federation,Hungary,2709,"$3,842,248,977","5,072,666,000","5,072,666,000"
61,2013,X,Russian Federation,Italy,2709,"$16,606,649,973","21,244,497,470","21,244,497,470"
62,2013,X,Russian Federation,Japan,2709,"$9,453,547,574","11,438,901,885","11,438,901,885"
