,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,Russian Federation,World,2709,"$173,121,829","838,688,281","838,688,281"
1,2012,M,Russian Federation,Canada,2709,$960,1,1
2,2012,M,Russian Federation,Kazakhstan,2709,"$173,119,589","838,688,200","838,688,200"
3,2012,M,Russian Federation,Viet Nam,2709,"$1,280",80,80
4,2013,M,Russian Federation,World,2709,"$154,762,339","856,886,000","856,886,000"
5,2013,M,Russian Federation,Canada,2709,"$1,365",0,0
6,2013,M,Russian Federation,Kazakhstan,2709,"$154,760,973","856,886,000","856,886,000"
7,2014,M,Russian Federation,World,2709,"$307,567,814","1,476,598,139","1,476,598,139"
8,2014,M,Russian Federation,Indonesia,2709,$876,4,4
9,2014,M,Russian Federation,Japan,2709,"$2,436",6,6
10,2014,M,Russian Federation,Kazakhstan,2709,"$307,492,175","1,476,597,121","1,476,597,121"
11,2014,M,Russian Federation,USA,2709,$382,4,4
12,2014,M,Russian Federation,Venezuela,2709,"$71,946","1,005","1,005"
13,2015,M,Russian Federation,World,2709,"$647,793,792","2,854,549,476","2,854,549,476"
14,2015,M,Russian Federation,Cuba,2709,$781,38,38
15,2015,M,Russian Federation,Iraq,2709,"$5,410",126,126
16,2015,M,Russian Federation,Kazakhstan,2709,"$647,731,695","2,854,426,126","2,854,426,126"
17,2015,M,Russian Federation,Russian Federation,2709,"$54,985","123,182","123,182"
18,2015,M,Russian Federation,USA,2709,$921,4,4
19,2016,M,Russian Federation,World,2709,"$42,890,691",0,"752,399,035"
20,2016,M,Russian Federation,Cuba,2709,"$1,353",904,904
21,2016,M,Russian Federation,Kazakhstan,2709,"$42,887,157","752,369,800","752,369,800"
22,2016,M,Russian Federation,Netherlands,2709,"$1,054",0,"18,489"
23,2016,M,Russian Federation,Thailand,2709,$600,600,600
24,2016,M,Russian Federation,USA,2709,$526,0,"9,242"
25,2017,M,Russian Federation,World,2709,"$69,348,178","624,224,196","624,224,196"
26,2017,M,Russian Federation,Azerbaijan,2709,$573,55,55
27,2017,M,Russian Federation,Belarus,2709,$35,235,235
28,2017,M,Russian Federation,Kazakhstan,2709,"$69,347,372","624,223,900","624,223,900"
29,2017,M,Russian Federation,Norway,2709,$198,6,6
30,2018,M,Russian Federation,World,2709,"$64,247,499",0,"498,756,498"
31,2018,M,Russian Federation,Belarus,2709,"$1,574",264,264
32,2018,M,Russian Federation,Iraq,2709,"$3,675",0,"28,529"
33,2018,M,Russian Federation,Kazakhstan,2709,"$64,242,212","498,727,700","498,727,700"
34,2018,M,Russian Federation,Turkmenistan,2709,$38,5,5
35,2019,M,Russian Federation,World,2709,"$80,552","251,566","251,566"
36,2019,M,Russian Federation,Kazakhstan,2709,"$80,552","251,566","251,566"
37,2020,M,Russian Federation,World,2709,"$628,440",0,0
38,2020,M,Russian Federation,Azerbaijan,2709,$190,7,7
39,2020,M,Russian Federation,Kazakhstan,2709,"$570,968","2,532,329","2,532,329"
40,2020,M,Russian Federation,Kyrgyzstan,2709,"$55,663","230,734","230,734"
41,2020,M,Russian Federation,Norway,2709,$18,5,5
42,2020,M,Russian Federation,USA,2709,"$1,600",0,0
43,2021,M,Russian Federation,World,2709,"$139,427","570,468","570,468"
44,2021,M,Russian Federation,Belarus,2709,$22,50,50
45,2021,M,Russian Federation,Canada,2709,$271,4,4
46,2021,M,Russian Federation,Kazakhstan,2709,"$137,935","570,388","570,388"
47,2021,M,Russian Federation,USA,2709,"$1,197",25,25
