,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,Saudi Arabia,World,2709,"$305,237,240,213","377,149,519,000","377,149,519,000"
1,2012,X,Saudi Arabia,"LAIA, nes",2709,"$2,772,921,066","3,404,652,000","3,404,652,000"
2,2012,X,Saudi Arabia,"Other Asia, nes",2709,"$187,108,468,819","228,132,007,000","228,132,007,000"
3,2012,X,Saudi Arabia,"Oceania, nes",2709,"$624,712,514","783,178,000","783,178,000"
4,2012,X,Saudi Arabia,"Other Europe, nes",2709,"$37,363,550,171","46,896,744,000","46,896,744,000"
5,2012,X,Saudi Arabia,"Other Africa, nes",2709,"$6,630,838,955","8,198,157,000","8,198,157,000"
6,2012,X,Saudi Arabia,"North America and Central America, nes",2709,"$55,656,355,704","71,162,107,000","71,162,107,000"
7,2012,X,Saudi Arabia,"Areas, nes",2709,"$15,080,392,984","18,572,674,000","18,572,674,000"
8,2013,X,Saudi Arabia,World,2709,"$293,994,567,493","376,777,610,000","376,777,610,000"
9,2013,X,Saudi Arabia,"LAIA, nes",2709,"$3,117,202,563","3,940,642,000","3,940,642,000"
10,2013,X,Saudi Arabia,"Other Asia, nes",2709,"$179,790,885,005","227,325,896,000","227,325,896,000"
11,2013,X,Saudi Arabia,"Oceania, nes",2709,"$333,880,951","429,040,000","429,040,000"
12,2013,X,Saudi Arabia,"Other Europe, nes",2709,"$34,643,337,171","44,496,229,000","44,496,229,000"
13,2013,X,Saudi Arabia,"Other Africa, nes",2709,"$6,602,751,453","8,399,782,000","8,399,782,000"
14,2013,X,Saudi Arabia,"North America and Central America, nes",2709,"$54,153,961,559","72,790,782,000","72,790,782,000"
15,2013,X,Saudi Arabia,"Areas, nes",2709,"$15,352,548,791","19,395,239,000","19,395,239,000"
16,2014,X,Saudi Arabia,World,2709,"$250,522,819,622","356,276,096,000","356,276,096,000"
17,2014,X,Saudi Arabia,"LAIA, nes",2709,"$2,440,568,358","3,427,843,000","3,427,843,000"
18,2014,X,Saudi Arabia,"Other Asia, nes",2709,"$154,460,211,424","218,295,232,000","218,295,232,000"
19,2014,X,Saudi Arabia,"Oceania, nes",2709,"$191,675,852","290,110,000","290,110,000"
20,2014,X,Saudi Arabia,"Other Europe, nes",2709,"$31,067,234,891","45,403,176,000","45,403,176,000"
21,2014,X,Saudi Arabia,"Other Africa, nes",2709,"$4,866,558,006","6,876,081,000","6,876,081,000"
22,2014,X,Saudi Arabia,"North America and Central America, nes",2709,"$43,569,465,196","62,625,283,000","62,625,283,000"
23,2014,X,Saudi Arabia,"Areas, nes",2709,"$13,927,105,894","19,358,371,000","19,358,371,000"
24,2015,X,Saudi Arabia,World,2709,"$129,811,454,824","356,445,004,000","356,445,004,000"
25,2015,X,Saudi Arabia,"LAIA, nes",2709,"$1,247,030,070","3,386,720,000","3,386,720,000"
26,2015,X,Saudi Arabia,"Other Asia, nes",2709,"$82,671,903,898","226,831,500,000","226,831,500,000"
27,2015,X,Saudi Arabia,"Oceania, nes",2709,"$310,290,109","873,924,000","873,924,000"
28,2015,X,Saudi Arabia,"Other Europe, nes",2709,"$15,231,162,319","41,232,300,000","41,232,300,000"
29,2015,X,Saudi Arabia,"Other Africa, nes",2709,"$2,033,827,605","5,695,350,000","5,695,350,000"
30,2015,X,Saudi Arabia,"North America and Central America, nes",2709,"$21,257,673,923","59,489,000,000","59,489,000,000"
31,2015,X,Saudi Arabia,"Areas, nes",2709,"$7,059,566,896","18,936,210,000","18,936,210,000"
32,2016,X,Saudi Arabia,World,2709,"$111,980,929,354","371,785,000,000","371,785,000,000"
33,2016,X,Saudi Arabia,"LAIA, nes",2709,"$1,057,993,861","3,560,000,000","3,560,000,000"
34,2016,X,Saudi Arabia,"Other Asia, nes",2709,"$73,203,467,410","243,035,000,000","243,035,000,000"
35,2016,X,Saudi Arabia,"Oceania, nes",2709,"$277,633,377","969,000,000","969,000,000"
36,2016,X,Saudi Arabia,"Other Europe, nes",2709,"$12,765,001,314","41,045,000,000","41,045,000,000"
37,2016,X,Saudi Arabia,"Other Africa, nes",2709,"$2,334,147,285","7,638,000,000","7,638,000,000"
38,2016,X,Saudi Arabia,"North America and Central America, nes",2709,"$17,280,477,511","58,722,000,000","58,722,000,000"
39,2016,X,Saudi Arabia,"Areas, nes",2709,"$5,062,208,594","16,816,000,000","16,816,000,000"
40,2021,X,Saudi Arabia,World,2709,"$150,844,262,895","318,683,077,343","318,683,077,343"
41,2021,X,Saudi Arabia,"Areas, nes",2709,"$150,844,262,895","318,683,077,343","318,683,077,343"
