,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,USA,World,2709,"$322,024,504,395","427,005,202,656","427,005,202,656"
1,2012,M,USA,Algeria,2709,"$5,785,840,967","6,892,300,912","6,892,300,912"
2,2012,M,USA,Angola,2709,"$9,450,711,645","11,228,087,188","11,228,087,188"
3,2012,M,USA,Azerbaijan,2709,"$1,083,919,613","1,309,893,508","1,309,893,508"
4,2012,M,USA,Argentina,2709,"$946,125,005","1,121,348,903","1,121,348,903"
5,2012,M,USA,Australia,2709,"$256,600,836","302,331,334","302,331,334"
6,2012,M,USA,Bolivia (Plurinational State of),2709,"$124,760,238","151,467,728","151,467,728"
7,2012,M,USA,Brazil,2709,"$7,712,046,382","9,371,088,250","9,371,088,250"
8,2012,M,USA,Belize,2709,"$105,096,478","130,584,379","130,584,379"
9,2012,M,USA,Brunei Darussalam,2709,"$76,548,215","84,509,016","84,509,016"
10,2012,M,USA,Cameroon,2709,"$47,749,227","54,708,856","54,708,856"
11,2012,M,USA,Canada,2709,"$74,214,173,234","116,975,595,139","116,975,595,139"
12,2012,M,USA,Chad,2709,"$2,290,356,359","2,853,984,312","2,853,984,312"
13,2012,M,USA,China,2709,"$82,306,225","96,565,522","96,565,522"
14,2012,M,USA,Colombia,2709,"$16,055,502,984","20,105,552,527","20,105,552,527"
15,2012,M,USA,Congo,2709,"$1,354,820,321","1,590,960,012","1,590,960,012"
16,2012,M,USA,Ecuador,2709,"$7,093,131,168","9,074,264,704","9,074,264,704"
17,2012,M,USA,Equatorial Guinea,2709,"$1,616,942,080","1,973,275,724","1,973,275,724"
18,2012,M,USA,Gabon,2709,"$1,753,037,617","2,082,785,764","2,082,785,764"
19,2012,M,USA,Guatemala,2709,"$341,900,543","479,056,032","479,056,032"
20,2012,M,USA,Indonesia,2709,"$256,615,064","302,306,572","302,306,572"
21,2012,M,USA,Iraq,2709,"$19,610,928,418","24,210,030,423","24,210,030,423"
22,2012,M,USA,Côte d'Ivoire,2709,"$128,351,161","136,031,152","136,031,152"
23,2012,M,USA,Japan,2709,"$6,344",957,957
24,2012,M,USA,Kuwait,2709,"$12,940,328,799","15,795,423,884","15,795,423,884"
25,2012,M,USA,Libya,2709,"$2,302,500,107","2,779,978,287","2,779,978,287"
26,2012,M,USA,Mexico,2709,"$37,557,021,163","49,187,786,888","49,187,786,888"
27,2012,M,USA,Oman,2709,"$375,012,817","473,199,049","473,199,049"
28,2012,M,USA,Netherlands,2709,"$2,475,860","2,828,741","2,828,741"
29,2012,M,USA,Curaçao,2709,"$57,803,826","79,190,240","79,190,240"
30,2012,M,USA,Nigeria,2709,"$17,942,593,577","20,986,315,610","20,986,315,610"
31,2012,M,USA,Norway,2709,"$1,062,820,961","1,291,186,101","1,291,186,101"
32,2012,M,USA,Peru,2709,"$343,264,639","458,300,666","458,300,666"
33,2012,M,USA,Russian Federation,2709,"$4,092,108,377","4,925,616,459","4,925,616,459"
34,2012,M,USA,Saudi Arabia,2709,"$55,590,108,021","68,375,083,578","68,375,083,578"
35,2012,M,USA,Viet Nam,2709,"$362,370,940","408,955,040","408,955,040"
36,2012,M,USA,Thailand,2709,"$832,204,172","960,715,840","960,715,840"
37,2012,M,USA,Trinidad and Tobago,2709,"$1,186,491,874","1,431,000,116","1,431,000,116"
38,2012,M,USA,Tunisia,2709,"$64,062,779","84,493,840","84,493,840"
39,2012,M,USA,Egypt,2709,"$1,384,713,396","1,645,073,696","1,645,073,696"
40,2012,M,USA,United Kingdom,2709,"$898,090,616","1,047,957,780","1,047,957,780"
41,2012,M,USA,Venezuela,2709,"$34,643,062,347","46,545,367,930","46,545,367,930"
42,2013,M,USA,World,2709,"$279,485,061,578","386,147,972,625","386,147,972,625"
43,2013,M,USA,Algeria,2709,"$1,382,596,059","1,670,306,792","1,670,306,792"
44,2013,M,USA,Angola,2709,"$8,285,065,676","10,190,325,972","10,190,325,972"
45,2013,M,USA,Azerbaijan,2709,"$1,111,509,693","1,548,296,206","1,548,296,206"
46,2013,M,USA,Argentina,2709,"$541,533,041","673,012,564","673,012,564"
47,2013,M,USA,Australia,2709,"$63,239,697","72,202,822","72,202,822"
48,2013,M,USA,Bolivia (Plurinational State of),2709,"$27,709,305","40,256,804","40,256,804"
49,2013,M,USA,Brazil,2709,"$4,303,293,673","5,399,874,271","5,399,874,271"
50,2013,M,USA,Belize,2709,"$72,115,933","91,390,592","91,390,592"
51,2013,M,USA,Cameroon,2709,"$97,402,741","129,861,984","129,861,984"
52,2013,M,USA,Canada,2709,"$78,481,790,711","126,294,585,063","126,294,585,063"
53,2013,M,USA,Chad,2709,"$2,492,241,636","3,276,490,208","3,276,490,208"
54,2013,M,USA,China,2709,"$53,594,398","66,824,020","66,824,020"
55,2013,M,USA,Colombia,2709,"$14,189,718,870","18,649,323,504","18,649,323,504"
56,2013,M,USA,Congo,2709,"$805,808,921","1,002,455,740","1,002,455,740"
57,2013,M,USA,Ecuador,2709,"$8,972,005,263","11,646,616,608","11,646,616,608"
58,2013,M,USA,Equatorial Guinea,2709,"$784,217,369","960,989,886","960,989,886"
59,2013,M,USA,Finland,2709,"$34,454","23,656","23,656"
60,2013,M,USA,Gabon,2709,"$984,579,166","1,197,899,608","1,197,899,608"
61,2013,M,USA,Ghana,2709,"$117,058,647","135,729,632","135,729,632"
62,2013,M,USA,Guatemala,2709,"$258,321,613","338,904,904","338,904,904"
63,2013,M,USA,Indonesia,2709,"$757,378,273","909,437,824","909,437,824"
64,2013,M,USA,Iraq,2709,"$13,533,090,170","17,110,803,917","17,110,803,917"
65,2013,M,USA,Italy,2709,"$7,516","5,196","5,196"
66,2013,M,USA,Japan,2709,"$17,598","2,051","2,051"
67,2013,M,USA,Kazakhstan,2709,"$5,086","2,598","2,598"
68,2013,M,USA,Kuwait,2709,"$12,622,316,475","15,868,499,748","15,868,499,748"
69,2013,M,USA,Libya,2709,"$1,807,618,058","2,236,953,856","2,236,953,856"
70,2013,M,USA,Mauritania,2709,"$133,117,078","170,650,296","170,650,296"
71,2013,M,USA,Mexico,2709,"$32,261,956,136","42,709,780,132","42,709,780,132"
72,2013,M,USA,Oman,2709,"$100,304,040","129,881,540","129,881,540"
73,2013,M,USA,Nigeria,2709,"$10,245,568,551","12,677,609,547","12,677,609,547"
74,2013,M,USA,Norway,2709,"$573,897,125","708,462,700","708,462,700"
75,2013,M,USA,Panama,2709,"$12,856","20,784","20,784"
76,2013,M,USA,Peru,2709,"$395,844,600","515,463,064","515,463,064"
77,2013,M,USA,Russian Federation,2709,"$1,887,230,246","2,265,024,630","2,265,024,630"
78,2013,M,USA,Saudi Arabia,2709,"$51,551,884,515","65,915,005,448","65,915,005,448"
79,2013,M,USA,Singapore,2709,"$12,674","5,743","5,743"
80,2013,M,USA,Viet Nam,2709,"$540,253,036","649,158,976","649,158,976"
81,2013,M,USA,Thailand,2709,"$341,529,420","407,651,616","407,651,616"
82,2013,M,USA,Trinidad and Tobago,2709,"$326,953,785","405,521,768","405,521,768"
83,2013,M,USA,Egypt,2709,"$203,226,542","246,205,580","246,205,580"
84,2013,M,USA,United Kingdom,2709,"$1,024,755,849","1,258,920,772","1,258,920,772"
85,2013,M,USA,Venezuela,2709,"$28,154,245,083","38,577,534,002","38,577,534,002"
86,2014,M,USA,World,2709,"$253,228,701,616","309,044,999,034","309,044,999,034"
87,2014,M,USA,Albania,2709,"$41,422,169","50,552,382","50,552,382"
88,2014,M,USA,Algeria,2709,"$256,626,218","313,191,391","313,191,391"
