,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,USA,World,2709,"$2,633,505,822","3,769,561,224","3,769,561,224"
1,2012,X,USA,Canada,2709,"$2,633,505,822","3,769,561,224","3,769,561,224"
2,2013,X,USA,World,2709,"$5,099,464,344","6,750,184,902","6,750,184,902"
3,2013,X,USA,Canada,2709,"$5,072,679,571","6,713,741,638","6,713,741,638"
4,2013,X,USA,China,2709,"$26,784,773","36,443,264","36,443,264"
5,2014,X,USA,World,2709,"$12,309,085,818","15,602,050,413","15,602,050,413"
6,2014,X,USA,Canada,2709,"$11,664,403,742","14,784,901,000","14,784,901,000"
7,2014,X,USA,China,2709,"$20,733,844","26,280,626","26,280,626"
8,2014,X,USA,Germany,2709,"$10,060,580","12,752,017","12,752,017"
9,2014,X,USA,Italy,2709,"$92,612,102","117,387,977","117,387,977"
10,2014,X,USA,Rep. of Korea,2709,"$73,897,259","93,666,482","93,666,482"
11,2014,X,USA,Singapore,2709,"$60,075,514","76,147,101","76,147,101"
12,2014,X,USA,Spain,2709,"$90,176,675","114,301,017","114,301,017"
13,2014,X,USA,Switzerland,2709,"$297,126,102","376,614,193","376,614,193"
14,2015,X,USA,World,2709,"$8,768,735,352","23,210,615,528","23,210,615,528"
15,2015,X,USA,Brazil,2709,"$34,780,424","87,714,472","87,714,472"
16,2015,X,USA,Canada,2709,"$8,103,809,879","21,336,330,680","21,336,330,680"
17,2015,X,USA,China,2709,"$15,353,789","57,488,096","57,488,096"
18,2015,X,USA,France,2709,"$28,831,502","85,372,528","85,372,528"
19,2015,X,USA,Italy,2709,"$76,082,632","213,107,664","213,107,664"
20,2015,X,USA,Rep. of Korea,2709,"$58,183,164","132,978,424","132,978,424"
21,2015,X,USA,Netherlands,2709,"$95,996,565","237,961,112","237,961,112"
22,2015,X,USA,India,2709,"$17,325,000","42,319,528","42,319,528"
23,2015,X,USA,Spain,2709,"$100,607,208","357,133,296","357,133,296"
24,2015,X,USA,Switzerland,2709,"$237,765,189","660,209,728","660,209,728"
25,2016,X,USA,World,2709,"$9,462,121,586","34,370,042,133","34,370,042,133"
26,2016,X,USA,Argentina,2709,"$28,635,751","88,755,231","88,755,231"
27,2016,X,USA,Bahamas,2709,"$35,099,524","155,483,397","155,483,397"
28,2016,X,USA,Brazil,2709,"$7,714,010","30,663,150","30,663,150"
29,2016,X,USA,Canada,2709,"$5,634,364,072","20,784,437,865","20,784,437,865"
30,2016,X,USA,China,2709,"$360,620,216","1,268,559,399","1,268,559,399"
31,2016,X,USA,Colombia,2709,"$169,219,669","558,741,900","558,741,900"
32,2016,X,USA,Dominican Rep.,2709,"$15,387,033","47,413,482","47,413,482"
33,2016,X,USA,France,2709,"$122,311,229","492,774,390","492,774,390"
34,2016,X,USA,Greece,2709,"$24,708,831","86,971,410","86,971,410"
35,2016,X,USA,Israel,2709,"$28,782,530","122,426,502","122,426,502"
36,2016,X,USA,Italy,2709,"$356,104,853","1,240,029,870","1,240,029,870"
37,2016,X,USA,Japan,2709,"$136,757,174","517,426,386","517,426,386"
38,2016,X,USA,Rep. of Korea,2709,"$149,445,697","516,945,570","516,945,570"
39,2016,X,USA,Netherlands,2709,"$785,226,665","2,636,957,601","2,636,957,601"
40,2016,X,USA,Curaçao,2709,"$497,077,242","1,722,849,270","1,722,849,270"
41,2016,X,USA,Nicaragua,2709,"$78,513,213","248,067,507","248,067,507"
42,2016,X,USA,Nigeria,2709,"$22,911,579","95,904,507","95,904,507"
43,2016,X,USA,Marshall Isds,2709,"$19,752,022","71,800,902","71,800,902"
44,2016,X,USA,Panama,2709,"$48,697,340","182,877,030","182,877,030"
45,2016,X,USA,Papua New Guinea,2709,"$4,981,800","13,201,770","13,201,770"
46,2016,X,USA,Peru,2709,"$127,193,800","428,221,026","428,221,026"
47,2016,X,USA,Singapore,2709,"$217,384,172","757,564,563","757,564,563"
48,2016,X,USA,South Africa,2709,"$17,223,408","65,311,794","65,311,794"
49,2016,X,USA,Spain,2709,"$114,880,615","497,692,419","497,692,419"
50,2016,X,USA,Switzerland,2709,"$228,050,820","890,741,850","890,741,850"
51,2016,X,USA,Thailand,2709,"$83,105,321","280,998,633","280,998,633"
52,2016,X,USA,United Kingdom,2709,"$147,973,000","567,224,709","567,224,709"
53,2017,X,USA,World,2709,"$22,502,167,777","60,316,708,435","60,316,708,435"
54,2017,X,USA,Argentina,2709,"$132,101,339","354,095,571","354,095,571"
55,2017,X,USA,Bahamas,2709,"$355,175,759","952,043,061","952,043,061"
56,2017,X,USA,Brazil,2709,"$221,075,164","592,588,516","592,588,516"
57,2017,X,USA,Br. Indian Ocean Terr.,2709,"$27,656,438","74,132,649","74,132,649"
58,2017,X,USA,Canada,2709,"$6,678,555,801","17,901,764,265","17,901,764,265"
59,2017,X,USA,China,2709,"$4,378,735,544","11,737,132,072","11,737,132,072"
60,2017,X,USA,Colombia,2709,"$370,959,315","994,350,636","994,350,636"
61,2017,X,USA,Denmark,2709,"$36,416,360","97,613,482","97,613,482"
62,2017,X,USA,Dominican Rep.,2709,"$46,712,449","125,211,988","125,211,988"
63,2017,X,USA,France,2709,"$587,233,309","1,574,069,691","1,574,069,691"
64,2017,X,USA,Georgia,2709,"$1,171,399","3,139,916","3,139,916"
65,2017,X,USA,Gibraltar,2709,"$16,225,000","43,490,858","43,490,858"
66,2017,X,USA,"China, Hong Kong SAR",2709,"$109,225,304","292,776,717","292,776,717"
67,2017,X,USA,Italy,2709,"$987,770,555","2,647,703,508","2,647,703,508"
68,2017,X,USA,Japan,2709,"$504,320,359","1,351,822,826","1,351,822,826"
69,2017,X,USA,Rep. of Korea,2709,"$1,114,034,946","2,986,153,231","2,986,153,231"
70,2017,X,USA,Malaysia,2709,"$367,366,028","984,718,886","984,718,886"
71,2017,X,USA,"Other Asia, nes",2709,"$354,236,950","949,526,598","949,526,598"
72,2017,X,USA,Netherlands,2709,"$1,805,157,682","4,838,696,905","4,838,696,905"
73,2017,X,USA,Curaçao,2709,"$213,498,019","572,278,097","572,278,097"
74,2017,X,USA,Nicaragua,2709,"$44,026,896","118,013,405","118,013,405"
75,2017,X,USA,Norway,2709,"$81,025,700","217,188,120","217,188,120"
76,2017,X,USA,Panama,2709,"$33,715,071","90,372,720","90,372,720"
77,2017,X,USA,Peru,2709,"$87,880,812","235,563,140","235,563,140"
78,2017,X,USA,Poland,2709,"$32,357,980","86,735,058","86,735,058"
79,2017,X,USA,India,2709,"$481,298,084","1,290,111,979","1,290,111,979"
80,2017,X,USA,Singapore,2709,"$451,907,970","1,211,332,238","1,211,332,238"
81,2017,X,USA,South Africa,2709,"$21,575,000","57,831,449","57,831,449"
82,2017,X,USA,Spain,2709,"$407,087,153","1,091,190,740","1,091,190,740"
83,2017,X,USA,Switzerland,2709,"$67,837,013","181,836,051","181,836,051"
84,2017,X,USA,Thailand,2709,"$310,370,836","831,944,166","831,944,166"
85,2017,X,USA,Togo,2709,"$47,632,677","127,678,645","127,678,645"
86,2017,X,USA,Trinidad and Tobago,2709,"$27,340,377","73,285,452","73,285,452"
87,2017,X,USA,United Arab Emirates,2709,"$100,998,998","270,726,232","270,726,232"
88,2017,X,USA,Türkiye,2709,"$28,700,756","76,931,927","76,931,927"
89,2017,X,USA,United Kingdom,2709,"$1,970,784,734","5,282,657,625","5,282,657,625"
90,2018,X,USA,World,2709,"$48,261,572,407","99,329,870,759","99,329,870,759"
91,2018,X,USA,Argentina,2709,"$40,963,366","84,309,019","84,309,019"
92,2018,X,USA,Australia,2709,"$9,926","20,429","20,429"
93,2018,X,USA,Bahamas,2709,"$54,918,383","113,030,629","113,030,629"
94,2018,X,USA,Brazil,2709,"$634,696,652","1,306,305,063","1,306,305,063"
95,2018,X,USA,Canada,2709,"$10,385,092,630","21,374,146,288","21,374,146,288"
96,2018,X,USA,Chile,2709,"$282,104,813","580,615,865","580,615,865"
97,2018,X,USA,China,2709,"$5,430,626,753","11,177,079,954","11,177,079,954"
98,2018,X,USA,Colombia,2709,"$561,800,980","1,156,274,359","1,156,274,359"
99,2018,X,USA,Croatia,2709,"$72,892,500","150,024,175","150,024,175"
100,2018,X,USA,Denmark,2709,"$337,554,235","694,739,455","694,739,455"
101,2018,X,USA,Dominican Rep.,2709,"$230,280,742","473,953,814","473,953,814"
102,2018,X,USA,France,2709,"$574,982,312","1,183,403,604","1,183,403,604"
103,2018,X,USA,Germany,2709,"$62,541,497","128,720,190","128,720,190"
104,2018,X,USA,Gibraltar,2709,"$31,954,536","65,767,437","65,767,437"
105,2018,X,USA,Greece,2709,"$110,496,848","227,419,810","227,419,810"
106,2018,X,USA,Ireland,2709,"$332,922,229","685,206,062","685,206,062"
107,2018,X,USA,Italy,2709,"$2,474,938,376","5,093,810,598","5,093,810,598"
108,2018,X,USA,Japan,2709,"$1,480,329,171","3,046,749,160","3,046,749,160"
109,2018,X,USA,Rep. of Korea,2709,"$5,805,327,729","11,948,273,217","11,948,273,217"
110,2018,X,USA,Malaysia,2709,"$439,209,367","903,961,630","903,961,630"
111,2018,X,USA,Mexico,2709,"$68,007,911","139,970,926","139,970,926"
112,2018,X,USA,"Other Asia, nes",2709,"$3,293,603,813","6,778,752,219","6,778,752,219"
113,2018,X,USA,Netherlands,2709,"$3,169,239,428","6,522,790,847","6,522,790,847"
114,2018,X,USA,Curaçao,2709,"$168,229,263","346,242,157","346,242,157"
115,2018,X,USA,Nicaragua,2709,"$107,256,289","220,750,232","220,750,232"
116,2018,X,USA,Norway,2709,"$787,552,379","1,620,906,077","1,620,906,077"
117,2018,X,USA,Panama,2709,"$40,677,349","83,720,351","83,720,351"
118,2018,X,USA,Peru,2709,"$169,712,414","349,294,714","349,294,714"
119,2018,X,USA,Poland,2709,"$210,564,814","433,375,348","433,375,348"
120,2018,X,USA,Portugal,2709,"$131,482,080","270,610,702","270,610,702"
121,2018,X,USA,India,2709,"$3,551,022,862","7,308,560,918","7,308,560,918"
122,2018,X,USA,Singapore,2709,"$919,575,754","1,892,630,849","1,892,630,849"
123,2018,X,USA,South Africa,2709,"$120,493,623","247,994,737","247,994,737"
124,2018,X,USA,Spain,2709,"$522,566,339","1,075,523,326","1,075,523,326"
125,2018,X,USA,Sweden,2709,"$56,340,488","115,957,543","115,957,543"
126,2018,X,USA,Switzerland,2709,"$105,288,316","216,699,835","216,699,835"
127,2018,X,USA,Thailand,2709,"$853,067,254","1,755,745,945","1,755,745,945"
128,2018,X,USA,United Arab Emirates,2709,"$669,996,783","1,378,958,259","1,378,958,259"
129,2018,X,USA,United Kingdom,2709,"$3,881,127,203","7,987,967,325","7,987,967,325"
130,2018,X,USA,Uruguay,2709,"$92,125,000","189,607,671","189,607,671"
131,2019,X,USA,World,2709,"$65,323,191,031","139,455,959,546","139,455,959,546"
132,2019,X,USA,Argentina,2709,"$860,732","1,837,543","1,837,543"
133,2019,X,USA,Australia,2709,"$987,703,740","2,108,610,596","2,108,610,596"
134,2019,X,USA,Belgium,2709,"$93,833,423","200,321,353","200,321,353"
135,2019,X,USA,Brazil,2709,"$1,188,830,720","2,537,988,824","2,537,988,824"
136,2019,X,USA,Bulgaria,2709,"$30,342,430","64,776,882","64,776,882"
137,2019,X,USA,Canada,2709,"$10,082,527,934","21,524,799,776","21,524,799,776"
138,2019,X,USA,Chile,2709,"$836,507,706","1,785,828,018","1,785,828,018"
139,2019,X,USA,China,2709,"$2,901,414,113","6,194,117,017","6,194,117,017"
