,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,United Kingdom,World,2709,"$30,654,266,757","36,339,409,276","36,339,409,276"
1,2012,X,United Kingdom,Bahrain,2709,"$33,818","9,100","9,100"
2,2012,X,United Kingdom,Belgium,2709,"$103,108,850","117,842,681","117,842,681"
3,2012,X,United Kingdom,Canada,2709,"$254,546,117","317,279,135","317,279,135"
4,2012,X,United Kingdom,Chile,2709,"$214,995,425","272,949,137","272,949,137"
5,2012,X,United Kingdom,Denmark,2709,"$206,194,254","247,772,840","247,772,840"
6,2012,X,United Kingdom,France,2709,"$2,647,434,684","3,062,169,382","3,062,169,382"
7,2012,X,United Kingdom,Gabon,2709,"$4,182",136,136
8,2012,X,United Kingdom,Germany,2709,"$8,500,925,960","9,982,640,705","9,982,640,705"
9,2012,X,United Kingdom,Iraq,2709,"$125,867","47,000","47,000"
10,2012,X,United Kingdom,Japan,2709,"$7,201","2,922","2,922"
11,2012,X,United Kingdom,Jordan,2709,"$165,256","37,400","37,400"
12,2012,X,United Kingdom,Rep. of Korea,2709,"$3,192,458,099","3,854,720,184","3,854,720,184"
13,2012,X,United Kingdom,Kuwait,2709,"$128,706","33,755","33,755"
14,2012,X,United Kingdom,Lebanon,2709,"$70,317","74,000","74,000"
15,2012,X,United Kingdom,Netherlands,2709,"$12,506,393,982","14,764,316,867","14,764,316,867"
16,2012,X,United Kingdom,Norway,2709,"$191,421,928","235,597,252","235,597,252"
17,2012,X,United Kingdom,Qatar,2709,"$4,082",21,21
18,2012,X,United Kingdom,Singapore,2709,"$6,780",8,8
19,2012,X,United Kingdom,Spain,2709,"$67,288,933","83,273,965","83,273,965"
20,2012,X,United Kingdom,Sweden,2709,"$1,395,091,849","1,649,778,901","1,649,778,901"
21,2012,X,United Kingdom,USA,2709,"$1,373,774,471","1,750,845,885","1,750,845,885"
22,2012,X,United Kingdom,Yemen,2709,"$85,997","18,000","18,000"
23,2013,X,United Kingdom,World,2709,"$29,793,874,943","36,112,959,636","36,112,959,636"
24,2013,X,United Kingdom,Algeria,2709,"$7,168","3,304","3,304"
25,2013,X,United Kingdom,Bahrain,2709,"$23,648","5,903","5,903"
26,2013,X,United Kingdom,Belgium,2709,"$200,321,989","234,452,328","234,452,328"
27,2013,X,United Kingdom,Canada,2709,"$38,437,089","44,503,797","44,503,797"
28,2013,X,United Kingdom,Chile,2709,"$898,222,875","1,107,322,525","1,107,322,525"
29,2013,X,United Kingdom,China,2709,"$320,541,310","405,948,844","405,948,844"
30,2013,X,United Kingdom,Denmark,2709,"$554,835,674","675,306,999","675,306,999"
31,2013,X,United Kingdom,Finland,2709,"$189,398,128","235,834,379","235,834,379"
32,2013,X,United Kingdom,France,2709,"$3,644,806,489","4,396,987,664","4,396,987,664"
33,2013,X,United Kingdom,Germany,2709,"$5,618,311,790","6,735,984,380","6,735,984,380"
34,2013,X,United Kingdom,Iceland,2709,"$1,781",289,289
35,2013,X,United Kingdom,Ireland,2709,"$197,816,856","235,410,976","235,410,976"
36,2013,X,United Kingdom,Italy,2709,"$388,953,058","474,579,803","474,579,803"
37,2013,X,United Kingdom,Japan,2709,"$8,430",800,800
38,2013,X,United Kingdom,Kazakhstan,2709,"$1,858","1,656","1,656"
39,2013,X,United Kingdom,Rep. of Korea,2709,"$2,919,988,800","3,568,373,158","3,568,373,158"
40,2013,X,United Kingdom,Netherlands,2709,"$10,285,043,787","12,434,419,074","12,434,419,074"
41,2013,X,United Kingdom,New Zealand,2709,"$1,267",20,20
42,2013,X,United Kingdom,Nigeria,2709,"$97,675","41,460","41,460"
43,2013,X,United Kingdom,Norway,2709,"$357,409,632","427,222,187","427,222,187"
44,2013,X,United Kingdom,Poland,2709,"$205,023,658","248,632,516","248,632,516"
45,2013,X,United Kingdom,Qatar,2709,"$4,401",420,420
46,2013,X,United Kingdom,Spain,2709,"$717,724,213","891,152,212","891,152,212"
47,2013,X,United Kingdom,Sweden,2709,"$716,327,345","833,021,422","833,021,422"
48,2013,X,United Kingdom,United Arab Emirates,2709,"$106,432","48,150","48,150"
49,2013,X,United Kingdom,Tunisia,2709,"$2,987",1,1
50,2013,X,United Kingdom,USA,2709,"$2,474,850,995","3,082,972,446","3,082,972,446"
51,2013,X,United Kingdom,Uruguay,2709,"$65,581,670","80,725,699","80,725,699"
52,2013,X,United Kingdom,Yemen,2709,"$23,936","7,224","7,224"
53,2014,X,United Kingdom,World,2709,"$28,857,384,516","37,271,204,569","37,271,204,569"
54,2014,X,United Kingdom,Belgium,2709,"$86,447,228","137,688,637","137,688,637"
55,2014,X,United Kingdom,Chile,2709,"$116,695,556","138,970,423","138,970,423"
56,2014,X,United Kingdom,China,2709,"$1,096,927,150","1,351,272,277","1,351,272,277"
57,2014,X,United Kingdom,Denmark,2709,"$602,209,791","722,491,786","722,491,786"
58,2014,X,United Kingdom,Ethiopia,2709,"$95,660","8,658","8,658"
59,2014,X,United Kingdom,Finland,2709,"$185,297,486","236,605,630","236,605,630"
60,2014,X,United Kingdom,France,2709,"$2,872,729,666","4,000,854,242","4,000,854,242"
61,2014,X,United Kingdom,Germany,2709,"$7,146,774,293","9,114,641,914","9,114,641,914"
62,2014,X,United Kingdom,Gibraltar,2709,"$110,474,108","131,660,576","131,660,576"
63,2014,X,United Kingdom,Greece,2709,"$55,157,317","77,174,909","77,174,909"
64,2014,X,United Kingdom,Ireland,2709,"$228,555,088","270,896,468","270,896,468"
65,2014,X,United Kingdom,Israel,2709,"$1,742",60,60
66,2014,X,United Kingdom,Italy,2709,"$696,347,347","903,977,619","903,977,619"
67,2014,X,United Kingdom,Rep. of Korea,2709,"$1,551,575,571","2,027,366,932","2,027,366,932"
68,2014,X,United Kingdom,Libya,2709,"$2,251",16,16
69,2014,X,United Kingdom,Malaysia,2709,"$8,183",42,42
70,2014,X,United Kingdom,Netherlands,2709,"$10,192,616,017","12,961,165,197","12,961,165,197"
71,2014,X,United Kingdom,Nigeria,2709,"$146,991","64,020","64,020"
72,2014,X,United Kingdom,Norway,2709,"$223,126,637","275,949,888","275,949,888"
73,2014,X,United Kingdom,Poland,2709,"$196,203,890","237,180,858","237,180,858"
74,2014,X,United Kingdom,Portugal,2709,"$60,441,868","82,356,672","82,356,672"
75,2014,X,United Kingdom,Seychelles,2709,"$16,604","4,800","4,800"
76,2014,X,United Kingdom,India,2709,"$4,100",5,5
77,2014,X,United Kingdom,South Africa,2709,"$212,863,872","271,949,382","271,949,382"
78,2014,X,United Kingdom,Spain,2709,"$1,116,303,746","1,511,417,716","1,511,417,716"
79,2014,X,United Kingdom,Sweden,2709,"$1,189,467,891","1,553,247,191","1,553,247,191"
80,2014,X,United Kingdom,USA,2709,"$916,894,465","1,264,258,651","1,264,258,651"
81,2015,X,United Kingdom,World,2709,"$16,192,669,157","37,655,698,562","37,655,698,562"
82,2015,X,United Kingdom,Angola,2709,"$3,970",808,808
83,2015,X,United Kingdom,Belgium,2709,"$54,753,722","137,895,440","137,895,440"
84,2015,X,United Kingdom,Canada,2709,"$6,252",70,70
85,2015,X,United Kingdom,China,2709,"$991,349,473","2,416,948,625","2,416,948,625"
86,2015,X,United Kingdom,Denmark,2709,"$75,761,613","174,169,119","174,169,119"
87,2015,X,United Kingdom,Ethiopia,2709,"$90,714","6,590","6,590"
88,2015,X,United Kingdom,Finland,2709,"$29,880,945","53,408,506","53,408,506"
89,2015,X,United Kingdom,France,2709,"$1,621,349,254","3,906,870,153","3,906,870,153"
90,2015,X,United Kingdom,Germany,2709,"$4,021,560,175","9,159,969,274","9,159,969,274"
91,2015,X,United Kingdom,Ireland,2709,"$206,571,534","429,931,959","429,931,959"
92,2015,X,United Kingdom,Italy,2709,"$258,383,507","580,655,822","580,655,822"
93,2015,X,United Kingdom,Rep. of Korea,2709,"$2,091,408,651","5,142,429,489","5,142,429,489"
94,2015,X,United Kingdom,Malaysia,2709,"$8,562",7,7
95,2015,X,United Kingdom,"Other Asia, nes",2709,"$133,967,361","268,000,966","268,000,966"
96,2015,X,United Kingdom,Netherlands,2709,"$4,950,141,745","11,127,603,174","11,127,603,174"
97,2015,X,United Kingdom,Nigeria,2709,"$89,043","26,265","26,265"
