,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,United Kingdom,World,2709,"$47,915,388,801","56,315,472,375","56,315,472,375"
1,2012,M,United Kingdom,Algeria,2709,"$3,129,587,811","3,461,864,000","3,461,864,000"
2,2012,M,United Kingdom,Angola,2709,"$1,236,951,175","1,522,159,843","1,522,159,843"
3,2012,M,United Kingdom,Azerbaijan,2709,"$880,630,138","1,029,432,856","1,029,432,856"
4,2012,M,United Kingdom,Cameroon,2709,"$122,520,574","182,531,000","182,531,000"
5,2012,M,United Kingdom,Canada,2709,"$284,558,700","360,746,079","360,746,079"
6,2012,M,United Kingdom,Congo,2709,"$102,471,968","124,540,424","124,540,424"
7,2012,M,United Kingdom,Denmark,2709,"$1,998,535,915","2,295,611,076","2,295,611,076"
8,2012,M,United Kingdom,Equatorial Guinea,2709,"$461,834,353","561,062,704","561,062,704"
9,2012,M,United Kingdom,Gabon,2709,"$2,652",140,140
10,2012,M,United Kingdom,Iran,2709,"$131,851,306","164,567,492","164,567,492"
11,2012,M,United Kingdom,Côte d'Ivoire,2709,"$102,909,781","134,900,246","134,900,246"
12,2012,M,United Kingdom,Kazakhstan,2709,"$408,956,064","452,418,649","452,418,649"
13,2012,M,United Kingdom,Libya,2709,"$2,645,888,213","3,051,636,696","3,051,636,696"
14,2012,M,United Kingdom,Netherlands,2709,"$36,173,954","44,093,942","44,093,942"
15,2012,M,United Kingdom,Nigeria,2709,"$5,815,245,822","6,807,632,757","6,807,632,757"
16,2012,M,United Kingdom,Norway,2709,"$24,348,739,934","28,450,120,549","28,450,120,549"
17,2012,M,United Kingdom,Russian Federation,2709,"$4,973,509,162","6,011,687,707","6,011,687,707"
18,2012,M,United Kingdom,Saudi Arabia,2709,"$438,080,461","538,697,211","538,697,211"
19,2012,M,United Kingdom,India,2709,"$21,835,938","20,804,689","20,804,689"
20,2012,M,United Kingdom,Tunisia,2709,"$297,091,948","345,320,190","345,320,190"
21,2012,M,United Kingdom,Türkiye,2709,"$15,178,374","15,000,000","15,000,000"
22,2012,M,United Kingdom,USA,2709,"$34,243,876","33,758,269","33,758,269"
23,2012,M,United Kingdom,Venezuela,2709,"$428,590,681","706,885,856","706,885,856"
24,2013,M,United Kingdom,World,2709,"$40,091,969,543","49,032,429,925","49,032,429,925"
25,2013,M,United Kingdom,Albania,2709,"$12,165,051","20,564,029","20,564,029"
26,2013,M,United Kingdom,Algeria,2709,"$5,151,845,275","6,101,277,659","6,101,277,659"
27,2013,M,United Kingdom,Angola,2709,"$972,547,491","1,236,212,151","1,236,212,151"
28,2013,M,United Kingdom,Azerbaijan,2709,"$248,898,472","310,691,075","310,691,075"
29,2013,M,United Kingdom,Belgium,2709,"$4,562,944","5,522,947","5,522,947"
30,2013,M,United Kingdom,Cameroon,2709,"$69,594,592","100,279,415","100,279,415"
31,2013,M,United Kingdom,Canada,2709,"$1,167,136,366","1,452,132,382","1,452,132,382"
32,2013,M,United Kingdom,Congo,2709,"$330,685,030","430,291,913","430,291,913"
33,2013,M,United Kingdom,Denmark,2709,"$1,117,841,036","1,334,657,928","1,334,657,928"
34,2013,M,United Kingdom,Equatorial Guinea,2709,"$1,830,193,048","2,264,906,108","2,264,906,108"
35,2013,M,United Kingdom,Gabon,2709,"$122,988,661","171,094,115","171,094,115"
36,2013,M,United Kingdom,Ghana,2709,"$151,580,583","186,037,838","186,037,838"
37,2013,M,United Kingdom,Kazakhstan,2709,"$196,246,960","228,590,272","228,590,272"
38,2013,M,United Kingdom,Libya,2709,"$1,871,317,298","2,219,608,731","2,219,608,731"
39,2013,M,United Kingdom,Netherlands,2709,"$64,233,707","77,688,888","77,688,888"
40,2013,M,United Kingdom,Nigeria,2709,"$4,853,442,392","5,815,447,333","5,815,447,333"
41,2013,M,United Kingdom,Norway,2709,"$16,641,196,270","20,420,368,394","20,420,368,394"
42,2013,M,United Kingdom,Russian Federation,2709,"$2,829,085,281","3,504,844,456","3,504,844,456"
43,2013,M,United Kingdom,Saudi Arabia,2709,"$1,516,245,327","1,882,475,000","1,882,475,000"
44,2013,M,United Kingdom,Tunisia,2709,"$375,376,487","446,352,436","446,352,436"
45,2013,M,United Kingdom,Egypt,2709,"$234,452,883","279,132,208","279,132,208"
46,2013,M,United Kingdom,Venezuela,2709,"$330,334,389","544,254,647","544,254,647"
47,2014,M,United Kingdom,World,2709,"$36,064,563,256","47,419,536,035","47,419,536,035"
48,2014,M,United Kingdom,Albania,2709,"$9,669,482","17,671,787","17,671,787"
49,2014,M,United Kingdom,Algeria,2709,"$5,208,433,632","6,735,065,630","6,735,065,630"
50,2014,M,United Kingdom,Angola,2709,"$636,277,740","880,927,710","880,927,710"
51,2014,M,United Kingdom,Azerbaijan,2709,"$114,779,791","138,999,153","138,999,153"
52,2014,M,United Kingdom,Belgium,2709,"$15,835,742","34,721,908","34,721,908"
53,2014,M,United Kingdom,Bolivia (Plurinational State of),2709,"$33,371,275","39,349,000","39,349,000"
54,2014,M,United Kingdom,Brazil,2709,"$70,806,586","97,223,581","97,223,581"
55,2014,M,United Kingdom,Cameroon,2709,"$171,855,458","227,552,818","227,552,818"
