,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,Ukraine,World,2709,"$1,235,941,460","1,547,412,865","1,547,412,865"
1,2012,M,Ukraine,Kazakhstan,2709,"$688,967,040","822,558,865","822,558,865"
2,2012,M,Ukraine,Russian Federation,2709,"$546,974,420","724,854,000","724,854,000"
3,2013,M,Ukraine,World,2709,"$630,280,220","761,058,236","761,058,236"
4,2013,M,Ukraine,Azerbaijan,2709,"$81,280","95,000","95,000"
5,2013,M,Ukraine,Kazakhstan,2709,"$232,233,840","277,587,136","277,587,136"
6,2013,M,Ukraine,Russian Federation,2709,"$397,965,100","483,376,100","483,376,100"
7,2014,M,Ukraine,World,2709,"$146,532,800","178,613,152","178,613,152"
8,2014,M,Ukraine,Kazakhstan,2709,"$15,531,600","18,859,280","18,859,280"
9,2014,M,Ukraine,Nigeria,2709,"$3,000",22,22
10,2014,M,Ukraine,Russian Federation,2709,"$130,998,200","159,753,850","159,753,850"
11,2015,M,Ukraine,World,2709,"$82,119,900","227,678,550","227,678,550"
12,2015,M,Ukraine,Kazakhstan,2709,"$82,024,600","227,414,979","227,414,979"
13,2015,M,Ukraine,Netherlands,2709,$600,2,2
14,2015,M,Ukraine,Nigeria,2709,$300,4,4
15,2015,M,Ukraine,Romania,2709,"$91,700","263,425","263,425"
16,2015,M,Ukraine,South Sudan,2709,"$1,600",60,60
17,2015,M,Ukraine,Egypt,2709,"$1,100",80,80
18,2016,M,Ukraine,World,2709,"$173,705,369","515,954,252","515,954,252"
19,2016,M,Ukraine,Kazakhstan,2709,"$168,118,182","502,384,200","502,384,200"
20,2016,M,Ukraine,Nigeria,2709,$45,3,3
21,2016,M,Ukraine,Romania,2709,"$5,414,103","13,210,161","13,210,161"
22,2016,M,Ukraine,Russian Federation,2709,"$173,037","359,887","359,887"
23,2017,M,Ukraine,World,2709,"$441,057,047","1,013,358,392","1,013,358,392"
24,2017,M,Ukraine,Azerbaijan,2709,"$376,071,997","863,601,760","863,601,760"
25,2017,M,Ukraine,Hungary,2709,"$48,797","88,784","88,784"
26,2017,M,Ukraine,Iran,2709,"$37,585,863","87,925,370","87,925,370"
27,2017,M,Ukraine,Kazakhstan,2709,"$17,358,013","40,922,750","40,922,750"
28,2017,M,Ukraine,Romania,2709,"$3,595,077","7,284,442","7,284,442"
29,2017,M,Ukraine,Russian Federation,2709,"$6,397,298","13,535,286","13,535,286"
30,2018,M,Ukraine,World,2709,"$433,373,679","766,831,827","766,831,827"
31,2018,M,Ukraine,Algeria,2709,"$7,317,782","16,943,800","16,943,800"
32,2018,M,Ukraine,Azerbaijan,2709,"$408,644,154","722,655,703","722,655,703"
33,2018,M,Ukraine,Hungary,2709,"$1,853,944","2,677,055","2,677,055"
34,2018,M,Ukraine,Iran,2709,"$14,520,678","22,749,760","22,749,760"
35,2018,M,Ukraine,Latvia,2709,"$101,288","161,662","161,662"
36,2018,M,Ukraine,Lithuania,2709,"$72,579","118,000","118,000"
37,2018,M,Ukraine,Romania,2709,"$260,032","425,002","425,002"
38,2018,M,Ukraine,Russian Federation,2709,"$602,958","1,100,810","1,100,810"
39,2018,M,Ukraine,United Kingdom,2709,$260,35,35
40,2019,M,Ukraine,World,2709,"$412,400,721","790,627,611","790,627,611"
41,2019,M,Ukraine,Azerbaijan,2709,"$313,183,689","606,175,330","606,175,330"
42,2019,M,Ukraine,Hungary,2709,"$399,557","528,105","528,105"
43,2019,M,Ukraine,Kazakhstan,2709,"$2,596,521","5,433,796","5,433,796"
44,2019,M,Ukraine,Latvia,2709,"$2,387,578","4,633,595","4,633,595"
45,2019,M,Ukraine,Rep. of Moldova,2709,"$10,615","22,150","22,150"
46,2019,M,Ukraine,Spain,2709,$524,19,19
47,2019,M,Ukraine,United Arab Emirates,2709,$236,6,6
48,2019,M,Ukraine,Egypt,2709,$264,10,10
49,2019,M,Ukraine,USA,2709,"$93,821,733","173,834,600","173,834,600"
50,2020,M,Ukraine,World,2709,"$394,919,506","1,245,587,099","1,245,587,099"
51,2020,M,Ukraine,Azerbaijan,2709,"$254,241,216","873,825,680","873,825,680"
52,2020,M,Ukraine,Latvia,2709,"$91,338","361,259","361,259"
53,2020,M,Ukraine,Libya,2709,"$41,972,941","81,282,300","81,282,300"
54,2020,M,Ukraine,USA,2709,"$98,614,010","290,117,860","290,117,860"
55,2021,M,Ukraine,World,2709,"$749,549,040","1,452,243,708","1,452,243,708"
56,2021,M,Ukraine,Algeria,2709,"$37,958,321","60,083,400","60,083,400"
57,2021,M,Ukraine,Azerbaijan,2709,"$558,641,054","1,106,639,850","1,106,639,850"
58,2021,M,Ukraine,Latvia,2709,"$888,311","1,952,228","1,952,228"
59,2021,M,Ukraine,Libya,2709,"$85,850,555","143,858,830","143,858,830"
60,2021,M,Ukraine,United Kingdom,2709,"$47,425,610","78,669,700","78,669,700"
61,2021,M,Ukraine,USA,2709,"$18,785,188","61,039,700","61,039,700"
62,2022,M,Ukraine,World,2709,"$329,743,554","516,806,849","516,806,849"
63,2022,M,Ukraine,Azerbaijan,2709,"$329,561,787","516,495,000","516,495,000"
64,2022,M,Ukraine,Latvia,2709,"$181,767","311,849","311,849"
65,2023,M,Ukraine,World,2709,"$22,425","25,816","25,816"
66,2023,M,Ukraine,Romania,2709,"$22,425","25,816","25,816"
