,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,China,World,1001,$10,100,100
1,2012,X,China,Thailand,1001,$10,100,100
2,2013,X,China,World,1001,"$1,008,000","2,520,000","2,520,000"
3,2013,X,China,USA,1001,"$1,008,000","2,520,000","2,520,000"
4,2014,X,China,World,1001,"$311,225","957,468","957,468"
5,2014,X,China,Bangladesh,1001,$56,28,28
6,2014,X,China,USA,1001,"$311,169","957,440","957,440"
7,2015,X,China,World,1001,"$1,209,050","5,296,310","5,296,310"
8,2015,X,China,Bangladesh,1001,$60,60,60
9,2015,X,China,Malaysia,1001,"$417,941","2,319,490","2,319,490"
10,2015,X,China,USA,1001,"$791,049","2,976,760","2,976,760"
11,2016,X,China,World,1001,"$3,355,628","18,576,868","18,576,868"
12,2016,X,China,Bangladesh,1001,$1,3,3
13,2016,X,China,Ethiopia,1001,"$3,354,904","18,574,573","18,574,573"
14,2016,X,China,Kazakhstan,1001,$683,"2,165","2,165"
15,2016,X,China,Uzbekistan,1001,$40,126,126
16,2017,X,China,World,1001,"$4,115,250","9,968,995","9,968,995"
17,2017,X,China,Ethiopia,1001,"$4,114,187","9,968,480","9,968,480"
18,2017,X,China,Hungary,1001,$188,125,125
19,2017,X,China,Kazakhstan,1001,$775,290,290
20,2017,X,China,Uzbekistan,1001,$100,100,100
21,2018,X,China,World,1001,"$3,145,614","7,341,497","7,341,497"
22,2018,X,China,Ethiopia,1001,"$3,145,508","7,341,400","7,341,400"
23,2018,X,China,Mexico,1001,$10,1,1
24,2018,X,China,Uzbekistan,1001,$96,96,96
25,2019,X,China,World,1001,"$3,640,513","8,520,026","8,520,026"
26,2019,X,China,Belarus,1001,$20,25,25
27,2019,X,China,Ethiopia,1001,"$3,162,216","7,408,000","7,408,000"
28,2019,X,China,Iran,1001,$7,1,1
29,2019,X,China,Kazakhstan,1001,"$15,750","45,000","45,000"
30,2019,X,China,Lebanon,1001,"$462,520","1,067,000","1,067,000"
31,2021,X,China,World,1001,"$1,982,768","4,324,000","4,324,000"
32,2021,X,China,Afghanistan,1001,"$1,168,559","2,564,000","2,564,000"
33,2021,X,China,Ethiopia,1001,"$814,209","1,760,000","1,760,000"
34,2022,X,China,World,1001,"$2,960,189","5,815,580","5,815,580"
35,2022,X,China,Afghanistan,1001,"$379,995","780,000","780,000"
36,2022,X,China,Ethiopia,1001,"$868,618","1,540,000","1,540,000"
37,2022,X,China,Eritrea,1001,"$682,427","1,204,000","1,204,000"
38,2022,X,China,Kyrgyzstan,1001,"$589,760","1,500,000","1,500,000"
39,2022,X,China,Somalia,1001,"$438,809","791,000","791,000"
40,2022,X,China,Uzbekistan,1001,$580,580,580
41,2023,X,China,World,1001,"$8,910,754","16,508,682","16,508,682"
42,2023,X,China,Chad,1001,"$502,963","901,000","901,000"
43,2023,X,China,El Salvador,1001,"$2,041,774","3,780,000","3,780,000"
44,2023,X,China,Ethiopia,1001,"$249,731","461,000","461,000"
45,2023,X,China,Eritrea,1001,"$636,938","1,141,000","1,141,000"
46,2023,X,China,Dem. People's Rep. of Korea,1001,"$1,222,711","2,669,680","2,669,680"
47,2023,X,China,Lesotho,1001,"$206,529","351,000","351,000"
48,2023,X,China,Mauritania,1001,"$558,800","1,000,000","1,000,000"
49,2023,X,China,Nicaragua,1001,"$1,558,077","2,813,000","2,813,000"
50,2023,X,China,Zimbabwe,1001,"$604,239","1,056,000","1,056,000"
51,2023,X,China,Syria,1001,"$1,328,991","2,336,000","2,336,000"
52,2023,X,China,USA,1001,$1,2,2
