,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,China,World,1001,"$1,101,458,559","3,688,616,291","3,688,616,291"
1,2012,M,China,Australia,1001,"$664,860,093","2,425,213,736","2,425,213,736"
2,2012,M,China,Canada,1001,"$154,340,636","401,500,002","401,500,002"
3,2012,M,China,France,1001,"$4,670,500","11,949,980","11,949,980"
4,2012,M,China,Germany,1001,$416,40,40
5,2012,M,China,Kazakhstan,1001,"$44,091,710","204,845,012","204,845,012"
6,2012,M,China,Mexico,1001,"$2,500",64,64
7,2012,M,China,USA,1001,"$233,492,704","645,107,457","645,107,457"
8,2012,X,China,World,1001,$10,100,100
9,2012,X,China,Thailand,1001,$10,100,100
10,2013,M,China,World,1001,"$1,865,854,365","5,506,711,326","5,506,711,326"
11,2013,M,China,Australia,1001,"$210,372,294","611,418,235","611,418,235"
12,2013,M,China,Canada,1001,"$330,057,781","866,794,789","866,794,789"
13,2013,M,China,France,1001,"$34,910,895","114,999,300","114,999,300"
14,2013,M,China,Kazakhstan,1001,"$25,867,008","90,913,024","90,913,024"
15,2013,M,China,Mexico,1001,$854,30,30
16,2013,M,China,Mongolia,1001,"$1,008,000","2,520,000","2,520,000"
17,2013,M,China,Türkiye,1001,"$11,845","9,004","9,004"
18,2013,M,China,USA,1001,"$1,263,625,688","3,820,056,944","3,820,056,944"
19,2013,X,China,World,1001,"$1,008,000","2,520,000","2,520,000"
20,2013,X,China,USA,1001,"$1,008,000","2,520,000","2,520,000"
21,2014,M,China,World,1001,"$962,471,646","2,971,248,995","2,971,248,995"
22,2014,M,China,Australia,1001,"$448,819,579","1,390,553,982","1,390,553,982"
23,2014,M,China,Canada,1001,"$142,308,093","410,854,908","410,854,908"
24,2014,M,China,Denmark,1001,"$7,500",195,195
25,2014,M,China,France,1001,"$16,679,498","54,700,000","54,700,000"
26,2014,M,China,Israel,1001,$557,31,31
27,2014,M,China,Kazakhstan,1001,"$70,393,044","251,161,308","251,161,308"
28,2014,M,China,Mexico,1001,"$2,680",85,85
29,2014,M,China,Russian Federation,1001,"$389,469","1,275,990","1,275,990"
30,2014,M,China,USA,1001,"$283,870,986","862,702,491","862,702,491"
31,2014,M,China,Uruguay,1001,$240,5,5
32,2014,X,China,World,1001,"$311,225","957,468","957,468"
33,2014,X,China,Bangladesh,1001,$56,28,28
34,2014,X,China,USA,1001,"$311,169","957,440","957,440"
35,2015,M,China,World,1001,"$886,306,728","2,971,794,672","2,971,794,672"
36,2015,M,China,Australia,1001,"$360,628,305","1,255,078,360","1,255,078,360"
37,2015,M,China,Canada,1001,"$311,758,476","991,922,510","991,922,510"
38,2015,M,China,Denmark,1001,"$5,700",150,150
39,2015,M,China,France,1001,"$1,217,819","4,996,620","4,996,620"
40,2015,M,China,Israel,1001,$369,80,80
41,2015,M,China,Kazakhstan,1001,"$27,647,255","116,948,700","116,948,700"
42,2015,M,China,Mexico,1001,"$4,123",140,140
43,2015,M,China,Netherlands,1001,$123,2,2
44,2015,M,China,USA,1001,"$185,044,558","602,848,110","602,848,110"
45,2015,X,China,World,1001,"$1,209,050","5,296,310","5,296,310"
46,2015,X,China,Bangladesh,1001,$60,60,60
47,2015,X,China,Malaysia,1001,"$417,941","2,319,490","2,319,490"
48,2015,X,China,USA,1001,"$791,049","2,976,760","2,976,760"
49,2016,M,China,World,1001,"$801,026,485","3,442,155,448","3,442,155,448"
50,2016,M,China,Australia,1001,"$323,890,697","1,502,333,789","1,502,333,789"
51,2016,M,China,Canada,1001,"$215,349,915","842,535,655","842,535,655"
52,2016,M,China,Hungary,1001,"$4,509","17,599","17,599"
53,2016,M,China,Israel,1001,"$1,151","4,103","4,103"
54,2016,M,China,Kazakhstan,1001,"$53,755,066","259,309,851","259,309,851"
55,2016,M,China,Mexico,1001,"$4,268","14,503","14,503"
56,2016,M,China,Pakistan,1001,$60,203,203
57,2016,M,China,Slovenia,1001,$63,245,245
