,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,France,World,1001,"$98,559,497","284,904,735","284,904,735"
1,2012,M,France,Argentina,1001,"$216,311","400,283","400,283"
2,2012,M,France,Australia,1001,$302,400,400
3,2012,M,France,Austria,1001,"$201,680","245,270","245,270"
4,2012,M,France,Armenia,1001,"$7,432","6,001","6,001"
5,2012,M,France,Belgium,1001,"$3,241,073","8,497,721","8,497,721"
6,2012,M,France,Brazil,1001,"$1,751",260,260
7,2012,M,France,Canada,1001,"$11,535,028","27,694,389","27,694,389"
8,2012,M,France,Chile,1001,"$1,609",255,255
9,2012,M,France,China,1001,"$137,663","40,087","40,087"
10,2012,M,France,Czechia,1001,"$134,411","244,117","244,117"
11,2012,M,France,Finland,1001,"$10,080","24,420","24,420"
12,2012,M,France,France,1001,"$1,846,073","4,730,857","4,730,857"
13,2012,M,France,Germany,1001,"$52,559,273","171,172,112","171,172,112"
14,2012,M,France,Hungary,1001,"$1,561,667","2,678,910","2,678,910"
15,2012,M,France,Israel,1001,$95,18,18
16,2012,M,France,Italy,1001,"$7,859,722","14,096,879","14,096,879"
17,2012,M,France,Lebanon,1001,"$8,956","12,094","12,094"
18,2012,M,France,Lithuania,1001,"$364,050","847,396","847,396"
19,2012,M,France,Luxembourg,1001,"$3,169,331","11,171,056","11,171,056"
20,2012,M,France,Mexico,1001,"$1,168",15,15
21,2012,M,France,"Other Asia, nes",1001,"$13,961","4,266","4,266"
22,2012,M,France,Netherlands,1001,"$5,008,317","18,818,635","18,818,635"
23,2012,M,France,Paraguay,1001,$112,5,5
24,2012,M,France,Peru,1001,$28,12,12
25,2012,M,France,Romania,1001,"$5,851,251","12,098,442","12,098,442"
26,2012,M,France,Russian Federation,1001,"$1,613",960,960
27,2012,M,France,Serbia,1001,$651,30,30
28,2012,M,France,India,1001,"$3,260","2,541","2,541"
29,2012,M,France,Slovakia,1001,"$12,705","26,000","26,000"
30,2012,M,France,Spain,1001,"$1,907,446","3,697,736","3,697,736"
31,2012,M,France,Switzerland,1001,"$23,860","11,561","11,561"
32,2012,M,France,Türkiye,1001,"$150,384","137,606","137,606"
33,2012,M,France,United Kingdom,1001,"$2,613,113","8,180,177","8,180,177"
