,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,Russian Federation,World,1001,"$4,523,963,610","16,088,831,698","16,088,831,698"
1,2012,X,Russian Federation,Albania,1001,"$53,252,007","200,294,451","200,294,451"
2,2012,X,Russian Federation,Azerbaijan,1001,"$87,891,355","278,513,047","278,513,047"
3,2012,X,Russian Federation,Armenia,1001,"$59,847,593","224,078,088","224,078,088"
4,2012,X,Russian Federation,Belgium,1001,"$3,295,184","15,141,400","15,141,400"
5,2012,X,Russian Federation,Belarus,1001,"$11,710,326","82,522,066","82,522,066"
6,2012,X,Russian Federation,Cyprus,1001,"$6,967,633","23,997,638","23,997,638"
7,2012,X,Russian Federation,Denmark,1001,"$943,521","2,997,900","2,997,900"
8,2012,X,Russian Federation,Ecuador,1001,"$7,385,000","24,800,000","24,800,000"
9,2012,X,Russian Federation,Djibouti,1001,"$19,572,321","74,699,985","74,699,985"
10,2012,X,Russian Federation,Georgia,1001,"$121,336,235","432,307,277","432,307,277"
11,2012,X,Russian Federation,Germany,1001,"$1,061,809","4,202,172","4,202,172"
12,2012,X,Russian Federation,Greece,1001,"$62,347,259","238,724,549","238,724,549"
13,2012,X,Russian Federation,Indonesia,1001,"$784,320","3,040,000","3,040,000"
14,2012,X,Russian Federation,Iran,1001,"$313,238,710","1,028,045,923","1,028,045,923"
15,2012,X,Russian Federation,Iraq,1001,"$199,907,711","665,224,465","665,224,465"
16,2012,X,Russian Federation,Israel,1001,"$142,733,450","553,148,958","553,148,958"
17,2012,X,Russian Federation,Italy,1001,"$61,196,291","202,387,749","202,387,749"
18,2012,X,Russian Federation,Japan,1001,"$741,280","2,676,102","2,676,102"
19,2012,X,Russian Federation,Kazakhstan,1001,"$3,306,772","13,214,881","13,214,881"
20,2012,X,Russian Federation,Jordan,1001,"$82,763,167","291,217,813","291,217,813"
21,2012,X,Russian Federation,Kenya,1001,"$57,926,626","219,207,734","219,207,734"
22,2012,X,Russian Federation,Rep. of Korea,1001,"$3,134,687","11,961,735","11,961,735"
23,2012,X,Russian Federation,Kyrgyzstan,1001,"$6,560","10,000","10,000"
24,2012,X,Russian Federation,Lebanon,1001,"$47,737,197","180,899,920","180,899,920"
25,2012,X,Russian Federation,Latvia,1001,"$34,586,020","139,108,950","139,108,950"
26,2012,X,Russian Federation,Libya,1001,"$158,074,125","575,116,248","575,116,248"
27,2012,X,Russian Federation,Lithuania,1001,"$19,641,061","72,954,660","72,954,660"
28,2012,X,Russian Federation,Mauritania,1001,"$13,434,688","47,859,973","47,859,973"
29,2012,X,Russian Federation,Mexico,1001,"$27,907,000","88,000,000","88,000,000"
30,2012,X,Russian Federation,Mongolia,1001,"$1,023,246","4,068,200","4,068,200"
31,2012,X,Russian Federation,Rep. of Moldova,1001,"$52,080","84,000","84,000"
32,2012,X,Russian Federation,Morocco,1001,"$52,502,722","168,570,658","168,570,658"
33,2012,X,Russian Federation,Mozambique,1001,"$16,408,047","59,793,897","59,793,897"
34,2012,X,Russian Federation,Oman,1001,"$9,758,400","32,100,000","32,100,000"
35,2012,X,Russian Federation,Netherlands,1001,"$302,871","1,350,000","1,350,000"
36,2012,X,Russian Federation,Nicaragua,1001,"$23,766,151","73,818,670","73,818,670"
37,2012,X,Russian Federation,Nigeria,1001,"$17,030,552","59,739,118","59,739,118"
38,2012,X,Russian Federation,"Other Europe, nes",1001,"$1,421,521","7,140,000","7,140,000"
39,2012,X,Russian Federation,Norway,1001,"$7,838,002","31,403,570","31,403,570"
40,2012,X,Russian Federation,Peru,1001,"$29,890,950","98,859,880","98,859,880"
41,2012,X,Russian Federation,Rwanda,1001,"$3,306,966","12,907,964","12,907,964"
42,2012,X,Russian Federation,Saudi Arabia,1001,"$11,350,157","51,861,500","51,861,500"
43,2012,X,Russian Federation,Senegal,1001,"$10,804,453","42,077,500","42,077,500"
44,2012,X,Russian Federation,India,1001,"$6,857","24,240","24,240"
45,2012,X,Russian Federation,South Africa,1001,"$30,663,835","104,858,020","104,858,020"
46,2012,X,Russian Federation,Zimbabwe,1001,"$2,312,567","8,449,972","8,449,972"
47,2012,X,Russian Federation,Spain,1001,"$58,549,140","210,534,064","210,534,064"
48,2012,X,Russian Federation,Sudan,1001,"$62,485,824","209,080,931","209,080,931"
49,2012,X,Russian Federation,Switzerland,1001,"$9,333,653","30,042,170","30,042,170"
50,2012,X,Russian Federation,Syria,1001,"$3,099,433","11,122,111","11,122,111"
51,2012,X,Russian Federation,Tajikistan,1001,"$431,460","612,000","612,000"
52,2012,X,Russian Federation,Thailand,1001,"$257,810","1,031,240","1,031,240"
53,2012,X,Russian Federation,United Arab Emirates,1001,"$18,420,167","63,516,092","63,516,092"
54,2012,X,Russian Federation,Tunisia,1001,"$43,207,581","151,649,749","151,649,749"
55,2012,X,Russian Federation,Türkiye,1001,"$722,909,393","2,704,456,620","2,704,456,620"
56,2012,X,Russian Federation,Turkmenistan,1001,"$1,050,000","1,000,000","1,000,000"
57,2012,X,Russian Federation,Uganda,1001,"$30,003,932","113,514,335","113,514,335"
58,2012,X,Russian Federation,Ukraine,1001,"$227,148","256,000","256,000"
59,2012,X,Russian Federation,Egypt,1001,"$1,499,255,865","5,232,205,983","5,232,205,983"
60,2012,X,Russian Federation,United Rep. of Tanzania,1001,"$39,365,217","159,255,780","159,255,780"
61,2012,X,Russian Federation,Uzbekistan,1001,"$365,334","577,700","577,700"
62,2012,X,Russian Federation,Yemen,1001,"$213,832,368","746,516,050","746,516,050"
63,2013,X,Russian Federation,World,1001,"$3,482,680,160","13,796,346,038","13,796,346,038"
64,2013,X,Russian Federation,Albania,1001,"$41,409,559","162,418,288","162,418,288"
65,2013,X,Russian Federation,Azerbaijan,1001,"$148,207,529","580,644,583","580,644,583"
66,2013,X,Russian Federation,Austria,1001,"$1,747,918","7,645,190","7,645,190"
67,2013,X,Russian Federation,Bangladesh,1001,"$57,689,458","267,400,804","267,400,804"
68,2013,X,Russian Federation,Armenia,1001,"$45,472,719","182,285,827","182,285,827"
69,2013,X,Russian Federation,Belgium,1001,"$720,391","3,086,067","3,086,067"
70,2013,X,Russian Federation,Belize,1001,"$1,421,796","5,599,986","5,599,986"
71,2013,X,Russian Federation,Burundi,1001,"$4,113,060","18,142,074","18,142,074"
72,2013,X,Russian Federation,Belarus,1001,"$1,594,364","6,613,420","6,613,420"
73,2013,X,Russian Federation,Sri Lanka,1001,"$12,812,955","50,851,171","50,851,171"
74,2013,X,Russian Federation,Congo,1001,"$3,920,954","16,991,460","16,991,460"
75,2013,X,Russian Federation,Dem. Rep. of the Congo,1001,"$1,558,204","6,308,517","6,308,517"
76,2013,X,Russian Federation,Cyprus,1001,"$4,222,278","17,957,970","17,957,970"
77,2013,X,Russian Federation,Ecuador,1001,"$12,592,118","52,381,479","52,381,479"
78,2013,X,Russian Federation,Georgia,1001,"$126,363,807","497,781,116","497,781,116"
79,2013,X,Russian Federation,Germany,1001,$3,4,4
80,2013,X,Russian Federation,Ghana,1001,"$8,208,800","33,500,000","33,500,000"
81,2013,X,Russian Federation,Greece,1001,"$51,664,550","187,341,059","187,341,059"
82,2013,X,Russian Federation,Haiti,1001,"$6,517,706","26,410,000","26,410,000"
83,2013,X,Russian Federation,Indonesia,1001,"$65,015,708","273,441,605","273,441,605"
84,2013,X,Russian Federation,Iran,1001,"$176,424,517","685,413,782","685,413,782"
85,2013,X,Russian Federation,Iraq,1001,"$25,831,690","103,382,610","103,382,610"
86,2013,X,Russian Federation,Israel,1001,"$101,278,624","414,560,894","414,560,894"
87,2013,X,Russian Federation,Italy,1001,"$12,529,323","45,777,975","45,777,975"
88,2013,X,Russian Federation,Kazakhstan,1001,"$312,971","599,204","599,204"
89,2013,X,Russian Federation,Jordan,1001,"$37,345,658","142,625,825","142,625,825"
90,2013,X,Russian Federation,Kenya,1001,"$119,791,430","424,608,054","424,608,054"
91,2013,X,Russian Federation,Rep. of Korea,1001,"$18,886,331","85,373,252","85,373,252"
92,2013,X,Russian Federation,Kyrgyzstan,1001,"$6,541,122","20,000,000","20,000,000"
93,2013,X,Russian Federation,Lebanon,1001,"$43,869,273","182,456,464","182,456,464"
94,2013,X,Russian Federation,Latvia,1001,"$17,395,313","69,997,473","69,997,473"
95,2013,X,Russian Federation,Libya,1001,"$101,527,047","376,335,083","376,335,083"
96,2013,X,Russian Federation,Lithuania,1001,"$479,834","1,880,000","1,880,000"
97,2013,X,Russian Federation,Madagascar,1001,"$4,585,862","18,772,840","18,772,840"
98,2013,X,Russian Federation,Malawi,1001,"$3,260,432","12,806,000","12,806,000"
99,2013,X,Russian Federation,Malaysia,1001,"$9,232,452","39,999,999","39,999,999"
100,2013,X,Russian Federation,Mauritania,1001,"$11,103,023","47,340,260","47,340,260"
101,2013,X,Russian Federation,Mexico,1001,"$44,243,701","177,604,720","177,604,720"
102,2013,X,Russian Federation,Mongolia,1001,"$60,233","120,000","120,000"
103,2013,X,Russian Federation,Rep. of Moldova,1001,"$56,000","88,000","88,000"
104,2013,X,Russian Federation,Mozambique,1001,"$69,234,630","287,176,010","287,176,010"
105,2013,X,Russian Federation,Oman,1001,"$26,093,231","103,985,116","103,985,116"
106,2013,X,Russian Federation,Nicaragua,1001,"$30,274,863","100,000,000","100,000,000"
107,2013,X,Russian Federation,Nigeria,1001,"$49,390,617","196,065,526","196,065,526"
108,2013,X,Russian Federation,Norway,1001,"$2,568,062","10,948,402","10,948,402"
109,2013,X,Russian Federation,Pakistan,1001,"$37,240,990","161,578,694","161,578,694"
110,2013,X,Russian Federation,Peru,1001,"$84,879,739","325,227,298","325,227,298"
111,2013,X,Russian Federation,Philippines,1001,"$28,763,531","127,007,496","127,007,496"
112,2013,X,Russian Federation,Qatar,1001,"$4,884,000","22,000,000","22,000,000"
113,2013,X,Russian Federation,Rwanda,1001,"$6,365,583","24,486,666","24,486,666"
114,2013,X,Russian Federation,Saudi Arabia,1001,"$781,587","3,398,242","3,398,242"
115,2013,X,Russian Federation,Senegal,1001,"$11,326,724","44,195,160","44,195,160"
116,2013,X,Russian Federation,Viet Nam,1001,"$9,756,908","38,475,524","38,475,524"
117,2013,X,Russian Federation,South Africa,1001,"$124,417,947","499,764,438","499,764,438"
118,2013,X,Russian Federation,Zimbabwe,1001,"$871,200","3,300,000","3,300,000"
119,2013,X,Russian Federation,Spain,1001,"$31,365,042","118,097,920","118,097,920"
120,2013,X,Russian Federation,Sudan,1001,"$90,538,025","344,672,892","344,672,892"
121,2013,X,Russian Federation,Syria,1001,"$943,598","2,995,550","2,995,550"
122,2013,X,Russian Federation,Tajikistan,1001,"$55,411","269,000","269,000"
123,2013,X,Russian Federation,Thailand,1001,"$5,631,441","27,500,292","27,500,292"
124,2013,X,Russian Federation,United Arab Emirates,1001,"$48,900,125","205,379,490","205,379,490"
125,2013,X,Russian Federation,Tunisia,1001,"$32,015,799","124,894,368","124,894,368"
126,2013,X,Russian Federation,Türkiye,1001,"$611,003,217","2,466,203,622","2,466,203,622"
127,2013,X,Russian Federation,Turkmenistan,1001,"$1,098,000","1,000,000","1,000,000"
128,2013,X,Russian Federation,Uganda,1001,"$17,045,742","60,277,104","60,277,104"
129,2013,X,Russian Federation,Ukraine,1001,"$4,441,337","18,932,347","18,932,347"
130,2013,X,Russian Federation,Egypt,1001,"$550,166,210","2,172,776,009","2,172,776,009"
131,2013,X,Russian Federation,United Rep. of Tanzania,1001,"$63,501,373","260,066,113","260,066,113"
132,2013,X,Russian Federation,Uzbekistan,1001,"$1,236,600","916,000","916,000"
133,2013,X,Russian Federation,Yemen,1001,"$207,879,913","798,213,704","798,213,704"
134,2014,X,Russian Federation,World,1001,"$5,423,130,599","22,139,263,100","22,139,263,100"
135,2014,X,Russian Federation,Albania,1001,"$45,626,725","200,511,616","200,511,616"
136,2014,X,Russian Federation,Azerbaijan,1001,"$216,535,833","936,570,572","936,570,572"
137,2014,X,Russian Federation,Bangladesh,1001,"$40,431,005","195,035,022","195,035,022"
138,2014,X,Russian Federation,Armenia,1001,"$42,422,853","185,539,444","185,539,444"
139,2014,X,Russian Federation,Burundi,1001,"$8,675,195","34,568,000","34,568,000"
140,2014,X,Russian Federation,Belarus,1001,"$1,093,887","4,200,469","4,200,469"
141,2014,X,Russian Federation,Cameroon,1001,"$742,169","3,500,796","3,500,796"
142,2014,X,Russian Federation,Sri Lanka,1001,"$18,727,116","79,199,188","79,199,188"
143,2014,X,Russian Federation,China,1001,"$20,129","62,649","62,649"
144,2014,X,Russian Federation,Congo,1001,"$4,658,618","21,432,167","21,432,167"
145,2014,X,Russian Federation,Dem. Rep. of the Congo,1001,"$20,694,860","93,908,505","93,908,505"
146,2014,X,Russian Federation,Cyprus,1001,"$7,619,760","31,383,759","31,383,759"
147,2014,X,Russian Federation,Ethiopia,1001,"$8,104,811","34,540,000","34,540,000"
148,2014,X,Russian Federation,Georgia,1001,"$146,957,165","619,862,991","619,862,991"
149,2014,X,Russian Federation,Gambia,1001,"$1,605,607","7,904,180","7,904,180"
150,2014,X,Russian Federation,Germany,1001,"$11,258","21,000","21,000"
151,2014,X,Russian Federation,Ghana,1001,"$14,401,426","62,085,121","62,085,121"
152,2014,X,Russian Federation,Greece,1001,"$39,674,828","159,051,749","159,051,749"
153,2014,X,Russian Federation,Haiti,1001,"$6,560,820","27,451,128","27,451,128"
154,2014,X,Russian Federation,Indonesia,1001,"$53,294,510","228,127,300","228,127,300"
155,2014,X,Russian Federation,Iran,1001,"$328,580,621","1,371,876,499","1,371,876,499"
156,2014,X,Russian Federation,Iraq,1001,"$28,956,284","118,534,846","118,534,846"
157,2014,X,Russian Federation,Israel,1001,"$113,491,619","478,243,139","478,243,139"
158,2014,X,Russian Federation,Italy,1001,"$38,111,520","142,748,991","142,748,991"
159,2014,X,Russian Federation,Japan,1001,"$1,023,960","3,969,117","3,969,117"
160,2014,X,Russian Federation,Kazakhstan,1001,"$4,522,015","22,945,558","22,945,558"
161,2014,X,Russian Federation,Jordan,1001,"$98,940,297","390,390,675","390,390,675"
162,2014,X,Russian Federation,Kenya,1001,"$132,460,638","525,678,273","525,678,273"
163,2014,X,Russian Federation,Dem. People's Rep. of Korea,1001,"$12,953,788","46,164,490","46,164,490"
