,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,Russian Federation,World,1001,"$85,857,213","373,486,301","373,486,301"
1,2012,M,Russian Federation,Austria,1001,$344,170,170
2,2012,M,Russian Federation,Armenia,1001,$247,500,500
3,2012,M,Russian Federation,Belarus,1001,"$60,679","61,700","61,700"
4,2012,M,Russian Federation,Czechia,1001,"$135,798","137,830","137,830"
5,2012,M,Russian Federation,France,1001,"$105,038","74,500","74,500"
6,2012,M,Russian Federation,Germany,1001,"$310,830","269,410","269,410"
7,2012,M,Russian Federation,Italy,1001,"$12,142","20,190","20,190"
8,2012,M,Russian Federation,Kazakhstan,1001,"$84,919,296","371,938,208","371,938,208"
9,2012,M,Russian Federation,Lithuania,1001,"$14,665","20,300","20,300"
10,2012,M,Russian Federation,Mongolia,1001,"$181,451","714,600","714,600"
11,2012,M,Russian Federation,Ukraine,1001,"$116,723","248,894","248,894"
12,2013,M,Russian Federation,World,1001,"$234,509,718","913,325,630","913,325,630"
13,2013,M,Russian Federation,Austria,1001,"$15,448","10,727","10,727"
14,2013,M,Russian Federation,Belarus,1001,"$159,824","219,975","219,975"
15,2013,M,Russian Federation,China,1001,"$34,617","158,464","158,464"
16,2013,M,Russian Federation,Czechia,1001,"$51,605","36,814","36,814"
17,2013,M,Russian Federation,France,1001,"$59,161","36,000","36,000"
18,2013,M,Russian Federation,Germany,1001,"$144,475","106,628","106,628"
19,2013,M,Russian Federation,Italy,1001,"$44,739","43,650","43,650"
20,2013,M,Russian Federation,Kazakhstan,1001,"$231,612,674","901,117,231","901,117,231"
21,2013,M,Russian Federation,Lithuania,1001,"$333,470","746,475","746,475"
22,2013,M,Russian Federation,Mongolia,1001,"$1,685,440","10,076,660","10,076,660"
23,2013,M,Russian Federation,Poland,1001,$209,"1,577","1,577"
24,2013,M,Russian Federation,Serbia,1001,"$11,832","12,000","12,000"
25,2013,M,Russian Federation,Switzerland,1001,$863,679,679
26,2013,M,Russian Federation,Ukraine,1001,"$350,156","757,741","757,741"
27,2013,M,Russian Federation,USA,1001,"$5,204","1,009","1,009"
28,2014,M,Russian Federation,World,1001,"$97,020,260","396,905,235","396,905,235"
29,2014,M,Russian Federation,Austria,1001,$606,810,810
30,2014,M,Russian Federation,Belarus,1001,"$180,740","348,935","348,935"
31,2014,M,Russian Federation,Canada,1001,"$16,967","15,000","15,000"
32,2014,M,Russian Federation,China,1001,"$2,254","10,000","10,000"
33,2014,M,Russian Federation,Czechia,1001,"$38,335","30,280","30,280"
34,2014,M,Russian Federation,Finland,1001,$107,0,0
35,2014,M,Russian Federation,France,1001,"$75,197","41,019","41,019"
36,2014,M,Russian Federation,Germany,1001,"$272,842","276,308","276,308"
37,2014,M,Russian Federation,Hungary,1001,"$17,770","20,003","20,003"
38,2014,M,Russian Federation,Italy,1001,"$5,048","20,060","20,060"
39,2014,M,Russian Federation,Kazakhstan,1001,"$96,070,923","395,397,171","395,397,171"
40,2014,M,Russian Federation,Lithuania,1001,"$144,677","337,000","337,000"
41,2014,M,Russian Federation,Poland,1001,"$31,387","41,011","41,011"
42,2014,M,Russian Federation,Slovenia,1001,"$5,923","2,406","2,406"
43,2014,M,Russian Federation,Sweden,1001,"$32,600","16,000","16,000"
44,2014,M,Russian Federation,Türkiye,1001,$5,1,1
45,2014,M,Russian Federation,Ukraine,1001,"$124,877","349,231","349,231"
46,2015,M,Russian Federation,World,1001,"$74,461,393","403,639,318","403,639,318"
47,2015,M,Russian Federation,Austria,1001,"$17,129","16,327","16,327"
48,2015,M,Russian Federation,Bulgaria,1001,$176,80,80
49,2015,M,Russian Federation,Belarus,1001,"$4,750,220","34,566,235","34,566,235"
50,2015,M,Russian Federation,Czechia,1001,"$151,824","305,425","305,425"
51,2015,M,Russian Federation,Finland,1001,$228,251,251
52,2015,M,Russian Federation,France,1001,"$17,862","12,558","12,558"
