,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,USA,World,1001,"$8,188,707,785","25,822,746,296","25,822,746,296"
1,2012,X,USA,Afghanistan,1001,"$3,600,570","14,010,000","14,010,000"
2,2012,X,USA,Algeria,1001,"$90,458,664","316,565,992","316,565,992"
3,2012,X,USA,Australia,1001,"$3,140","4,929","4,929"
4,2012,X,USA,Bahamas,1001,"$28,350","94,000","94,000"
5,2012,X,USA,Bangladesh,1001,"$29,319,451","111,290,000","111,290,000"
6,2012,X,USA,Barbados,1001,"$6,253,102","17,828,000","17,828,000"
7,2012,X,USA,Belgium,1001,"$18,073,623","51,544,000","51,544,000"
8,2012,X,USA,Brazil,1001,"$13,380,729","46,002,000","46,002,000"
9,2012,X,USA,Belize,1001,"$6,500,537","19,968,000","19,968,000"
10,2012,X,USA,Myanmar,1001,"$2,709,936","7,054,000","7,054,000"
11,2012,X,USA,Burundi,1001,"$1,174,937","3,780,000","3,780,000"
12,2012,X,USA,Cambodia,1001,"$391,453","972,000","972,000"
13,2012,X,USA,Cameroon,1001,"$5,151,999","16,099,000","16,099,000"
14,2012,X,USA,Canada,1001,"$35,582,566","97,443,750","97,443,750"
15,2012,X,USA,Chile,1001,"$82,061,674","275,535,000","275,535,000"
16,2012,X,USA,China,1001,"$213,540,727","594,482,008","594,482,008"
17,2012,X,USA,Colombia,1001,"$139,994,440","440,817,773","440,817,773"
18,2012,X,USA,Congo,1001,"$1,721,500","5,230,000","5,230,000"
19,2012,X,USA,Dem. Rep. of the Congo,1001,"$13,343,220","47,460,000","47,460,000"
20,2012,X,USA,Costa Rica,1001,"$42,336,520","129,982,000","129,982,000"
21,2012,X,USA,Dominica,1001,"$3,456,099","9,936,000","9,936,000"
22,2012,X,USA,Dominican Rep.,1001,"$174,198,975","521,964,016","521,964,016"
23,2012,X,USA,Ecuador,1001,"$60,557,002","187,326,261","187,326,261"
24,2012,X,USA,El Salvador,1001,"$85,821,142","274,780,000","274,780,000"
25,2012,X,USA,Ethiopia,1001,"$52,505,332","154,180,000","154,180,000"
26,2012,X,USA,Djibouti,1001,"$29,125,431","86,688,000","86,688,000"
27,2012,X,USA,Germany,1001,"$4,880,090","15,027,000","15,027,000"
28,2012,X,USA,Ghana,1001,"$33,375,683","95,277,000","95,277,000"
29,2012,X,USA,Grenada,1001,"$6,224,768","16,993,000","16,993,000"
30,2012,X,USA,Guatemala,1001,"$137,775,717","444,245,992","444,245,992"
31,2012,X,USA,Guyana,1001,"$3,118","17,322","17,322"
32,2012,X,USA,Haiti,1001,"$6,953,239","22,960,000","22,960,000"
33,2012,X,USA,Honduras,1001,"$63,789,072","185,615,000","185,615,000"
34,2012,X,USA,"China, Hong Kong SAR",1001,"$151,674","431,958","431,958"
35,2012,X,USA,Indonesia,1001,"$229,521,412","729,974,000","729,974,000"
36,2012,X,USA,Iran,1001,"$89,233,441","323,250,000","323,250,000"
37,2012,X,USA,Iraq,1001,"$56,782,628","208,899,008","208,899,008"
38,2012,X,USA,Israel,1001,"$73,304,002","236,505,000","236,505,000"
39,2012,X,USA,Italy,1001,"$129,960,127","358,902,008","358,902,008"
40,2012,X,USA,Jamaica,1001,"$57,951,542","178,614,000","178,614,000"
41,2012,X,USA,Japan,1001,"$1,078,803,020","3,391,233,462","3,391,233,462"
42,2012,X,USA,Jordan,1001,"$1,842,500","5,000,000","5,000,000"
43,2012,X,USA,Kenya,1001,"$6,678,870","22,000,000","22,000,000"
44,2012,X,USA,Rep. of Korea,1001,"$645,324,592","2,243,320,960","2,243,320,960"
45,2012,X,USA,Liberia,1001,"$4,894,349","14,830,000","14,830,000"
46,2012,X,USA,Madagascar,1001,"$2,926,600","10,000,000","10,000,000"
47,2012,X,USA,Malawi,1001,"$5,549,586","19,240,000","19,240,000"
48,2012,X,USA,Malaysia,1001,"$30,158,948","85,044,000","85,044,000"
49,2012,X,USA,Mexico,1001,"$1,129,569,202","3,652,390,961","3,652,390,961"
50,2012,X,USA,"Other Asia, nes",1001,"$356,960,435","996,663,775","996,663,775"
51,2012,X,USA,Morocco,1001,"$35,401","54,000","54,000"
52,2012,X,USA,Mozambique,1001,"$27,973,086","83,618,000","83,618,000"
53,2012,X,USA,Namibia,1001,"$7,045,198","18,678,000","18,678,000"
54,2012,X,USA,Netherlands,1001,"$9,446,209","34,352,000","34,352,000"
55,2012,X,USA,Sint Maarten,1001,"$5,330","2,000","2,000"
56,2012,X,USA,Nicaragua,1001,"$15,873,688","43,160,000","43,160,000"
57,2012,X,USA,Nigeria,1001,"$965,482,908","2,937,460,944","2,937,460,944"
58,2012,X,USA,Norway,1001,"$3,560","1,815","1,815"
59,2012,X,USA,Pakistan,1001,"$4,677,378","21,229,000","21,229,000"
60,2012,X,USA,Panama,1001,"$45,367,218","136,632,000","136,632,000"
61,2012,X,USA,Peru,1001,"$70,650,463","226,314,008","226,314,008"
62,2012,X,USA,Philippines,1001,"$611,711,813","1,873,695,064","1,873,695,064"
63,2012,X,USA,Portugal,1001,"$6,008,707","23,908,000","23,908,000"
64,2012,X,USA,Saint Vincent and the Grenadines,1001,"$16,531,480","36,764,000","36,764,000"
65,2012,X,USA,Saudi Arabia,1001,"$59,246,816","224,293,000","224,293,000"
66,2012,X,USA,Sierra Leone,1001,"$1,359,300","6,000,000","6,000,000"
67,2012,X,USA,Singapore,1001,"$18,727,503","64,688,000","64,688,000"
68,2012,X,USA,Viet Nam,1001,"$45,751,224","130,894,731","130,894,731"
69,2012,X,USA,South Africa,1001,"$11,691,713","38,878,000","38,878,000"
70,2012,X,USA,Spain,1001,"$130,101,136","496,817,016","496,817,016"
71,2012,X,USA,Sweden,1001,"$691,954","1,601,000","1,601,000"
72,2012,X,USA,Thailand,1001,"$181,898,915","547,365,675","547,365,675"
73,2012,X,USA,Trinidad and Tobago,1001,"$40,268,539","118,176,000","118,176,000"
74,2012,X,USA,United Arab Emirates,1001,"$7,713,625","22,053,220","22,053,220"
75,2012,X,USA,Tunisia,1001,"$3,136,829","9,506,000","9,506,000"
76,2012,X,USA,Türkiye,1001,"$7,669,845","21,008,000","21,008,000"
77,2012,X,USA,Uganda,1001,"$1,369,293","5,120,000","5,120,000"
78,2012,X,USA,Egypt,1001,"$228,117,871","819,212,640","819,212,640"
79,2012,X,USA,United Kingdom,1001,"$17,117,991","47,968,000","47,968,000"
80,2012,X,USA,United Rep. of Tanzania,1001,"$1,970,662","6,340,000","6,340,000"
81,2012,X,USA,Uruguay,1001,"$16,000","20,000","20,000"
82,2012,X,USA,Venezuela,1001,"$264,116,198","743,282,992","743,282,992"
83,2012,X,USA,Yemen,1001,"$123,024,198","396,182,016","396,182,016"
