,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,USA,World,1001,"$849,981,277","2,470,959,953","2,470,959,953"
1,2012,M,USA,Argentina,1001,"$982,761","1,835,000","1,835,000"
2,2012,M,USA,Canada,1001,"$788,637,725","2,260,810,905","2,260,810,905"
3,2012,M,USA,China,1001,"$70,873","199,426","199,426"
4,2012,M,USA,Cyprus,1001,"$7,555","1,635","1,635"
5,2012,M,USA,Ecuador,1001,"$6,371",480,480
6,2012,M,USA,Germany,1001,"$134,289","148,688","148,688"
7,2012,M,USA,Israel,1001,"$2,810",887,887
8,2012,M,USA,Italy,1001,"$307,443","107,887","107,887"
9,2012,M,USA,Lebanon,1001,"$3,735",300,300
10,2012,M,USA,"China, Macao SAR",1001,"$27,475","19,800","19,800"
11,2012,M,USA,Mexico,1001,"$5,785,858","13,141,000","13,141,000"
12,2012,M,USA,"Other Asia, nes",1001,"$4,436","1,560","1,560"
13,2012,M,USA,Morocco,1001,"$22,006","19,800","19,800"
14,2012,M,USA,Peru,1001,"$60,509","29,321","29,321"
15,2012,M,USA,Russian Federation,1001,"$2,768","1,680","1,680"
16,2012,M,USA,Slovakia,1001,"$30,065","20,000","20,000"
17,2012,M,USA,United Arab Emirates,1001,"$175,397","261,366","261,366"
18,2012,M,USA,Türkiye,1001,"$158,634","171,588","171,588"
19,2012,M,USA,Egypt,1001,"$6,351","3,200","3,200"
20,2012,M,USA,United Kingdom,1001,"$53,105,195","193,199,820","193,199,820"
21,2012,M,USA,Uruguay,1001,"$449,021","985,610","985,610"
22,2013,M,USA,World,1001,"$1,083,664,919","3,399,853,976","3,399,853,976"
23,2013,M,USA,Argentina,1001,"$3,366,501","5,519,212","5,519,212"
24,2013,M,USA,Brazil,1001,"$26,300","22,500","22,500"
25,2013,M,USA,Canada,1001,"$1,074,040,549","3,382,271,619","3,382,271,619"
26,2013,M,USA,China,1001,"$375,765","445,091","445,091"
27,2013,M,USA,Cyprus,1001,"$2,918","1,200","1,200"
28,2013,M,USA,Ecuador,1001,"$5,382",384,384
29,2013,M,USA,France,1001,"$11,000",17,17
30,2013,M,USA,Germany,1001,"$131,708","162,204","162,204"
31,2013,M,USA,Italy,1001,"$485,571","121,230","121,230"
32,2013,M,USA,Jordan,1001,"$5,124","2,020","2,020"
33,2013,M,USA,Lebanon,1001,"$3,645",300,300
34,2013,M,USA,Mexico,1001,"$1,767,927","5,397,114","5,397,114"
35,2013,M,USA,"Other Asia, nes",1001,"$19,291","8,388","8,388"
36,2013,M,USA,Mongolia,1001,"$973,134","1,777,548","1,777,548"
37,2013,M,USA,Morocco,1001,"$23,980","20,163","20,163"
38,2013,M,USA,Peru,1001,"$72,009","37,466","37,466"
39,2013,M,USA,Russian Federation,1001,"$19,821","8,722","8,722"
40,2013,M,USA,Slovakia,1001,"$27,641","20,000","20,000"
41,2013,M,USA,United Arab Emirates,1001,"$144,963","224,926","224,926"
42,2013,M,USA,Türkiye,1001,"$187,070","185,790","185,790"
43,2013,M,USA,Egypt,1001,"$17,438","7,326","7,326"
44,2013,M,USA,United Kingdom,1001,"$3,021",350,350
45,2013,M,USA,Uruguay,1001,"$1,954,161","3,620,406","3,620,406"
46,2014,M,USA,World,1001,"$1,027,242,116","3,528,264,059","3,528,264,059"
47,2014,M,USA,Argentina,1001,"$5,373,960","10,068,985","10,068,985"
48,2014,M,USA,Austria,1001,"$426,418","692,890","692,890"
49,2014,M,USA,Canada,1001,"$998,701,798","3,425,992,745","3,425,992,745"
50,2014,M,USA,China,1001,"$323,681","362,698","362,698"
51,2014,M,USA,France,1001,"$9,463,373","46,345,307","46,345,307"
52,2014,M,USA,Germany,1001,"$101,844","94,619","94,619"
53,2014,M,USA,Hungary,1001,"$126,582","74,010","74,010"
54,2014,M,USA,Israel,1001,"$12,841","7,148","7,148"
55,2014,M,USA,Italy,1001,"$457,290","113,680","113,680"
56,2014,M,USA,Lebanon,1001,"$4,213",330,330
57,2014,M,USA,Mexico,1001,"$4,113,057","13,288,620","13,288,620"
58,2014,M,USA,"Other Asia, nes",1001,"$11,948","7,980","7,980"
59,2014,M,USA,Mongolia,1001,"$2,117,572","4,403,104","4,403,104"
60,2014,M,USA,Netherlands,1001,"$88,870","79,960","79,960"
61,2014,M,USA,Pakistan,1001,"$13,794","3,703","3,703"
62,2014,M,USA,Peru,1001,"$48,373","24,685","24,685"
63,2014,M,USA,Russian Federation,1001,"$16,229","16,135","16,135"
64,2014,M,USA,Türkiye,1001,"$12,465","22,932","22,932"
65,2014,M,USA,Egypt,1001,"$17,238","7,638","7,638"
66,2014,M,USA,United Kingdom,1001,"$5,491,434","26,025,750","26,025,750"
67,2014,M,USA,Uruguay,1001,"$319,136","631,140","631,140"
68,2015,M,USA,World,1001,"$728,077,613","2,483,769,505","2,483,769,505"
69,2015,M,USA,Argentina,1001,"$10,403,775","19,929,292","19,929,292"
70,2015,M,USA,Canada,1001,"$699,373,769","2,414,162,978","2,414,162,978"
71,2015,M,USA,China,1001,"$58,752","9,360","9,360"
72,2015,M,USA,Ecuador,1001,"$4,423","1,240","1,240"
73,2015,M,USA,Israel,1001,"$8,786","3,749","3,749"
74,2015,M,USA,Italy,1001,"$309,012","135,488","135,488"
75,2015,M,USA,Jordan,1001,"$4,086","1,260","1,260"
76,2015,M,USA,Lebanon,1001,"$1,007,357","1,166,279","1,166,279"
77,2015,M,USA,Mexico,1001,"$12,179,157","33,208,612","33,208,612"
78,2015,M,USA,"Other Asia, nes",1001,"$24,601","15,888","15,888"
79,2015,M,USA,Mongolia,1001,"$1,596,528","2,972,564","2,972,564"
80,2015,M,USA,Peru,1001,"$101,928","48,917","48,917"
81,2015,M,USA,Russian Federation,1001,"$2,378,710","11,001,738","11,001,738"
82,2015,M,USA,Türkiye,1001,"$15,751","24,945","24,945"
83,2015,M,USA,Ukraine,1001,"$37,717","80,335","80,335"
84,2015,M,USA,Egypt,1001,"$4,979","2,400","2,400"
85,2015,M,USA,Uruguay,1001,"$568,282","1,004,460","1,004,460"
86,2016,M,USA,World,1001,"$491,022,699","2,210,922,994","2,210,922,994"
87,2016,M,USA,Argentina,1001,"$24,303,223","112,688,820","112,688,820"
88,2016,M,USA,Australia,1001,"$20,905","43,150","43,150"
89,2016,M,USA,Canada,1001,"$418,658,492","1,869,106,006","1,869,106,006"
90,2016,M,USA,China,1001,"$30,109","6,816","6,816"
91,2016,M,USA,Denmark,1001,"$43,120","36,019","36,019"
92,2016,M,USA,France,1001,"$31,257,345","146,852,000","146,852,000"
93,2016,M,USA,Israel,1001,"$14,129","9,880","9,880"
94,2016,M,USA,Italy,1001,"$444,270","212,660","212,660"
95,2016,M,USA,Jordan,1001,"$6,930","1,866","1,866"
96,2016,M,USA,Rep. of Korea,1001,"$11,198",540,540
97,2016,M,USA,Lebanon,1001,"$316,416","360,959","360,959"
98,2016,M,USA,Mexico,1001,"$4,824,901","18,140,019","18,140,019"
99,2016,M,USA,"Other Asia, nes",1001,"$19,525","13,200","13,200"
100,2016,M,USA,Netherlands,1001,"$7,436",109,109
101,2016,M,USA,Nigeria,1001,"$9,852","3,783","3,783"
102,2016,M,USA,Peru,1001,"$86,881","43,918","43,918"
103,2016,M,USA,Russian Federation,1001,"$19,729","11,259","11,259"
104,2016,M,USA,Serbia,1001,"$61,355","97,640","97,640"
105,2016,M,USA,India,1001,"$31,320","32,958","32,958"
106,2016,M,USA,Spain,1001,"$48,337","50,925","50,925"
107,2016,M,USA,Syria,1001,"$2,895","1,225","1,225"
108,2016,M,USA,Türkiye,1001,"$14,118","27,000","27,000"
109,2016,M,USA,Egypt,1001,"$5,701","1,622","1,622"
110,2016,M,USA,United Kingdom,1001,"$10,666,228","62,999,380","62,999,380"
111,2016,M,USA,Uruguay,1001,"$108,383","178,540","178,540"
112,2016,M,USA,Venezuela,1001,"$9,901","2,700","2,700"
113,2017,M,USA,World,1001,"$705,554,781","2,812,826,115","2,812,826,115"
114,2017,M,USA,Argentina,1001,"$4,868,464","15,600,280","15,600,280"
115,2017,M,USA,Australia,1001,"$16,739","14,362","14,362"
116,2017,M,USA,Armenia,1001,"$28,398","22,062","22,062"
117,2017,M,USA,Bolivia (Plurinational State of),1001,"$3,381",972,972
118,2017,M,USA,Canada,1001,"$697,182,750","2,787,350,080","2,787,350,080"
119,2017,M,USA,China,1001,"$10,386","47,857","47,857"
120,2017,M,USA,Israel,1001,"$15,879","8,273","8,273"
121,2017,M,USA,Italy,1001,"$580,952","295,225","295,225"
122,2017,M,USA,Jordan,1001,"$7,500","1,914","1,914"
123,2017,M,USA,Rep. of Korea,1001,"$6,170",300,300
124,2017,M,USA,Lebanon,1001,"$8,591","1,812","1,812"
125,2017,M,USA,Mexico,1001,"$2,669,993","9,389,806","9,389,806"
126,2017,M,USA,Peru,1001,"$58,578","26,365","26,365"
127,2017,M,USA,Russian Federation,1001,"$3,707","2,750","2,750"
128,2017,M,USA,India,1001,"$65,622","43,486","43,486"
129,2017,M,USA,Spain,1001,"$13,265","14,514","14,514"
130,2017,M,USA,Türkiye,1001,"$2,457","2,517","2,517"
131,2017,M,USA,Ukraine,1001,"$8,148","1,740","1,740"
132,2017,M,USA,Egypt,1001,"$3,801","1,800","1,800"
133,2018,M,USA,World,1001,"$799,371,139","3,136,320,070",0
134,2018,M,USA,Argentina,1001,"$1,893,672","6,232,790","6,232,790"
135,2018,M,USA,Armenia,1001,"$3,183","9,600","9,600"
136,2018,M,USA,Canada,1001,"$796,626,305","3,129,290,625","3,129,290,625"
137,2018,M,USA,Chile,1001,"$39,642","44,601","44,601"
