,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,United Kingdom,World,1001,"$428,623,487","1,503,350,637","1,503,350,637"
1,2012,X,United Kingdom,Algeria,1001,"$16,312,154","57,906,650","57,906,650"
2,2012,X,United Kingdom,Australia,1001,"$1,655",63,63
3,2012,X,United Kingdom,Austria,1001,"$1,818","6,167","6,167"
4,2012,X,United Kingdom,Belgium,1001,"$18,189,011","64,785,686","64,785,686"
5,2012,X,United Kingdom,Cyprus,1001,"$2,725","1,556","1,556"
6,2012,X,United Kingdom,Denmark,1001,"$5,759","4,624","4,624"
7,2012,X,United Kingdom,Finland,1001,$6,50,50
8,2012,X,United Kingdom,France,1001,"$2,378,865","8,570,383","8,570,383"
9,2012,X,United Kingdom,Germany,1001,"$10,442,774","34,751,854","34,751,854"
10,2012,X,United Kingdom,Greece,1001,$214,726,726
11,2012,X,United Kingdom,Iceland,1001,"$1,462,600","4,877,550","4,877,550"
12,2012,X,United Kingdom,Ireland,1001,"$38,545,356","129,904,210","129,904,210"
13,2012,X,United Kingdom,Italy,1001,"$3,660,854","12,286,251","12,286,251"
14,2012,X,United Kingdom,Japan,1001,"$30,630","13,550","13,550"
15,2012,X,United Kingdom,Malta,1001,"$6,203","17,200","17,200"
16,2012,X,United Kingdom,Mexico,1001,"$130,025","1,800","1,800"
17,2012,X,United Kingdom,Morocco,1001,"$3,557,523","13,303,290","13,303,290"
18,2012,X,United Kingdom,Netherlands,1001,"$105,929,609","395,224,743","395,224,743"
19,2012,X,United Kingdom,Norway,1001,"$436,200","1,007,900","1,007,900"
20,2012,X,United Kingdom,Poland,1001,"$496,108","1,700,000","1,700,000"
21,2012,X,United Kingdom,Portugal,1001,"$40,378,475","140,158,864","140,158,864"
22,2012,X,United Kingdom,Saudi Arabia,1001,"$29,893","11,629","11,629"
23,2012,X,United Kingdom,Singapore,1001,"$11,600","1,386","1,386"
24,2012,X,United Kingdom,Slovakia,1001,$24,81,81
25,2012,X,United Kingdom,Slovenia,1001,"$1,783","6,049","6,049"
26,2012,X,United Kingdom,South Africa,1001,"$356,404","126,275","126,275"
27,2012,X,United Kingdom,Spain,1001,"$140,566,742","475,187,822","475,187,822"
28,2012,X,United Kingdom,Sweden,1001,"$5,598,521","19,794,141","19,794,141"
29,2012,X,United Kingdom,Switzerland,1001,"$2,837",20,20
30,2012,X,United Kingdom,USA,1001,"$40,087,117","143,700,118","143,700,118"
31,2013,X,United Kingdom,World,1001,"$134,603,200","447,800,497","447,800,497"
32,2013,X,United Kingdom,Australia,1001,"$2,502",10,10
33,2013,X,United Kingdom,Belgium,1001,"$5,405,334","14,967,274","14,967,274"
34,2013,X,United Kingdom,Cyprus,1001,"$6,408","8,380","8,380"
35,2013,X,United Kingdom,Finland,1001,$74,35,35
36,2013,X,United Kingdom,France,1001,"$3,097","5,190","5,190"
37,2013,X,United Kingdom,Germany,1001,"$5,126,500","15,670,212","15,670,212"
