,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,United Kingdom,World,1001,"$627,402,916","1,758,547,856","1,758,547,856"
1,2012,M,United Kingdom,Argentina,1001,"$12,074","6,500","6,500"
2,2012,M,United Kingdom,Austria,1001,"$11,912","17,184","17,184"
3,2012,M,United Kingdom,Belgium,1001,"$2,516,541","5,236,167","5,236,167"
4,2012,M,United Kingdom,Bulgaria,1001,"$2,786,231","9,786,300","9,786,300"
5,2012,M,United Kingdom,Canada,1001,"$137,032,830","322,311,040","322,311,040"
6,2012,M,United Kingdom,China,1001,"$83,970","13,029","13,029"
7,2012,M,United Kingdom,Cyprus,1001,"$14,552","12,501","12,501"
8,2012,M,United Kingdom,Denmark,1001,"$31,083,819","92,642,752","92,642,752"
9,2012,M,United Kingdom,Estonia,1001,"$20,596,605","60,952,060","60,952,060"
10,2012,M,United Kingdom,Finland,1001,"$12,074,924","38,965,238","38,965,238"
11,2012,M,United Kingdom,France,1001,"$85,773,828","243,661,191","243,661,191"
12,2012,M,United Kingdom,State of Palestine,1001,"$30,860","12,000","12,000"
13,2012,M,United Kingdom,Germany,1001,"$161,138,046","491,663,115","491,663,115"
14,2012,M,United Kingdom,Greece,1001,"$2,722","3,000","3,000"
15,2012,M,United Kingdom,Hungary,1001,"$640,177","607,141","607,141"
16,2012,M,United Kingdom,Ireland,1001,"$19,257,595","61,252,752","61,252,752"
17,2012,M,United Kingdom,Italy,1001,"$4,162,928","7,875,008","7,875,008"
18,2012,M,United Kingdom,Kazakhstan,1001,"$8,573,815","23,067,949","23,067,949"
19,2012,M,United Kingdom,Latvia,1001,"$11,645,810","36,848,494","36,848,494"
20,2012,M,United Kingdom,Lithuania,1001,"$14,849,277","45,708,069","45,708,069"
21,2012,M,United Kingdom,Netherlands,1001,"$4,262,567","13,538,596","13,538,596"
22,2012,M,United Kingdom,Poland,1001,"$36,531,085","113,671,770","113,671,770"
23,2012,M,United Kingdom,Portugal,1001,$3,5,5
24,2012,M,United Kingdom,Romania,1001,"$11,933,429","30,215,295","30,215,295"
25,2012,M,United Kingdom,Russian Federation,1001,"$833,622","2,381,800","2,381,800"
26,2012,M,United Kingdom,India,1001,"$398,796","777,525","777,525"
27,2012,M,United Kingdom,Slovakia,1001,$11,32,32
28,2012,M,United Kingdom,Slovenia,1001,"$1,615,430","3,498,520","3,498,520"
29,2012,M,United Kingdom,Spain,1001,"$11,954,793","29,029,667","29,029,667"
30,2012,M,United Kingdom,Sweden,1001,"$15,642,178","46,834,047","46,834,047"
31,2012,M,United Kingdom,Türkiye,1001,"$23,187","25,930","25,930"
32,2012,M,United Kingdom,Ukraine,1001,"$2,547,863","7,383,860","7,383,860"
33,2012,M,United Kingdom,USA,1001,"$29,371,435","70,549,320","70,549,320"
34,2013,M,United Kingdom,World,1001,"$1,033,550,366","2,965,340,623","2,965,340,623"
35,2013,M,United Kingdom,Antigua and Barbuda,1001,"$1,509","1,500","1,500"
36,2013,M,United Kingdom,Austria,1001,"$12,526","10,310","10,310"
37,2013,M,United Kingdom,Belgium,1001,"$3,202,353","8,820,298","8,820,298"
38,2013,M,United Kingdom,Bulgaria,1001,"$35,358,090","147,169,860","147,169,860"
39,2013,M,United Kingdom,Canada,1001,"$152,369,353","374,445,621","374,445,621"
40,2013,M,United Kingdom,China,1001,"$67,892","15,056","15,056"
41,2013,M,United Kingdom,Croatia,1001,"$35,597","72,000","72,000"
42,2013,M,United Kingdom,Cyprus,1001,"$9,047","8,001","8,001"
43,2013,M,United Kingdom,Denmark,1001,"$63,830,862","216,797,304","216,797,304"
44,2013,M,United Kingdom,Estonia,1001,"$20,683,880","70,764,300","70,764,300"
45,2013,M,United Kingdom,Finland,1001,"$31,846,635","94,510,013","94,510,013"
46,2013,M,United Kingdom,France,1001,"$255,871,274","747,564,572","747,564,572"
47,2013,M,United Kingdom,State of Palestine,1001,"$5,222","1,200","1,200"
48,2013,M,United Kingdom,Germany,1001,"$353,593,225","980,245,524","980,245,524"
49,2013,M,United Kingdom,Hungary,1001,"$696,587","622,367","622,367"
50,2013,M,United Kingdom,Ireland,1001,"$20,386,838","64,479,146","64,479,146"
51,2013,M,United Kingdom,Italy,1001,"$1,469,591","1,946,955","1,946,955"
52,2013,M,United Kingdom,Kazakhstan,1001,"$8,778,526","18,233,037","18,233,037"
53,2013,M,United Kingdom,Latvia,1001,"$2,813,667","7,811,800","7,811,800"
54,2013,M,United Kingdom,Lithuania,1001,"$2,481,707","7,737,864","7,737,864"
55,2013,M,United Kingdom,Netherlands,1001,"$2,713,279","8,066,494","8,066,494"
56,2013,M,United Kingdom,New Zealand,1001,"$3,048",300,300
57,2013,M,United Kingdom,Poland,1001,"$19,887,165","63,837,400","63,837,400"
58,2013,M,United Kingdom,Romania,1001,"$14,010,475","35,058,229","35,058,229"
59,2013,M,United Kingdom,India,1001,"$1,257,388","2,323,550","2,323,550"
60,2013,M,United Kingdom,Slovenia,1001,"$21,504","30,000","30,000"
61,2013,M,United Kingdom,Spain,1001,"$5,146,148","12,317,970","12,317,970"
62,2013,M,United Kingdom,Sweden,1001,"$7,715,619","22,485,503","22,485,503"
63,2013,M,United Kingdom,Türkiye,1001,"$16,096","23,452","23,452"
64,2013,M,United Kingdom,Ukraine,1001,"$2,938,898","7,286,218","7,286,218"
65,2013,M,United Kingdom,USA,1001,"$26,326,364","72,654,779","72,654,779"
66,2014,M,United Kingdom,World,1001,"$569,730,343","1,824,487,535","1,824,487,535"
67,2014,M,United Kingdom,Australia,1001,"$117,183","250,300","250,300"
68,2014,M,United Kingdom,Belgium,1001,"$2,012,808","5,078,484","5,078,484"
69,2014,M,United Kingdom,Canada,1001,"$110,067,922","306,215,165","306,215,165"
70,2014,M,United Kingdom,China,1001,"$118,907","23,482","23,482"
71,2014,M,United Kingdom,Denmark,1001,"$98,687,493","327,161,417","327,161,417"
72,2014,M,United Kingdom,Finland,1001,"$2,933,816","10,001,020","10,001,020"
73,2014,M,United Kingdom,France,1001,"$90,648,983","295,944,001","295,944,001"
