,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,X,Ukraine,World,1001,"$2,330,541,473","8,589,599,359","8,589,599,359"
1,2012,X,Ukraine,Albania,1001,"$726,176","3,077,018","3,077,018"
2,2012,X,Ukraine,Algeria,1001,"$1,336,753","5,640,306","5,640,306"
3,2012,X,Ukraine,Azerbaijan,1001,"$236,776","735,800","735,800"
4,2012,X,Ukraine,Austria,1001,"$189,000","700,000","700,000"
5,2012,X,Ukraine,Armenia,1001,"$1,249,232","4,894,190","4,894,190"
6,2012,X,Ukraine,Br. Virgin Isds,1001,$6,8,8
7,2012,X,Ukraine,Myanmar,1001,"$908,703","2,977,100","2,977,100"
8,2012,X,Ukraine,Burundi,1001,"$2,117,000","7,000,000","7,000,000"
9,2012,X,Ukraine,Belarus,1001,"$5,893,693","22,298,603","22,298,603"
10,2012,X,Ukraine,Cameroon,1001,"$2,100,000","8,400,000","8,400,000"
11,2012,X,Ukraine,Cyprus,1001,"$745,139","3,076,696","3,076,696"
12,2012,X,Ukraine,Denmark,1001,"$9,890","43,800","43,800"
13,2012,X,Ukraine,Estonia,1001,"$144,072","543,670","543,670"
14,2012,X,Ukraine,Georgia,1001,"$1,697,143","5,465,940","5,465,940"
15,2012,X,Ukraine,State of Palestine,1001,"$1,513,392","6,368,000","6,368,000"
16,2012,X,Ukraine,Germany,1001,"$1,261,261","4,707,670","4,707,670"
17,2012,X,Ukraine,Greece,1001,"$899,989","3,214,248","3,214,248"
18,2012,X,Ukraine,Indonesia,1001,"$8,932,271","31,544,960","31,544,960"
19,2012,X,Ukraine,Israel,1001,"$191,425,837","770,135,968","770,135,968"
20,2012,X,Ukraine,Italy,1001,"$37,474,941","150,135,970","150,135,970"
21,2012,X,Ukraine,Jordan,1001,"$115,001,608","406,805,076","406,805,076"
22,2012,X,Ukraine,Kenya,1001,"$63,464,296","228,933,094","228,933,094"
23,2012,X,Ukraine,Rep. of Korea,1001,"$28,126,013","101,750,000","101,750,000"
24,2012,X,Ukraine,Lebanon,1001,"$54,161,055","199,886,725","199,886,725"
25,2012,X,Ukraine,Liberia,1001,$6,8,8
26,2012,X,Ukraine,Libya,1001,"$111,929,174","406,146,224","406,146,224"
27,2012,X,Ukraine,Lithuania,1001,"$935,549","3,508,250","3,508,250"
28,2012,X,Ukraine,Malaysia,1001,"$1,435,569","4,767,116","4,767,116"
29,2012,X,Ukraine,Mauritania,1001,"$9,980,807","37,322,985","37,322,985"
30,2012,X,Ukraine,"Other Asia, nes",1001,"$873,156","3,490,510","3,490,510"
31,2012,X,Ukraine,Rep. of Moldova,1001,"$157,409","223,650","223,650"
32,2012,X,Ukraine,Morocco,1001,"$195,103,302","672,465,268","672,465,268"
33,2012,X,Ukraine,Mozambique,1001,"$10,057,533","34,736,770","34,736,770"
34,2012,X,Ukraine,Netherlands,1001,"$25,865,690","97,143,362","97,143,362"
35,2012,X,Ukraine,Poland,1001,$259,100,100
36,2012,X,Ukraine,Portugal,1001,"$7,208,833","31,750,000","31,750,000"
37,2012,X,Ukraine,Russian Federation,1001,"$119,556","251,367","251,367"
38,2012,X,Ukraine,Rwanda,1001,"$3,872,800","13,000,000","13,000,000"
39,2012,X,Ukraine,Saudi Arabia,1001,"$12,158,100","51,300,000","51,300,000"
40,2012,X,Ukraine,Senegal,1001,"$2,509,094","8,600,000","8,600,000"
41,2012,X,Ukraine,Viet Nam,1001,"$8,151,066","32,000,000","32,000,000"
42,2012,X,Ukraine,South Africa,1001,"$64,079,684","223,619,756","223,619,756"
43,2012,X,Ukraine,Spain,1001,"$314,935,232","1,217,682,635","1,217,682,635"
44,2012,X,Ukraine,Switzerland,1001,"$1,260,143","2,927,394","2,927,394"
45,2012,X,Ukraine,Syria,1001,"$48,994,159","194,264,544","194,264,544"
46,2012,X,Ukraine,Thailand,1001,"$23,294,314","90,193,102","90,193,102"
47,2012,X,Ukraine,United Arab Emirates,1001,"$22,767,145","73,794,358","73,794,358"
48,2012,X,Ukraine,Tunisia,1001,"$136,295,139","501,164,294","501,164,294"
49,2012,X,Ukraine,Türkiye,1001,"$43,089,586","158,423,240","158,423,240"
50,2012,X,Ukraine,Uganda,1001,"$20,400,596","72,913,698","72,913,698"
51,2012,X,Ukraine,Egypt,1001,"$695,477,489","2,522,594,688","2,522,594,688"
52,2012,X,Ukraine,United Kingdom,1001,"$2,440,628","9,776,818","9,776,818"
53,2012,X,Ukraine,United Rep. of Tanzania,1001,"$16,993,198","55,604,380","55,604,380"
54,2012,X,Ukraine,Yemen,1001,"$30,542,014","101,600,000","101,600,000"
55,2013,X,Ukraine,World,1001,"$1,891,519,316","7,762,278,401","7,762,278,401"
56,2013,X,Ukraine,Azerbaijan,1001,"$278,426","806,680","806,680"
57,2013,X,Ukraine,Austria,1001,"$23,975","30,900","30,900"
58,2013,X,Ukraine,Bahrain,1001,"$6,275,485","27,463,831","27,463,831"
