,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,Ukraine,World,1001,"$1,335,585","1,410,747","1,410,747"
1,2012,M,Ukraine,Australia,1001,"$17,506","40,000","40,000"
2,2012,M,Ukraine,Austria,1001,"$105,579","97,572","97,572"
3,2012,M,Ukraine,Czechia,1001,"$340,732","352,609","352,609"
4,2012,M,Ukraine,France,1001,"$27,283","21,371","21,371"
5,2012,M,Ukraine,Germany,1001,"$490,847","473,715","473,715"
6,2012,M,Ukraine,Italy,1001,"$87,019","119,471","119,471"
7,2012,M,Ukraine,Netherlands,1001,$105,9,9
8,2012,M,Ukraine,Poland,1001,"$26,153","40,000","40,000"
9,2012,M,Ukraine,Russian Federation,1001,"$232,360","256,000","256,000"
10,2012,M,Ukraine,Serbia,1001,"$8,000","10,000","10,000"
11,2013,M,Ukraine,World,1001,"$1,932,321","1,778,297","1,778,297"
12,2013,M,Ukraine,Austria,1001,"$228,591","154,752","154,752"
13,2013,M,Ukraine,Czechia,1001,"$453,178","451,454","451,454"
14,2013,M,Ukraine,France,1001,"$12,182","1,298","1,298"
15,2013,M,Ukraine,Germany,1001,"$880,767","813,031","813,031"
16,2013,M,Ukraine,Italy,1001,$592,122,122
17,2013,M,Ukraine,Poland,1001,"$19,994","40,000","40,000"
18,2013,M,Ukraine,Russian Federation,1001,"$114,872","134,000","134,000"
19,2013,M,Ukraine,Serbia,1001,"$200,161","180,013","180,013"
20,2013,M,Ukraine,Spain,1001,$717,16,16
21,2013,M,Ukraine,Switzerland,1001,"$2,750",559,559
22,2013,M,Ukraine,Türkiye,1001,$485,29,29
23,2013,M,Ukraine,USA,1001,"$18,032","3,022","3,022"
24,2014,M,Ukraine,World,1001,"$1,931,983","1,792,197","1,792,197"
25,2014,M,Ukraine,Austria,1001,"$425,305","341,722","341,722"
26,2014,M,Ukraine,Croatia,1001,"$12,639","20,000","20,000"
27,2014,M,Ukraine,Czechia,1001,"$390,171","412,016","412,016"
28,2014,M,Ukraine,France,1001,"$10,208",975,975
29,2014,M,Ukraine,Germany,1001,"$1,015,937","911,442","911,442"
30,2014,M,Ukraine,Mexico,1001,$710,10,10
31,2014,M,Ukraine,New Zealand,1001,$394,8,8
32,2014,M,Ukraine,Poland,1001,"$6,176","22,980","22,980"
33,2014,M,Ukraine,Romania,1001,"$1,316","1,500","1,500"
34,2014,M,Ukraine,Russian Federation,1001,"$36,812","61,000","61,000"
35,2014,M,Ukraine,Serbia,1001,"$31,168","20,408","20,408"
36,2014,M,Ukraine,Switzerland,1001,$932,131,131
37,2014,M,Ukraine,Türkiye,1001,$217,5,5
38,2015,M,Ukraine,World,1001,"$1,426,427","2,230,855","2,230,855"
39,2015,M,Ukraine,Austria,1001,"$63,064","86,012","86,012"
40,2015,M,Ukraine,Belgium,1001,$142,48,48
41,2015,M,Ukraine,Croatia,1001,"$38,198","60,000","60,000"
42,2015,M,Ukraine,Czechia,1001,"$243,980","323,028","323,028"
43,2015,M,Ukraine,Finland,1001,$615,26,26
44,2015,M,Ukraine,France,1001,"$11,810","1,277","1,277"
45,2015,M,Ukraine,Germany,1001,"$801,313","1,000,988","1,000,988"
46,2015,M,Ukraine,Hungary,1001,"$6,062","28,794","28,794"
47,2015,M,Ukraine,Italy,1001,$220,50,50
48,2015,M,Ukraine,Mexico,1001,$507,6,6
49,2015,M,Ukraine,Poland,1001,"$23,563","78,000","78,000"
50,2015,M,Ukraine,Russian Federation,1001,"$47,453","59,000","59,000"
51,2015,M,Ukraine,Serbia,1001,"$73,185","80,382","80,382"
52,2015,M,Ukraine,Slovakia,1001,"$113,331","512,950","512,950"
53,2015,M,Ukraine,Spain,1001,"$1,430",39,39
54,2015,M,Ukraine,Sweden,1001,$306,17,17
55,2015,M,Ukraine,Switzerland,1001,$898,212,212
56,2015,M,Ukraine,Türkiye,1001,$351,26,26
57,2016,M,Ukraine,World,1001,"$2,099,943","2,498,073","2,498,073"
58,2016,M,Ukraine,Austria,1001,"$105,452","138,657","138,657"
59,2016,M,Ukraine,Belgium,1001,$710,297,297
60,2016,M,Ukraine,Belarus,1001,"$34,320","264,000","264,000"
61,2016,M,Ukraine,Czechia,1001,"$517,096","611,026","611,026"
62,2016,M,Ukraine,Finland,1001,$981,127,127
63,2016,M,Ukraine,France,1001,"$297,491","173,967","173,967"
64,2016,M,Ukraine,Germany,1001,"$929,409","819,550","819,550"
65,2016,M,Ukraine,Hungary,1001,"$20,639","27,420","27,420"
66,2016,M,Ukraine,Italy,1001,$186,40,40
67,2016,M,Ukraine,Mexico,1001,"$1,045",45,45
68,2016,M,Ukraine,Poland,1001,"$71,444","300,000","300,000"
69,2016,M,Ukraine,Russian Federation,1001,"$19,235","37,000","37,000"
70,2016,M,Ukraine,Serbia,1001,"$63,613","70,385","70,385"
71,2016,M,Ukraine,Slovakia,1001,"$16,122","22,045","22,045"
72,2016,M,Ukraine,USA,1001,"$22,195","33,511","33,511"
73,2017,M,Ukraine,World,1001,"$3,032,456","3,746,703","3,746,703"
74,2017,M,Ukraine,Austria,1001,"$88,407","112,096","112,096"
75,2017,M,Ukraine,Bangladesh,1001,$266,12,12
76,2017,M,Ukraine,Belgium,1001,$779,354,354
77,2017,M,Ukraine,Belarus,1001,"$156,330","965,000","965,000"
78,2017,M,Ukraine,Czechia,1001,"$536,481","617,534","617,534"
79,2017,M,Ukraine,Finland,1001,$685,123,123
80,2017,M,Ukraine,France,1001,"$457,192","234,293","234,293"
81,2017,M,Ukraine,Germany,1001,"$1,381,631","1,048,752","1,048,752"
82,2017,M,Ukraine,Hungary,1001,"$53,179","101,500","101,500"
83,2017,M,Ukraine,Italy,1001,"$1,559",230,230
84,2017,M,Ukraine,Mexico,1001,"$1,148",38,38
85,2017,M,Ukraine,Rep. of Moldova,1001,"$9,609","68,640","68,640"
86,2017,M,Ukraine,Poland,1001,"$213,773","460,433","460,433"
87,2017,M,Ukraine,Russian Federation,1001,"$19,081","37,000","37,000"
88,2017,M,Ukraine,Serbia,1001,"$87,991","78,500","78,500"
89,2017,M,Ukraine,Slovakia,1001,"$22,904","22,000","22,000"
90,2017,M,Ukraine,Spain,1001,$728,16,16
91,2017,M,Ukraine,Switzerland,1001,$82,150,150
92,2017,M,Ukraine,USA,1001,$624,30,30
93,2018,M,Ukraine,World,1001,"$2,806,451","4,037,363","4,037,363"
94,2018,M,Ukraine,Austria,1001,"$62,004","78,424","78,424"
95,2018,M,Ukraine,Belgium,1001,$558,240,240
96,2018,M,Ukraine,Canada,1001,"$3,532","10,000","10,000"
97,2018,M,Ukraine,Croatia,1001,"$8,072","5,060","5,060"
98,2018,M,Ukraine,Czechia,1001,"$595,896","651,759","651,759"
99,2018,M,Ukraine,France,1001,"$428,771","247,077","247,077"
100,2018,M,Ukraine,Germany,1001,"$1,052,286","944,240","944,240"
101,2018,M,Ukraine,Hungary,1001,"$45,297","58,003","58,003"
102,2018,M,Ukraine,Italy,1001,"$1,692",526,526
103,2018,M,Ukraine,Kazakhstan,1001,"$330,494","1,714,120","1,714,120"
104,2018,M,Ukraine,Mexico,1001,"$1,239",39,39
105,2018,M,Ukraine,Netherlands,1001,$9,1,1
106,2018,M,Ukraine,Poland,1001,"$94,539","175,990","175,990"
107,2018,M,Ukraine,Romania,1001,"$140,287","128,680","128,680"
108,2018,M,Ukraine,Serbia,1001,"$41,189","23,125","23,125"
109,2018,M,Ukraine,Türkiye,1001,$282,28,28
110,2018,M,Ukraine,USA,1001,$296,49,49
111,2019,M,Ukraine,World,1001,"$1,947,260","2,424,353","2,424,353"
112,2019,M,Ukraine,Austria,1001,"$140,061","206,877","206,877"
113,2019,M,Ukraine,Bangladesh,1001,$418,31,31
114,2019,M,Ukraine,Croatia,1001,"$22,834","18,000","18,000"
115,2019,M,Ukraine,Czechia,1001,"$300,841","345,395","345,395"
116,2019,M,Ukraine,France,1001,"$75,546","44,533","44,533"
117,2019,M,Ukraine,Georgia,1001,$211,9,9
118,2019,M,Ukraine,Germany,1001,"$859,582","830,433","830,433"
119,2019,M,Ukraine,Hungary,1001,$482,306,306
120,2019,M,Ukraine,Italy,1001,"$3,920",408,408
121,2019,M,Ukraine,Kazakhstan,1001,"$52,731","264,980","264,980"
122,2019,M,Ukraine,Mexico,1001,"$1,610",40,40
123,2019,M,Ukraine,Poland,1001,"$208,097","414,270","414,270"
124,2019,M,Ukraine,Romania,1001,"$254,960","239,500","239,500"
125,2019,M,Ukraine,Serbia,1001,"$22,268","59,394","59,394"
126,2019,M,Ukraine,USA,1001,"$3,694",174,174
127,2020,M,Ukraine,World,1001,"$3,645,066","10,939,581","10,939,581"
128,2020,M,Ukraine,Austria,1001,"$63,297","73,381","73,381"
129,2020,M,Ukraine,Belarus,1001,"$1,781,243","9,686,820","9,686,820"
130,2020,M,Ukraine,Croatia,1001,"$58,717","43,000","43,000"
131,2020,M,Ukraine,Czechia,1001,"$220,453","193,609","193,609"
132,2020,M,Ukraine,France,1001,"$13,598","5,400","5,400"
133,2020,M,Ukraine,Germany,1001,"$1,367,248","802,223","802,223"
134,2020,M,Ukraine,Hungary,1001,$477,260,260
135,2020,M,Ukraine,Italy,1001,"$2,168",220,220
136,2020,M,Ukraine,Mexico,1001,"$4,163",204,204
137,2020,M,Ukraine,Poland,1001,"$34,490","42,000","42,000"
138,2020,M,Ukraine,Romania,1001,"$94,454","88,530","88,530"
139,2020,M,Ukraine,Russian Federation,1001,$23,3,3
140,2020,M,Ukraine,Serbia,1001,"$3,985","3,799","3,799"
141,2020,M,Ukraine,Spain,1001,$585,87,87
142,2020,M,Ukraine,USA,1001,$159,43,43
143,2021,M,Ukraine,World,1001,"$5,387,883","17,694,903","17,694,903"
144,2021,M,Ukraine,Austria,1001,"$55,514","63,102","63,102"
145,2021,M,Ukraine,Belarus,1001,"$3,227,544","15,945,300","15,945,300"
146,2021,M,Ukraine,Canada,1001,"$14,534","40,409","40,409"
147,2021,M,Ukraine,Croatia,1001,"$58,717","43,000","43,000"
148,2021,M,Ukraine,Czechia,1001,"$196,555","179,238","179,238"
149,2021,M,Ukraine,Denmark,1001,$962,"1,000","1,000"
150,2021,M,Ukraine,France,1001,"$34,117","26,264","26,264"
151,2021,M,Ukraine,Germany,1001,"$1,334,691","772,071","772,071"
152,2021,M,Ukraine,Hungary,1001,"$188,708","270,349","270,349"
153,2021,M,Ukraine,Rep. of Moldova,1001,"$9,644","22,000","22,000"
154,2021,M,Ukraine,Poland,1001,"$67,842","103,800","103,800"
155,2021,M,Ukraine,Romania,1001,"$163,603","180,978","180,978"
156,2021,M,Ukraine,Serbia,1001,"$34,662","47,172","47,172"
157,2021,M,Ukraine,Spain,1001,$497,87,87
158,2021,M,Ukraine,United Kingdom,1001,$76,72,72
159,2021,M,Ukraine,USA,1001,$212,59,59
160,2022,M,Ukraine,World,1001,"$941,583","2,384,541","2,384,541"
161,2022,M,Ukraine,Austria,1001,"$10,042","11,928","11,928"
162,2022,M,Ukraine,Bulgaria,1001,"$1,665","1,300","1,300"
163,2022,M,Ukraine,Belarus,1001,"$31,321","163,880","163,880"
164,2022,M,Ukraine,Canada,1001,$150,750,750
165,2022,M,Ukraine,Czechia,1001,"$100,370","102,720","102,720"
166,2022,M,Ukraine,Denmark,1001,"$9,103","9,025","9,025"
167,2022,M,Ukraine,France,1001,"$36,452","19,923","19,923"
168,2022,M,Ukraine,Germany,1001,"$321,947","247,373","247,373"
169,2022,M,Ukraine,Hungary,1001,"$8,092","12,364","12,364"
170,2022,M,Ukraine,Poland,1001,"$352,578","1,771,720","1,771,720"
171,2022,M,Ukraine,Romania,1001,"$21,032","23,057","23,057"
172,2022,M,Ukraine,Serbia,1001,"$48,827","20,500","20,500"
173,2023,M,Ukraine,World,1001,"$7,483,580","34,775,985","34,775,985"
174,2023,M,Ukraine,Austria,1001,"$154,503","172,203","172,203"
175,2023,M,Ukraine,Bulgaria,1001,"$18,501","22,680","22,680"
