Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (M $),Net Weight(M kgs )
2012,Import,USA,World,1001,849.98,2470.96
2012,Import,USA,Argentina,1001,0.98,1.84
2012,Import,USA,Canada,1001,788.64,2260.81
2012,Import,USA,China,1001,0.07,0.2
2012,Import,USA,Cyprus,1001,0.01,0.0
2012,Import,USA,Ecuador,1001,0.01,0.0
2012,Import,USA,Germany,1001,0.13,0.15
2012,Import,USA,Israel,1001,0.0,0.0
2012,Import,USA,Italy,1001,0.31,0.11
2012,Import,USA,Lebanon,1001,0.0,0.0
2012,Import,USA,"China, Macao SAR",1001,0.03,0.02
2012,Import,USA,Mexico,1001,5.79,13.14
2012,Import,USA,"Other Asia, nes",1001,0.0,0.0
2012,Import,USA,Morocco,1001,0.02,0.02
2012,Import,USA,Peru,1001,0.06,0.03
2012,Import,USA,Russian Federation,1001,0.0,0.0
2012,Import,USA,Slovakia,1001,0.03,0.02
2012,Import,USA,United Arab Emirates,1001,0.18,0.26
2012,Import,USA,Türkiye,1001,0.16,0.17
2012,Import,USA,Egypt,1001,0.01,0.0
2012,Import,USA,United Kingdom,1001,53.11,193.2
2012,Import,USA,Uruguay,1001,0.45,0.99
2013,Import,USA,World,1001,1083.66,3399.85
2013,Import,USA,Argentina,1001,3.37,5.52
2013,Import,USA,Brazil,1001,0.03,0.02
2013,Import,USA,Canada,1001,1074.04,3382.27
2013,Import,USA,China,1001,0.38,0.45
2013,Import,USA,Cyprus,1001,0.0,0.0
2013,Import,USA,Ecuador,1001,0.01,0.0
2013,Import,USA,France,1001,0.01,0.0
2013,Import,USA,Germany,1001,0.13,0.16
2013,Import,USA,Italy,1001,0.49,0.12
2013,Import,USA,Jordan,1001,0.01,0.0
2013,Import,USA,Lebanon,1001,0.0,0.0
2013,Import,USA,Mexico,1001,1.77,5.4
2013,Import,USA,"Other Asia, nes",1001,0.02,0.01
2013,Import,USA,Mongolia,1001,0.97,1.78
2013,Import,USA,Morocco,1001,0.02,0.02
2013,Import,USA,Peru,1001,0.07,0.04
2013,Import,USA,Russian Federation,1001,0.02,0.01
2013,Import,USA,Slovakia,1001,0.03,0.02
2013,Import,USA,United Arab Emirates,1001,0.14,0.22
2013,Import,USA,Türkiye,1001,0.19,0.19
2013,Import,USA,Egypt,1001,0.02,0.01
2013,Import,USA,United Kingdom,1001,0.0,0.0
2013,Import,USA,Uruguay,1001,1.95,3.62
2014,Import,USA,World,1001,1027.24,3528.26
2014,Import,USA,Argentina,1001,5.37,10.07
2014,Import,USA,Austria,1001,0.43,0.69
2014,Import,USA,Canada,1001,998.7,3425.99
2014,Import,USA,China,1001,0.32,0.36
2014,Import,USA,France,1001,9.46,46.35
2014,Import,USA,Germany,1001,0.1,0.09
2014,Import,USA,Hungary,1001,0.13,0.07
2014,Import,USA,Israel,1001,0.01,0.01
2014,Import,USA,Italy,1001,0.46,0.11
2014,Import,USA,Lebanon,1001,0.0,0.0
2014,Import,USA,Mexico,1001,4.11,13.29
2014,Import,USA,"Other Asia, nes",1001,0.01,0.01
2014,Import,USA,Mongolia,1001,2.12,4.4
2014,Import,USA,Netherlands,1001,0.09,0.08
2014,Import,USA,Pakistan,1001,0.01,0.0
2014,Import,USA,Peru,1001,0.05,0.02
2014,Import,USA,Russian Federation,1001,0.02,0.02
2014,Import,USA,Türkiye,1001,0.01,0.02
2014,Import,USA,Egypt,1001,0.02,0.01
2014,Import,USA,United Kingdom,1001,5.49,26.03
2014,Import,USA,Uruguay,1001,0.32,0.63
2015,Import,USA,World,1001,728.08,2483.77
2015,Import,USA,Argentina,1001,10.4,19.93
2015,Import,USA,Canada,1001,699.37,2414.16
2015,Import,USA,China,1001,0.06,0.01
2015,Import,USA,Ecuador,1001,0.0,0.0
2015,Import,USA,Israel,1001,0.01,0.0
2015,Import,USA,Italy,1001,0.31,0.14
2015,Import,USA,Jordan,1001,0.0,0.0
2015,Import,USA,Lebanon,1001,1.01,1.17
2015,Import,USA,Mexico,1001,12.18,33.21
2015,Import,USA,"Other Asia, nes",1001,0.02,0.02
2015,Import,USA,Mongolia,1001,1.6,2.97
2015,Import,USA,Peru,1001,0.1,0.05
2015,Import,USA,Russian Federation,1001,2.38,11.0
2015,Import,USA,Türkiye,1001,0.02,0.02
2015,Import,USA,Ukraine,1001,0.04,0.08
2015,Import,USA,Egypt,1001,0.0,0.0
2015,Import,USA,Uruguay,1001,0.57,1.0
2016,Import,USA,World,1001,491.02,2210.92
2016,Import,USA,Argentina,1001,24.3,112.69
2016,Import,USA,Australia,1001,0.02,0.04
2016,Import,USA,Canada,1001,418.66,1869.11
2016,Import,USA,China,1001,0.03,0.01
2016,Import,USA,Denmark,1001,0.04,0.04
2016,Import,USA,France,1001,31.26,146.85
2016,Import,USA,Israel,1001,0.01,0.01
2016,Import,USA,Italy,1001,0.44,0.21
2016,Import,USA,Jordan,1001,0.01,0.0
2016,Import,USA,Rep. of Korea,1001,0.01,0.0
2016,Import,USA,Lebanon,1001,0.32,0.36
2016,Import,USA,Mexico,1001,4.82,18.14
2016,Import,USA,"Other Asia, nes",1001,0.02,0.01
2016,Import,USA,Netherlands,1001,0.01,0.0
2016,Import,USA,Nigeria,1001,0.01,0.0
2016,Import,USA,Peru,1001,0.09,0.04
2016,Import,USA,Russian Federation,1001,0.02,0.01
2016,Import,USA,Serbia,1001,0.06,0.1
2016,Import,USA,India,1001,0.03,0.03
2016,Import,USA,Spain,1001,0.05,0.05
2016,Import,USA,Syria,1001,0.0,0.0
2016,Import,USA,Türkiye,1001,0.01,0.03
2016,Import,USA,Egypt,1001,0.01,0.0
2016,Import,USA,United Kingdom,1001,10.67,63.0
2016,Import,USA,Uruguay,1001,0.11,0.18
2016,Import,USA,Venezuela,1001,0.01,0.0
2017,Import,USA,World,1001,705.55,2812.83
2017,Import,USA,Argentina,1001,4.87,15.6
2017,Import,USA,Australia,1001,0.02,0.01
2017,Import,USA,Armenia,1001,0.03,0.02
2017,Import,USA,Bolivia (Plurinational State of),1001,0.0,0.0
2017,Import,USA,Canada,1001,697.18,2787.35
2017,Import,USA,China,1001,0.01,0.05
2017,Import,USA,Israel,1001,0.02,0.01
2017,Import,USA,Italy,1001,0.58,0.3
2017,Import,USA,Jordan,1001,0.01,0.0
2017,Import,USA,Rep. of Korea,1001,0.01,0.0
2017,Import,USA,Lebanon,1001,0.01,0.0
2017,Import,USA,Mexico,1001,2.67,9.39
2017,Import,USA,Peru,1001,0.06,0.03
2017,Import,USA,Russian Federation,1001,0.0,0.0
2017,Import,USA,India,1001,0.07,0.04
2017,Import,USA,Spain,1001,0.01,0.01
2017,Import,USA,Türkiye,1001,0.0,0.0
